id,type,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF007D5,住宅小区,125.265518,43.900098,120302,431,220106,58.98412875,31.60234714
B01AF0086F,住宅小区,125.388218,43.876368,120302,431,220105,65.52826137,30.33672149
B01AF00981,住宅小区,125.227761,43.85628,120302,431,220106,56.97038127,29.26533978
B01AF009A6,产业园区,125.215408,43.843458,120100,431,220106,56.31154125,28.58148592
B01AF00A3E,住宅小区,125.218944,43.855122,120302,431,220106,56.50013174,29.20357853
B01AF00ECD,住宅小区,125.301526,43.920405,120302,431,220106,60.90459433,32.68540909
B01AF00EF2,住宅小区,125.280953,43.87485,120302,431,220106,59.80734543,30.25575985
B01AF00EF8,住宅小区,125.282919,43.872855,120302,431,220106,59.91220089,30.14935769
B01AF00EFF,住宅小区,125.297613,43.864656,120302,431,220104,60.69589677,29.71206883
B01AF00F19,住宅小区,125.268398,43.89656,120302,431,220106,59.13773186,31.41364998
B01AF00F1B,住宅小区,125.264182,43.898747,120302,431,220106,58.91287397,31.53029235
B01AF00F21,住宅小区,125.259144,43.892739,120302,431,220106,58.64417519,31.20985919
B01AF00F2C,住宅小区,125.270765,43.846839,120302,431,220104,59.26397442,28.76180957
B01AF00FF7,住宅小区,125.317655,43.865942,120302,431,220104,61.7648251,29.78065689
B01AF0104D,住宅小区,125.374377,43.903788,120302,431,220105,64.79005975,31.79915113
B01AF0129A,住宅小区,125.340386,43.87539,120302,431,220102,62.97716967,30.28456043
B01AF0140A,住宅小区,125.34353,43.914523,120302,431,220103,63.14485307,32.37169607
B01AF014CE,住宅小区,125.382917,43.884045,120302,431,220105,65.24553564,30.74616979
B01AF0162D,住宅小区,125.249625,43.817709,120302,431,220104,58.1364849,27.20817809
B01AF01C5B,住宅小区,125.272893,43.852527,120302,431,220104,59.37747005,29.06517572
B01AF02412,商务写字楼|政府机构及社会团体,125.252426,43.868762,120201|130100,431,220106,58.28587459,29.93105994
B01AF02418,商务写字楼,125.16237,43.892032,120201,431,220106,53.48279058,31.17215176
B01AF02444,商务写字楼,125.289902,43.863381,120201,431,220104,60.2846351,29.64406745
B01AF0244D,商务写字楼,125.317802,43.86572,120201,431,220104,61.77266526,29.76881665
B01AF02474,商务写字楼,125.342442,43.90463,120201,431,220103,63.08682523,31.84405871
B01AF02484,商务写字楼,125.386548,43.870649,120201,431,220105,65.4391929,30.03170198
B01AF02520,商务写字楼,125.684219,43.530688,120201,431,220112,81.31530132,11.90008117
B01AF0269E,商务写字楼,125.326305,43.845064,120201,431,220102,62.22616778,28.66714099
B01AF02951,住宅小区,125.367149,43.863304,120302,431,220102,64.4045586,29.6399607
B01AF02999,商务写字楼,125.332447,43.889195,120201,431,220102,62.55374776,31.02084202
B01AF0299B,住宅小区,125.362253,43.822598,120302,431,220102,64.14343331,27.46893004
B01AF0299E,住宅小区,125.289338,43.862574,120302,431,220104,60.25455449,29.60102658
B01AF02D0F,商住两用楼宇|商务住宅,125.319551,43.888336,120203|120201,431,220104,61.86594715,30.97502776
B01AF02D4E,商务写字楼,125.337938,43.897869,120201,431,220102,62.84660702,31.48346473
B01AF02D5B,商务写字楼,125.275585,43.830414,120201,431,220104,59.52104629,27.88579182
B01AF02D5F,住宅小区,125.26694,43.877843,120302,431,220106,59.05997028,30.41538975
B01AF02EC1,住宅小区,125.288615,43.898602,120302,431,220106,60.21599371,31.52255886
B01AF02EF2,别墅,125.434017,43.777184,120301,431,220102,67.97092421,25.04680095
B01AF02F78,商务写字楼,125.294745,43.878447,120201,431,220104,60.54293367,30.44760374
B01AF02F81,住宅小区,125.352949,43.834717,120302,431,220102,63.64720992,28.1152898
B01AF02FB4,住宅小区,125.360459,43.883905,120302,431,220105,64.04775137,30.73870297
B01AF0301C,住宅小区,125.275076,43.9114,120302,431,220106,59.49389908,32.20513269
B01AF0303B,住宅小区,125.363189,43.845326,120302,431,220102,64.19335432,28.6811146
B01AF031F5,住宅小区,125.268198,43.888526,120302,431,220106,59.12706498,30.9851613
B01AF03252,商务写字楼,125.321896,43.901877,120201,431,220103,61.99101635,31.69722906
B01AF03306,住宅小区,125.311533,43.906007,120302,431,220103,61.43831182,31.91750019
B01AF0336A,商务写字楼,125.349061,43.886361,120201,431,220102,63.43984571,30.86969229
B01AF033FA,商务写字楼,125.26267,43.901827,120201,431,220106,58.83223233,31.69456234
B01AF034DA,住宅小区,125.291793,43.934079,120302,431,220103,60.38549048,33.41470387
B01AF034FF,商务写字楼,125.296452,43.871933,120201,431,220104,60.63397552,30.10018336
B01AF035C5,住宅小区,125.315583,43.916595,120302,431,220103,61.65431619,32.48220497
B01AF03612,住宅小区,125.314308,43.841681,120302,431,220104,61.58631482,28.48671066
B01AF03622,住宅小区,125.2559,43.886523,120302,431,220106,58.47115835,30.87833247
B01AF03692,商务写字楼,125.327924,43.871736,120201,431,220102,62.3125162,30.08967648
B01AF036C3,商务写字楼,125.317729,43.865428,120201,431,220104,61.76877185,29.753243
B01AF0375A,商务写字楼,125.324991,43.842018,120201,431,220104,62.15608636,28.50468436
B01AF03782,商务写字楼,125.368536,43.864044,120201,431,220102,64.47853343,29.67942817
B01AF03854,住宅小区,125.346106,43.921407,120302,431,220103,63.28224252,32.73885017
B01AF03941,商务写字楼,125.328092,43.906766,120201,431,220103,62.32147638,31.95798102
B01AF03A3E,商务写字楼,125.325776,43.867409,120201,431,220102,62.19795388,29.85889847
B01AF03B86,商务写字楼,125.349696,43.879835,120201,431,220102,63.47371307,30.52163191
B01AF03BF9,住宅小区,125.265158,43.897232,120302,431,220106,58.96492836,31.44949071
B01AF03C75,住宅小区,125.194315,43.930163,120302,431,220106,55.18655845,33.20584631
B01AF03C76,住宅小区,125.374339,43.919519,120302,431,220105,64.78803304,32.6381548
B01AF03DA2,商务写字楼,125.279942,43.88894,120201,431,220106,59.75342434,31.00724175
B01AF03DBF,商务写字楼,125.291591,43.831763,120201,431,220104,60.37471693,27.95773994
B01AF03F2A,商住两用楼宇,125.340771,43.878304,120203,431,220102,62.99770342,30.43997692
B01AF03F74,商务写字楼,125.229206,43.849772,120201,431,220106,57.04744949,28.91823941
B01AF04051,住宅小区,125.336284,43.85195,120302,431,220102,62.7583919,29.03440176
B01AF042B8,商务写字楼,125.329518,43.906835,120201,431,220103,62.39753126,31.96166109
B01AF042E1,商务写字楼,125.28686,43.86081,120201,431,220104,60.12239181,29.50694467
B01AF04390,住宅小区,125.327764,43.853686,120302,431,220102,62.30398269,29.12699031
B01AF043DE,住宅小区,125.289872,43.939106,120302,431,220103,60.28303507,33.68281597
B01AF047D6,住宅小区,125.350384,43.853293,120302,431,220102,63.51040714,29.10602988
B01AF04907,商务写字楼,125.319665,43.909742,120201,431,220103,61.87202727,32.11670423
B01AF04A5D,商务写字楼,125.304527,43.890266,120201,431,220104,61.06465091,31.07796318
B01AF04B9B,住宅小区,125.265498,43.890297,120302,431,220106,58.98306206,31.07961655
B01AF04BB2,商务写字楼,125.325027,43.845154,120201,431,220104,62.1580064,28.67194108
B01AF04DEB,商务写字楼,125.338802,43.877964,120201,431,220102,62.89268796,30.42184322
B01AF04DF9,住宅小区,125.335284,43.88634,120302,431,220102,62.70505749,30.86857227
