id,type,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01790SLIA,中国石油,124.691542,44.081575,10102,431,220184,31.2571029,41.84984715
B01AF026D2,汽车配件销售,125.387807,43.875449,10800,431,220105,68.65218409,30.77920808
B01AF02E04,汽车配件销售,125.334857,43.890265,10800,431,220102,65.80833937,31.57494753
B01AF02F0B,汽车养护,125.253125,43.88911,10400,431,220106,61.41866765,31.51291465
B01AF030FF,汽车配件销售,125.332973,43.889917,10800,431,220102,65.70715328,31.5562571
B01AF03A59,加油站,125.28978,43.958273,10100,431,220103,63.38733863,35.22752906
B01AF03B60,汽车养护,125.327424,43.884375,10400,431,220102,65.40912694,31.25860673
B01AF04960,汽车配件销售,125.271539,43.869839,10800,431,220106,62.4076489,30.47790556
B01AF04F4A,加气站,125.272627,43.890355,10300,431,220106,62.46608332,31.57978126
B01AF059AD,汽车养护,125.265574,43.873055,10400,431,220106,62.08727998,30.65063086
B01AF0643C,汽车服务相关,125.429283,43.833811,10000,431,220102,70.8797819,28.54290956
B01AF06LYW,汽车服务相关,125.317851,43.903932,10000,431,220103,64.89497915,32.30897634
B01AF06MZI,汽车服务相关,125.32172,43.925718,10000,431,220103,65.10277585,33.47906135
B01AF06TNK,中国石油,125.367648,43.893095,10102,431,220105,67.56948219,31.72694149
B01AF070N9,其它能源站,125.292766,43.927437,10200,431,220106,63.54771107,33.5713856
B01AF074J2,中国石油,125.242145,43.889983,10102,431,220106,60.82895254,31.55980184
B01AF07BDV,加油站,125.324035,43.901119,10100,431,220103,65.22711014,32.15789542
B01AF07FIQ,加油站,125.307636,43.832301,10100,431,220104,64.34635075,28.46181031
B01AF07G0R,中国石化,125.270935,43.89011,10101,431,220106,62.37520919,31.56662277
B01AF07RZV,加油站,125.897978,44.165318,10100,431,220113,96.0525072,46.34752588
B01AF07SNI,汽车服务相关,125.288328,43.924839,10000,431,220106,63.30935445,33.43185192
B01AF07SR1,加油站,125.753368,44.075767,10100,431,220113,88.28577659,41.53791041
B01AF07SW2,汽车配件销售,125.332964,43.889934,10800,431,220102,65.7066699,31.55717014
B01AF07T8D,加油站,126.539255,44.803924,10100,431,220182,130.4942865,80.64585083
B01AF07TK2,汽车配件销售,125.365234,43.899028,10800,431,220105,67.4398308,32.04559175
B01AF07TLH,加油站,125.825852,44.160446,10100,431,220113,92.17875565,46.08585994
B01AF07TZR,汽车养护,125.325913,43.925035,10400,431,220103,65.32797398,33.44237871
B01AF07UI9,汽车养护,126.548757,44.832471,10400,431,220182,131.004621,82.17905641
B01AF07ULJ,汽车配件销售,125.381536,43.875682,10800,431,220105,68.3153805,30.79172208
B01AF07V35,汽车配件销售,125.35161,43.89652,10800,431,220102,66.70811143,31.91089179
B01AF07WJP,加油站,125.197844,44.426616,10100,431,220122,58.44962931,60.3813491
B01AF07WL5,汽车服务相关,125.303625,43.865219,10000,431,220104,64.1309275,30.22977406
B01AF07WLO,汽车配件销售,125.271896,43.873735,10800,431,220106,62.42682269,30.68715237
B01AF07WWJ,汽车配件销售,125.303209,43.627051,10800,431,220104,64.10858492,17.43821955
B01AF07WYN,汽车服务相关,125.388365,43.875441,10000,431,220105,68.68215322,30.77877842
B01AF07X40,汽车配件销售|购物服务,125.716566,44.540556,010800|060000,431,220183,86.30921051,66.50085181
B01AF07XF6,汽车服务相关,125.166567,44.436032,10000,431,220122,56.76980057,60.88706472
B01AF07XGT,汽车服务相关,126.5432,44.823752,10000,431,220182,130.706165,81.71077535
B01AF07YRM,汽车服务相关,125.327693,43.884923,10000,431,220102,65.42357443,31.28803877
B01AF07Z21,汽车服务相关,125.166246,44.436006,10000,431,220122,56.75256027,60.88566831
B01AF07ZNO,汽车配件销售,125.346171,43.885044,10800,431,220102,66.41599299,31.29453745
B01AF0805P,汽车养护,125.682587,43.538918,10400,431,220112,84.48426245,12.70476219
B01AF0814V,汽车养护,125.266345,43.873423,10400,431,220106,62.12868894,30.67039544
B01AF081LA,汽车服务相关,125.832678,44.15352,10000,431,220113,92.54536725,45.71387753
B01AF081WL,汽车养护,125.366298,43.826132,10400,431,220102,67.49697623,28.13048494
B01AF081Z0,汽车服务相关|购物服务,125.271549,43.87486,010000|060000,431,220106,62.40818598,30.747574
B01AF0824Q,汽车配件销售,125.271889,43.873895,10800,431,220106,62.42644674,30.69574567
B01AF083PJ,汽车配件销售,125.340934,43.899509,10800,431,220102,66.13472359,32.07142535
B01AF083TC,汽车配件销售,125.332897,43.889898,10800,431,220102,65.70307146,31.55523665
B01AF083UV,汽车服务相关,125.668133,43.524072,10000,431,220112,83.70796534,11.90741151
B01AF0844T,汽车配件销售,125.363217,43.852156,10800,431,220102,67.33150153,29.52818494
B01AF084CU,汽车配件销售,125.658404,44.068068,10800,431,220113,83.18543909,41.12441163
B01AF084D4,汽车配件销售|汽车维修,125.654848,44.067634,010800|030000,431,220113,82.99445303,41.10110231
B01AF084PP,汽车配件销售,125.35581,43.898513,10800,431,220102,66.93368552,32.01793207
B01AF086QY,汽车配件销售,125.331657,43.884533,10800,431,220102,65.6364734,31.26709261
B01AF087J1,汽车服务相关,125.165891,44.436397,10000,431,220122,56.73349388,60.90666818
B01AF087KQ,加油站,125.300137,43.572923,10100,431,220104,63.94359359,14.53110667
B01AF087QK,汽车养护|生活服务,125.318936,43.927008,010400|070000,431,220103,64.95325246,33.54834482
B01AF08871,汽车配件销售,126.542645,44.825638,10800,431,220182,130.676357,81.81206886
B01AF088I6,汽车服务相关,125.669464,43.527743,10000,431,220112,83.77945085,12.104574
B01AF0894C,汽车配件销售,125.332673,43.877455,10800,431,220102,65.69104084,30.88694656
B01AF089MP,汽车养护,125.32799,43.884975,10400,431,220102,65.43952574,31.29083159
B01AF089R9,洗车场,125.181586,44.442061,10500,431,220122,57.57644276,61.21087095
B01AF089U4,汽车养护,125.661715,43.528465,10400,431,220112,83.36326666,12.14335126
B01AF08AG3,汽车服务相关,125.163257,44.439769,10000,431,220122,56.59202671,61.08777195
B01AF08AWT,汽车配件销售,125.716139,44.540139,10800,431,220183,86.28627715,66.47845553
B01AF08AX9,汽车养护,126.548713,44.832412,10400,431,220182,131.0022579,82.17588763
B01AF08BMY,洗车场,125.250166,43.889074,10500,431,220106,61.25974534,31.51098116
B01AF08BP2,汽车养护,125.272749,43.874678,10400,431,220106,62.47263572,30.73779913
B01AF08CTO,汽车配件销售,125.163703,44.43123,10800,431,220122,56.61598053,60.62915835
B01AF08CYN,汽车配件销售,125.180453,44.442182,10800,431,220122,57.51559147,61.21736963
B01AF08CZE,洗车场,125.187916,44.442579,10500,431,220122,57.91641513,61.23869176
B01AF08DRJ,汽车配件销售,125.682496,43.538888,10800,431,220112,84.47937501,12.70315095
B01AF08DWF,汽车养护,125.269113,43.868501,10400,431,220106,62.27735301,30.4060441
B01AF08EBE,其它能源站,125.315386,43.898121,10200,431,220103,64.76258865,31.99687848
B01AF08G5W,汽车配件销售|购物服务,125.166148,44.436407,010800|060000,431,220122,56.74729687,60.90720527
B01AF08GUN,加油站,126.537955,44.80233,10100,431,220182,130.424466,80.5602401
B01AF08GXD,汽车服务相关,125.833794,44.15248,10000,431,220113,92.6053055,45.65802109
B01AF08HKN,汽车服务相关,125.16578,44.435986,10000,431,220122,56.72753228,60.88459415
B01AF08IEH,汽车养护,125.328401,43.885081,10400,431,220102,65.46159977,31.29652466
B01AF08IOI,汽车配件销售,125.356089,43.8921,10800,431,220102,66.94867008,31.67350192
B01AF08IQ0,汽车配件销售,125.163328,44.429235,10800,431,220122,56.59583998,60.52201066
B01AF08IZZ,汽车服务相关,125.293151,43.929063,10000,431,220103,63.56838869,33.658715
B01AF08J0X,汽车服务相关,125.166478,44.436426,10000,431,220122,56.76502055,60.90822572
B01AF08J5O,汽车配件销售,125.705425,44.529853,10800,431,220183,85.71084839,65.92601385
B01AF08J5P,汽车配件销售,125.248817,43.905327,10800,431,220106,61.18729309,32.38389917
B01AF08L02,汽车服务相关,125.669724,43.527628,10000,431,220112,83.79341496,12.09839756
B01AF08LDD,汽车配件销售,126.542898,44.823275,10800,431,220182,130.6899452,81.68515658
B01AF08LIV,汽车配件销售,125.27161,43.872678,10800,431,220106,62.41146217,30.6303829
