id,小类,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF009D4,综合医院,125.328216,43.931586,90100,431,220103,64.70179094,36.42163553
B01AF00A48,药房,125.231305,43.863534,90601,431,220106,59.70879014,32.91549391
B01AF00D24,药房,125.282218,43.84543,90601,431,220104,62.33190464,31.98274854
B01AF01012,综合医院,125.33225,43.872955,90100,431,220102,64.9096287,33.40087803
B01AF02643,综合医院,125.391682,43.872068,90100,431,220105,67.97165493,33.35517845
B01AF0267C,口腔医院,125.32805,43.894923,90202,431,220102,64.69323837,34.5327025
B01AF027CA,医疗保健用品,125.342068,43.884101,90602,431,220102,65.41546686,33.97513675
B01AF028B0,医疗保健用品,125.333021,43.90575,90602,431,220103,64.94935178,35.09052586
B01AF02F54,骨科医院,125.328368,43.896984,90206,431,220103,64.70962221,34.63888833
B01AF030AE,药房,125.342432,43.841017,90601,431,220102,65.43422069,31.75538413
B01AF030D0,药房,125.375126,43.828574,90601,431,220102,67.11866485,31.11430201
B01AF031C4,医疗保健用品,125.48989,43.565447,90602,431,220112,73.03147913,17.55760233
B01AF0328B,口腔医院,125.291898,43.897951,90202,431,220106,62.83063283,34.68870963
B01AF03352,医药保健相关,125.329724,43.904991,90600,431,220103,64.77948537,35.05142104
B01AF03706,药房,125.317888,43.868129,90601,431,220104,64.16967681,33.15223523
B01AF039F1,口腔医院,125.340397,43.894142,90202,431,220102,65.32937442,34.49246421
B01AF03AD6,专科医院,125.343997,43.896836,90200,431,220102,65.51485185,34.63126315
B01AF03D93,医疗保健服务场所,125.283059,43.888676,90000,431,220106,62.37523423,34.21084765
B01AF03DE2,诊所,125.266446,43.886713,90300,431,220106,61.51930743,34.10971093
B01AF041C4,药房,125.328129,43.930735,90601,431,220103,64.69730857,36.37779073
B01AF043D2,医疗保健用品,125.333277,43.89324,90602,431,220102,64.96254129,34.44599181
B01AF0464D,药房,125.316772,43.866983,90601,431,220104,64.11217881,33.09319159
B01AF046A9,三级甲等医院,125.246098,43.887666,90101,431,220106,60.47094779,34.15881092
B01AF0474D,诊所,125.432704,43.878633,90300,431,220105,70.0851702,33.69341715
B01AF04CCE,专科医院,125.349864,43.895179,90200,431,220102,65.81712853,34.54589201
B01AF04E7A,药房,125.259063,43.863432,90601,431,220106,61.13892414,32.91023871
B01AF04F07,口腔医院,125.292082,43.891866,90202,431,220106,62.84011279,34.37520126
B01AF04F95,综合医院,125.344994,43.891375,90100,431,220102,65.56621879,34.3499042
