id,type,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF00746,科研机构,125.272663,43.849784,141300,431,220104,57.07430389,31.46870213
B01AF0076A,电视台,125.304333,43.872405,141101,431,220104,58.67119059,32.60931388
B01AF007A4,科研机构,125.278202,43.850117,141300,431,220104,57.35359519,31.48549289
B01AF007E2,科研机构,125.278899,43.859797,141300,431,220104,57.38873981,31.97358456
B01AF007FE,高等院校,125.326422,43.841485,141201,431,220102,59.78497747,31.0502442
B01AF0084C,科研机构,125.365597,43.864035,141300,431,220102,61.76028648,32.18727593
B01AF00A6E,中学,125.17981,43.850319,141202,431,220106,52.39240554,31.49567827
B01AF00A9C,培训机构,125.287129,43.895706,141400,431,220106,57.80371857,33.78421306
B01AF00DAF,成人教育,125.278217,43.849986,141205,431,220104,57.35435153,31.47888751
B01AF00E13,电视台,125.320382,43.884167,141101,431,220104,59.4804244,33.2023856
B01AF010C6,中学,125.323186,43.849939,141202,431,220104,59.62180963,31.47651765
B01AF013C1,小学,125.368694,43.889759,141203,431,220105,61.91644556,33.4843493
B01AF013E4,中学,125.363414,43.876774,141202,431,220105,61.65021374,32.82961063
B01AF014BB,培训机构,125.373618,43.861348,141400,431,220102,62.16472691,32.05179016
B01AF014C3,高等院校,125.429687,43.885509,141201,431,220105,64.9918769,33.27005285
B01AF01572,高等院校,125.390213,43.881764,141201,431,220105,63.0014915,33.08121987
B01AF0157B,中学,125.407312,43.883286,141202,431,220105,63.86366914,33.15796321
B01AF015F1,高等院校,125.423881,43.784465,141201,431,220102,64.69912275,28.17514222
B01AF01669,中学,125.360209,44.774755,141202,431,220122,61.48860901,78.1082313
B01AF0166D,小学,125.293532,44.524316,141203,431,220122,58.12657508,65.48042238
B01AF02832,科研机构,125.275308,43.899769,141300,431,220106,57.20767191,33.98908046
B01AF02B34,高等院校,125.445346,43.822306,141201,431,220102,65.78144586,30.08318736
B01AF02B3A,中学,125.347968,43.804126,141202,431,220102,60.87138482,29.16650279
B01AF02BB0,传媒机构,125.320389,43.884149,141100,431,220104,59.48077736,33.20147799
B01AF02BF6,幼儿园,125.331053,43.877017,141204,431,220102,60.01848496,32.84186334
B01AF02CB8,文艺团体,125.278275,43.915146,141000,431,220106,57.35727605,34.76443022
B01AF02DBA,科研机构,125.434601,43.832423,141300,431,220102,65.23965402,30.59331375
B01AF02DD9,幼儿园,125.328105,43.876218,141204,431,220102,59.86983886,32.80157561
B01AF02EBD,培训机构,125.365181,43.859126,141400,431,220102,61.73931064,31.93975093
B01AF02EEB,高等院校,125.333232,43.898701,141201,431,220102,60.12835601,33.93522902
B01AF03087,成人教育,125.32039,43.904239,141205,431,220103,59.48082778,34.2144699
B01AF031AE,中学,125.345873,43.852259,141202,431,220102,60.76574928,31.5934983
B01AF031D9,出版社,125.292319,43.86364,141105,431,220104,58.06541235,32.16735897
B01AF0365D,科研机构,125.253321,43.874417,141300,431,220106,56.09902815,32.71076434
B01AF036CD,中学,125.349188,43.868401,141202,431,220102,60.9329005,32.40742141
B01AF0379E,中学,126.571613,44.830175,141202,431,220182,122.5708615,80.90265697
B01AF0395A,幼儿园,125.266375,43.8954,141204,431,220106,56.75724599,33.76878371
B01AF0395B,高等院校,125.333425,43.899092,141201,431,220102,60.13808759,33.9549443
B01AF03C16,学校,125.308719,43.884696,141200,431,220104,58.89234452,33.2290592
B01AF03C99,档案馆,125.284549,43.878729,140900,431,220106,57.67362802,32.92818699
B01AF03CC2,小学,125.34024,43.908642,141203,431,220103,60.48171824,34.43648102
B01AF04176,展览馆,125.277124,43.903407,140200,431,220106,57.29923952,34.17251822
B01AF04597,幼儿园,125.29925,43.880599,141204,431,220104,58.41489204,33.02247743
B01AF045EB,科研机构,125.325683,43.866404,141300,431,220102,59.7477151,32.30672729
B01AF0469E,高等院校,125.309624,43.876047,141201,431,220104,58.93797706,32.79295333
B01AF046A1,小学,125.367694,43.849043,141203,431,220102,61.86602287,31.43133891
B01AF04803,小学,125.35508,44.006927,141203,431,220103,61.22999101,39.39227545
B01AF048BB,中学,125.362281,43.853016,141202,431,220102,61.59308483,31.63166828
B01AF04A1D,小学,125.268931,43.975993,141203,431,220106,56.8861264,37.83249985
B01AF04BDE,小学,125.701374,44.537312,141203,431,220183,78.69106722,66.1357157
B01AF04FC7,幼儿园,125.219666,43.849189,141204,431,220106,54.40205241,31.43870063
B01AF05481,科研机构,125.282914,43.888265,141300,431,220106,57.59118692,33.4090178
B01AF054D8,中学,125.36311,43.886231,141202,431,220105,61.63488524,33.30645804
B01AF0563E,中学,125.328551,43.954942,141202,431,220103,59.89232738,36.77105173
B01AF05657,科研机构,125.326649,43.83453,141300,431,220102,59.79642342,30.69955436
B01AF056DD,中学,125.337057,43.928668,141202,431,220103,60.32122281,35.44624588
B01AF05ABD,小学,125.38555,43.933825,141203,431,220105,62.76637048,35.70627571
B01AF05B0F,科研机构,125.243989,43.934151,141300,431,220106,55.62848358,35.72271351
B01AF05B5A,出版社,125.324851,43.848361,141105,431,220104,59.70576341,31.39695064
B01AF05EB5,高等院校,125.296475,43.881106,141201,431,220104,58.27496907,33.04804173
B01AF05F95,中学,125.700199,44.54022,141202,431,220183,78.63182055,66.2823449
B01AF05FC7,科研机构,125.310978,43.886498,141300,431,220104,59.00624939,33.3199209
B01AF05FCD,小学,125.29809,43.889257,141203,431,220104,58.35640172,33.45903711
B01AF060FA,高等院校,125.40364,43.846639,141201,431,220105,63.67851701,31.31012276
B01AF062DE,学校,125.290864,43.835035,141200,431,220104,57.99204733,30.72501782
B01AF0655A,小学,125.297028,43.875944,141203,431,220104,58.30285282,32.78775979
B01AF066BA,成人教育,125.271896,43.894679,141205,431,220106,57.03562968,33.73242895
B01AF067F6,科研机构,125.272871,43.843183,141300,431,220104,57.08479181,31.13586193
B01AF06949,科研机构,125.298787,43.85011,141300,431,220104,58.39154633,31.48513993
B01AF06C5R,中学,125.310066,43.868582,141202,431,220104,58.96026389,32.41654792
B01AF06CBK,成人教育,125.30585,43.86938,141205,431,220104,58.74768182,32.45678523
B01AF06CF8,高等院校,125.285465,43.859327,141201,431,220104,57.71981521,31.94988589
B01AF06CRR,中学,125.253586,43.891362,141202,431,220106,56.11239017,33.56517688
B01AF06D6H,小学,125.33621,43.849775,141203,431,220102,60.27851479,31.46824833
B01AF06DCH,科研机构,125.307664,43.867298,141300,431,220104,58.83914858,32.35180518
B01AF06E9E,文化宫,125.330907,43.875554,140800,431,220102,60.01112325,32.76809494
B01AF06EZ0,培训机构,125.279866,43.883571,141400,431,220106,57.43749855,33.17233367
B01AF06F09,小学,125.342284,43.895044,141203,431,220102,60.58478223,33.75083324
B01AF06FCV,中学,125.842781,44.158397,141202,431,220113,85.82118903,47.02980082
B01AF06FM9,杂志社,125.33095,43.832502,141104,431,220102,60.01329142,30.59729714
B01AF06FS9,幼儿园,125.325894,43.90362,141204,431,220103,59.75835428,34.18325825
B01AF06G6K,科研机构,125.290779,43.828445,141300,431,220104,57.9877614,30.39273227
B01AF06G8K,文化宫,125.299564,43.882776,140800,431,220104,58.43072477,33.13224763
B01AF06GG4,科研机构,125.280697,43.895708,141300,431,220106,57.47939981,33.7843139
B01AF06GV2,小学,125.332641,43.888611,141203,431,220102,60.0985562,33.42646405
B01AF06H4M,高等院校,125.327236,43.838515,141201,431,220102,59.82602154,30.9004888
B01AF06I7J,科研机构,125.290554,43.886589,141300,431,220106,57.9764163,33.32450936
B01AF06II3,职业技术学校,125.26673,43.840065,141206,431,220104,56.77514605,30.97864397
B01AF06IKG,培训机构,125.365679,43.84056,141400,431,220102,61.76442114,31.00360321
B01AF06IKZ,科研机构,125.317548,43.87221,141300,431,220104,59.33752648,32.59948145
B01AF06IZS,科研机构,125.294539,43.832092,141300,431,220104,58.17735073,30.57662384
B01AF06JDC,中学,125.288822,43.905031,141202,431,220106,57.88908419,34.25440467
B01AF06JOS,高等院校,125.32031,43.939395,141201,431,220103,59.47679396,35.98713011
B01AF06JT1,科研机构,125.28812,43.863143,141300,431,220104,57.85368746,32.14229889
B01AF06JTQ,学校,125.321923,43.894596,141200,431,220104,59.55812577,33.72824387
B01AF06JWO,高等院校,125.267944,43.869548,141201,431,220106,56.8363592,32.46525624
B01AF06K9G,科研机构,125.278417,43.85119,141300,431,220104,57.36443607,31.53959644
B01AF06KR4,高等院校,125.369997,43.870594,141201,431,220105,61.98214633,32.51799838
B01AF06KRG,科研机构,125.307641,43.865553,141300,431,220104,58.83798886,32.26381758
B01AF06L8F,小学,125.331009,43.893858,141203,431,220102,60.01626636,33.69103192
B01AF06LKQ,科研机构,125.304391,43.832073,141300,431,220104,58.67411511,30.57566581
B01AF06LP0,杂志社,125.337675,43.891394,141104,431,220102,60.35238404,33.5667904
B01AF06MNX,小学,125.316916,43.863278,141203,431,220104,59.30565934,32.14910596
B01AF06MZP,科研机构,125.31869,43.884711,141300,431,220104,59.3951092,33.22981554
B01AF06N9Y,科研机构,125.322904,43.857446,141300,431,220104,59.60759043,31.85504081
B01AF06NWZ,科研机构,125.268278,43.850624,141300,431,220104,56.85320038,31.51105719
B01AF06O4V,幼儿园,125.321677,43.882728,141204,431,220104,59.54572179,33.12982734
B01AF06P1C,中学,125.315253,43.894066,141202,431,220104,59.2218064,33.70151984
B01AF06P7V,小学,125.321046,43.893613,141203,431,220104,59.51390507,33.67867836
B01AF06PJX,中学,125.300541,43.875675,141202,431,220104,58.47998774,32.77419609
B01AF06PS8,文化宫,125.334968,43.882458,140800,431,220102,60.2158898,33.11621322
B01AF06Q2B,中学,125.312165,43.888412,141202,431,220104,59.06610113,33.41642993
B01AF06QKT,科研机构,125.294451,43.832096,141300,431,220104,58.17291353,30.57682553
B01AF06R03,杂志社,125.33073,43.832499,141104,431,220102,60.00219843,30.59714587
B01AF06RSB,职业技术学校,125.293787,43.888536,141206,431,220106,58.13943287,33.42268235
B01AF06RYY,幼儿园,125.313701,43.864515,141204,431,220104,59.14355038,32.21147883
B01AF06SYM,小学,125.298715,43.942568,141203,431,220103,58.3879159,36.14712132
B01AF06TGF,科研机构,125.280115,43.886803,141300,431,220106,57.4500538,33.33529982
B01AF06U08,科研机构|公司企业,125.295115,43.873985,141300|170200,431,220104,58.2063942,32.68898173
B01AF06U91,科研机构,125.228904,43.773136,141300,431,220104,54.86785725,27.60390352
B01AF06UJD,杂志社,125.314187,43.885011,141104,431,220104,59.16805581,33.24494235
B01AF06V6D,幼儿园,125.3175,43.893285,141204,431,220104,59.3351062,33.66213972
B01AF06VER,幼儿园,125.293605,43.899851,141204,431,220106,58.13025594,33.99321512
B01AF06VGB,成人教育,125.337605,43.883315,141205,431,220102,60.34885445,33.15942546
B01AF06VKB,培训机构,125.290141,43.842598,141400,431,220104,57.95559173,31.10636465
B01AF06VWO,高等院校,125.283755,43.83333,141201,431,220104,57.63359241,30.63904713
B01AF06WGE,电视台,125.324848,43.848361,141101,431,220104,59.70561215,31.39695064
B01AF06WIF,科研机构,125.325514,43.874601,141300,431,220102,59.73919366,32.72004211
B01AF06WK9,中学,125.31676,43.905207,141202,431,220103,59.2977934,34.26327907
B01AF06YIN,小学,125.676377,43.526257,141203,431,220112,77.43065115,15.15559939
B01AF06ZHU,小学,125.306137,43.944777,141203,431,220103,58.76215313,36.25850505
B01AF070IN,成人教育,125.32766,43.903471,141205,431,220103,59.84740076,34.17574527
B01AF070IP,中学,125.257841,43.882703,141202,431,220106,56.32693873,33.12856678
B01AF0715R,小学,125.314224,43.877578,141203,431,220104,59.16992145,32.87015047
B01AF071IT,小学,125.333493,43.895385,141203,431,220102,60.14151633,33.76802737
B01AF071NM,科研机构,125.258988,43.873181,141300,431,220106,56.38477356,32.64844189
B01AF0729N,报社,125.278003,43.879209,141103,431,220106,57.34356107,32.95238988
B01AF072JZ,小学,125.34848,43.897322,141203,431,220102,60.89720124,33.86569613
B01AF072M9,杂志社,125.310643,43.872518,141104,431,220104,58.98935779,32.61501164
B01AF072VC,成人教育,125.32692,43.888219,141205,431,220102,59.81008797,33.40669835
B01AF0731Y,高等院校,125.303343,43.834719,141201,431,220104,58.62127212,30.70908425
B01AF07383,小学,125.255816,43.892732,141203,431,220106,56.22483277,33.63425597
B01AF073LK,科研机构,125.323027,43.860347,141300,431,220104,59.61379242,32.00131704
B01AF073OH,高等院校,125.293655,43.876903,141201,431,220104,58.13277707,32.83611515
B01AF073OP,出版社,125.317764,43.871599,141105,431,220104,59.34841779,32.56867319
B01AF073SV,科研机构,125.268228,43.850776,141300,431,220104,56.85067924,31.51872144
B01AF073YR,学校,125.296561,43.831053,141200,431,220104,58.27930542,30.52423466
B01AF07489,高等院校,125.324898,43.826001,141201,431,220102,59.70813328,30.26949921
B01AF074GA,科研机构,125.307701,43.865396,141300,431,220104,58.84101422,32.25590122
B01AF074QL,高等院校,125.286764,43.838712,141201,431,220104,57.78531429,30.91042207
B01AF074UX,幼儿园,125.322201,43.903161,141204,431,220103,59.57214328,34.16011424
B01AF075FQ,文艺团体,125.314743,43.864293,141000,431,220104,59.19609083,32.20028499
B01AF075H8,小学|科教文化服务,125.250044,43.844537,141203|141202,431,220104,55.93379299,31.20413426
B01AF075K1,科研机构,125.29313,43.83902,141300,431,220104,58.10630516,30.92595226
