id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0G33UYD3C,洗车场,111.682364,39.905386,10500,471,150124,59.64904618,9.189918408
B0FFM0SFIG,汽车养护,111.681336,39.905578,10400,471,150124,59.58490057,9.20189891
B0G3CS53N6,汽车配件销售,111.683646,39.905742,10800,471,150124,59.72904099,9.212132255
B0FFM5DLNU,二手车交易,111.680515,39.905763,11000,471,150124,59.53367145,9.213442622
B0FFKNON4K,汽车服务相关,111.68041,39.905788,10000,471,150124,59.52711961,9.215002583
B0FFKZ889J,汽车配件销售,111.685868,39.905727,10800,471,150124,59.86769033,9.211196278
B0FFI9PCXZ,汽车养护,111.683761,39.906733,10400,471,150124,59.73621681,9.273969115
B0FFI9PG5R,汽车养护,111.67974,39.90631,10400,471,150124,59.48531265,9.247574572
B0G23AAAAZ,汽车配件销售,111.637848,40.063967,10800,471,150124,56.87131693,19.08512646
B0FFHIQ5D8,汽车服务相关,111.637257,40.062821,10000,471,150124,56.83443945,19.01361784
B0G3OS8QO3,汽车服务相关,111.638599,40.065818,10000,471,150124,56.91817817,19.20062598
B0GUVHVKYF,汽车俱乐部,111.594127,40.832648,10600,471,150103,54.14319445,67.04962673
B0HUAH46JT,汽车养护,111.594667,40.832762,10400,471,150103,54.17688961,67.05674016
B0FFKVRYQC,汽车服务相关,111.594763,40.832865,10000,471,150103,54.18287986,67.0631672
B01D70P6GB,加气站,111.594919,40.827279,10300,471,150103,54.19261402,66.71460947
B0GROZ49K5,汽车养护,111.849957,40.894753,10400,471,150105,70.10658903,70.92488225
B0HDT5KQQ2,汽车服务相关,111.848981,40.88764,10000,471,150105,70.04568814,70.4810421
B01D70PAUE,汽车服务相关,111.848448,40.887474,10000,471,150105,70.01242977,70.47068396
B01D70228G,中国石化,111.64828,40.793716,10101,471,150104,57.52225753,64.62033041
B0FFM1NH7A,汽车配件销售,111.652027,40.794733,10800,471,150104,57.75606451,64.68378963
B0FFGRP6IC,汽车服务相关,111.650048,40.795173,10000,471,150104,57.63257798,64.71124495
B0HBBX6RNG,汽车养护,111.647654,40.793929,10400,471,150104,57.4831961,64.63362128
B01D70P3M3,汽车租赁,111.649479,40.794206,10900,471,150104,57.59707326,64.65090565
B0FFGUF1K9,汽车配件销售,111.647604,40.793959,10800,471,150104,57.48007618,64.63549323
B01D70R921,汽车配件销售,111.647522,40.79397,10800,471,150104,57.4749595,64.63617962
B0FFKZUGRR,二手车交易,111.647183,40.794816,11000,471,150104,57.45380643,64.6889687
B0H1BA221C,汽车服务相关,111.647777,40.796171,10000,471,150104,57.49087111,64.7735186
B01D703BJT,汽车配件销售,111.656883,40.79645,10800,471,150104,58.05907136,64.79092777
B0FFM0VZPC,汽车配件销售,111.649375,39.913533,10800,471,150124,57.59058382,9.698278552
B0G39NMC4O,汽车配件销售,111.649121,39.913528,10800,471,150124,57.57473462,9.697966559
B0FFM0Q2LH,汽车配件销售,111.648351,39.9137,10800,471,150124,57.52668782,9.708699092
B0FFM5BR92,汽车服务相关,111.649017,39.913663,10000,471,150124,57.56824518,9.70639035
B01D703AXE,洗车场,111.184929,40.276851,10500,471,150122,28.60987493,32.36875735
B0G26OPZQY,汽车配件销售,111.26808,40.25939,10800,471,150122,33.79836816,31.27921807
B0G3ALH23K,汽车养护,111.268106,40.25904,10400,471,150122,33.79999052,31.25737862
B0FFKUVNJT,汽车配件销售,111.269157,40.265315,10800,471,150122,33.86557128,31.64892887
B0HDFCHH3B,汽车配件销售,111.269443,40.266642,10800,471,150122,33.88341724,31.73173161
B0HG0MWU4U,汽车配件销售,111.26747,40.257232,10800,471,150122,33.7603051,31.14456222
B0G0D63DSV,汽车养护,111.679358,40.766653,10400,471,150104,59.46147645,62.93164125
B0HAYAYK4Y,汽车租赁,111.680187,40.761287,10900,471,150104,59.51320476,62.59681119
B0FFJ7ZMI7,汽车配件销售,111.685651,40.766083,10800,471,150104,59.85414987,62.89607414
B0FFJXQAS3,洗车场,111.641202,40.760191,10500,471,150104,57.08060132,62.52842249
B0FFL88RA7,汽车服务相关,111.640888,40.760244,10000,471,150104,57.06100821,62.53172961
B0FFKYWNNI,汽车配件销售,111.637455,40.759476,10800,471,150104,56.84679434,62.4838076
B0G3J43A3T,汽车养护,111.63748,40.759415,10400,471,150104,56.8483543,62.4800013
B0FFIMOG01,中国石化,112.027028,40.956546,10101,471,150102,81.15554435,74.78066946
B01D70R5RA,中国石化,111.212002,40.734661,10101,471,150121,30.29918807,60.93539015
B0G24XEKG8,汽车服务相关,111.211755,40.734908,10000,471,150121,30.28377566,60.95080257
B0HASL8SBX,汽车配件销售,111.207638,40.735927,10800,471,150121,30.02688125,61.01438659
B0G17CYQ9Y,汽车配件销售,111.207206,40.736048,10800,471,150121,29.99992512,61.0219368
B0G3T9SK63,汽车服务相关,111.20715,40.735887,10000,471,150121,29.99643081,61.01189065
B0G0XR2265,汽车服务相关,111.616355,40.778732,10000,471,150104,55.53018712,63.68535209
B0FFM6SYNG,洗车场,111.616339,40.778624,10500,471,150104,55.52918875,63.67861306
B0GUUMZONM,加油站,111.685965,41.239911,10100,471,150125,59.87374298,92.46220526
B01D702237,中国石油,111.436274,39.944655,10102,471,150124,44.29341247,11.640243
B0G2G6LK09,洗车场,111.741149,40.763149,10500,471,150105,63.31713886,62.7129971
B0G26YJ7TO,汽车配件销售,111.739902,40.765306,10800,471,150105,63.23932799,62.84759055
B0FFLISW8S,汽车服务相关,111.738269,40.766491,10000,471,150105,63.13743133,62.92153271
B0FFKWH9RG,汽车配件销售,112.033086,40.589607,10800,471,150123,81.53355414,51.88424589
B0G3AXJGAG,汽车配件销售,112.034602,40.587714,10800,471,150123,81.62815019,51.76612563
B0FFFRMHED,洗车场,111.792738,40.499152,10500,471,150123,66.53621231,46.23999441
B0FFI9PFY7,洗车场,111.796379,40.498908,10500,471,150123,66.76340506,46.22476919
B0FFI9PESB,洗车场,111.795047,40.498692,10500,471,150123,66.68029033,46.21129112
B0HDCHKXT5,汽车服务相关,111.794426,40.499586,10000,471,150123,66.64154089,46.26707533
B0G259YAW9,汽车服务相关,111.795815,40.498844,10000,471,150123,66.72821233,46.22077569
B0G335VPYF,汽车养护,111.93591,40.904376,10400,471,150102,75.4699227,71.52534251
B0FFHIWRXK,中国石油,111.449072,41.116587,10102,471,150125,45.09198779,84.76697924
B0G1F7OQET,汽车服务相关,111.447405,41.113257,10000,471,150125,44.98796958,84.55919241
B0FFMEQQWT,加气站|生活服务,111.628163,40.828888,010300|070000,471,150103,56.26698798,66.81500857
B01D70RAXX,中国石油,111.844648,40.510607,10102,471,150123,69.77531567,46.95476861
B0FFG9FSW0,汽车配件销售|汽车维修,111.692786,40.780078,010800|030000,471,150105,60.29936279,63.7693404
B0FFKH92TA,汽车服务相关|汽车维修,111.688039,40.785641,010000|030000,471,150105,60.00315736,64.11646296
B0G39SO3BC,汽车配件销售,111.916313,40.885621,10800,471,150105,74.24710034,70.35505964
B0FFGAQCOA,汽车服务相关,111.91599,40.885514,10000,471,150105,74.22694565,70.34838301
B0HDT5LSCO,汽车服务相关,111.915213,40.885552,10000,471,150105,74.17846205,70.35075415
B0FFGAQCGL,汽车服务相关,111.916712,40.88547,10000,471,150105,74.27199732,70.34563748
B0FFGAQCGF,汽车配件销售,111.915499,40.885537,10800,471,150105,74.19630801,70.34981817
B0FFFDURQD,汽车服务相关|汽车维修,111.696486,40.869381,010000|030000,471,150102,60.53023704,69.34170887
B0FFKMA4KQ,汽车服务相关,111.593531,40.848323,10000,471,150103,54.10600498,68.02772238
B01D701IIS,中国石油,111.638962,40.859684,10102,471,150103,56.9408288,68.73663113
B0G2DUMVWR,汽车服务相关,111.644258,40.861013,10000,471,150102,57.27129097,68.81955867
B0G397P5HZ,汽车俱乐部,111.644697,40.860385,10600,471,150102,57.29868389,68.78037244
B0HG31GR8E,汽车养护,111.644562,40.860746,10400,471,150102,57.2902601,68.80289828
B0FFM5C0C8,汽车配件销售,111.646045,40.860638,10800,471,150102,57.382797,68.79615925
B0G3Z7S0Y0,汽车配件销售,111.646083,40.860334,10800,471,150102,57.38516814,68.77719012
B0FFMH4WFB,汽车配件销售,111.646495,40.861116,10800,471,150102,57.4108763,68.82598571
B0FFJY53V1,汽车服务相关,111.646215,40.859607,10000,471,150102,57.39340473,68.73182645
B0FFM0QICI,汽车养护,111.646717,40.860559,10400,471,150102,57.42472875,68.79122977
B0G07O9CDM,汽车配件销售,111.646663,40.860075,10800,471,150102,57.42135924,68.76102893
B0HGFO8L53,汽车配件销售,111.64635,40.859457,10800,471,150102,57.40182852,68.72246669
B0FFKWUSME,汽车服务相关,111.64687,40.860295,10000,471,150102,57.43427572,68.77475658
B0FFKYPBUO,汽车配件销售,111.646046,40.859502,10800,471,150102,57.3828594,68.72527462
B0FFKYL039,汽车配件销售,111.645546,40.85968,10800,471,150102,57.35166017,68.73638154
B0FFJHPIAY,汽车配件销售,111.646883,40.859688,10800,471,150102,57.4350869,68.73688073
B0FFMCJLZ1,汽车配件销售,111.646015,40.860494,10800,471,150102,57.38092504,68.78717387
B0FFM8CDNM,汽车配件销售,111.646834,40.859677,10800,471,150102,57.43202937,68.73619434
B0HDDSAO2X,汽车养护,111.645453,40.860291,10400,471,150102,57.34585712,68.77450699
B0FFL7KJDA,汽车服务相关,111.647407,40.861263,10000,471,150102,57.46778368,68.83515828
B01D70P53P,汽车服务相关,111.646401,40.859715,10000,471,150102,57.40501084,68.73856548
B0FFIKS2AU,汽车配件销售,111.646878,40.859742,10800,471,150102,57.4347749,68.74025024
B0FFL50Y1U,汽车配件销售,111.645638,40.859601,10800,471,150102,57.35740083,68.73145206
B0FFKWBFNM,汽车配件销售,111.646029,40.860108,10800,471,150102,57.38179862,68.76308807
B0FFKTJR98,汽车服务相关,111.645662,40.8596,10000,471,150102,57.35889839,68.73138966
B0FFKUOP1Q,汽车配件销售,111.646216,40.860247,10800,471,150102,57.39346713,68.77176146
B0FFL36ZJT,汽车配件销售,111.645769,40.859723,10800,471,150102,57.36557503,68.73906467
B0FFKXHW84,汽车配件销售,111.6455,40.859393,10800,471,150102,57.34878984,68.71847318
B0FFL2IH0T,汽车配件销售,111.645545,40.859413,10800,471,150102,57.35159777,68.71972115
B0FFL2CKWD,汽车配件销售,111.645501,40.859965,10800,471,150102,57.34885224,68.7541651
B0FFK2SXU3,汽车服务相关,111.644685,40.864194,10000,471,150102,57.29793511,69.01804813
B0FFL03P2W,汽车配件销售,111.645357,40.859704,10800,471,150102,57.33986687,68.7378791
B0FFL6FI8I,汽车配件销售,111.645465,40.859746,10800,471,150102,57.3466059,68.74049984
B0HGVBNF2F,汽车配件销售,111.645196,40.859641,10800,471,150102,57.32982072,68.733948
B0FFH45SBK,汽车配件销售,111.645347,40.859487,10800,471,150102,57.33924288,68.72433864
B0HBKDPXTX,汽车配件销售,111.646235,40.861113,10800,471,150102,57.3946527,68.82579851
B0FFI8O6RQ,汽车配件销售,111.646745,40.86101,10800,471,150102,57.42647591,68.81937147
B0FFKF9BAS,汽车配件销售,111.645277,40.859485,10800,471,150102,57.33487499,68.72421384
B0FFL840S1,汽车配件销售,111.645375,40.859568,10800,471,150102,57.34099004,68.72939291
B0FFLG77JP,汽车配件销售,111.645632,40.859755,10800,471,150102,57.35702644,68.74106142
B0G1ZN1OMB,汽车配件销售,111.645528,40.859631,10800,471,150102,57.350537,68.73332402
B0FFJRWJ7X,汽车配件销售,111.646118,40.860197,10800,471,150102,57.38735208,68.76864154
B0FFLAIKLH,汽车配件销售,111.646453,40.861052,10800,471,150102,57.40825556,68.82199221
B0FFL84A12,汽车配件销售,111.645814,40.859881,10800,471,150102,57.36838296,68.74892363
B0FFL27LFJ,汽车配件销售,111.646852,40.860213,10800,471,150102,57.43315254,68.76963991
B0HBKCRO68,汽车配件销售,111.645402,40.859337,10800,471,150102,57.3426748,68.71497887
B0G30PIV5U,汽车配件销售,111.646664,40.86118,10800,471,150102,57.42142164,68.82997921
B0FFKZY004,汽车配件销售,111.646302,40.86022,10800,471,150102,57.3988334,68.7700767
B0FFL2D28Q,汽车配件销售,111.645679,40.859456,10800,471,150102,57.35995917,68.72240429
B0FFLA7PMW,汽车配件销售,111.645902,40.859499,10800,471,150102,57.37387402,68.72508742
B0HB3R8P8K,汽车配件销售,111.64602,40.859821,10800,471,150102,57.38123704,68.74517972
B0HBBK0QGW,汽车配件销售,111.646691,40.860989,10800,471,150102,57.42310639,68.81806111
B0FFL0ZNCO,汽车配件销售,111.646467,40.860413,10800,471,150102,57.40912914,68.7821196
B0FFL3VTUN,汽车配件销售,111.646413,40.860311,10800,471,150102,57.40575963,68.77575496
B0GKRB76E1,汽车配件销售,111.646108,40.859856,10800,471,150102,57.3867281,68.74736367
B0FFL0IB1L,汽车配件销售,111.646315,40.860078,10800,471,150102,57.39964458,68.76121612
B0FFMGI8BA,汽车配件销售,111.646342,40.860432,10800,471,150102,57.40132934,68.78330517
B0FFL37I8W,汽车配件销售,111.646377,40.860105,10800,471,150102,57.40351328,68.76290088
B0FFH2KNWD,汽车配件销售,111.645899,40.859234,10800,471,150102,57.37368682,68.70855183
B0FFLC5W9Q,汽车配件销售,111.646595,40.860185,10800,471,150102,57.41711614,68.76789275
B0FFJRSF2B,汽车配件销售,111.646001,40.859576,10800,471,150102,57.38005147,68.7298921
B0FFLASQOR,汽车配件销售,111.646126,40.859638,10800,471,150102,57.38785127,68.7337608
B0FFK1T4VV,汽车配件销售,111.646143,40.859464,10800,471,150102,57.38891205,68.72290347
B0FFKZ4Y1D,汽车配件销售,111.645858,40.859342,10800,471,150102,57.37112849,68.71529086
B0FFL324AI,汽车配件销售,111.645921,40.859363,10800,471,150102,57.37505959,68.71660123
B0FFL83I1H,汽车服务相关,111.646807,40.860881,10000,471,150102,57.43034461,68.81132207
B0FFKDFFNV,汽车服务相关,111.646225,40.859898,10000,471,150102,57.39402872,68.7499844
B0FFL114DR,汽车配件销售,111.646296,40.859708,10800,471,150102,57.39845901,68.7381287
