id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B01D702OEL,银行,111.702153,40.796905,160100,471,150105,60.8285203,67.9149001
B01D702MLI,中国银行,111.70198,40.80059,160104,471,150105,60.81822154,68.13426963
B0FFHHYOK2,保险公司,111.699953,40.799489,160400,471,150105,60.69755342,68.06872666
B01D702397,中国建设银行,111.699778,40.799592,160106,471,150105,60.6871356,68.07485829
B01D702ZVH,中国银行ATM,111.701924,40.80065,160301,471,150105,60.81488784,68.13784145
B01D702ML4,中国邮政储蓄银行,111.703054,40.800373,160139,471,150105,60.88215719,68.12135153
B0FFF4SBSF,中国光大银行,111.697922,40.806373,160113,471,150105,60.57664718,68.47853393
B0FFGLFCKN,中国建设银行ATM,111.69986,40.7996,160303,471,150105,60.69201709,68.07533453
B0FFI99BTU,中国建设银行ATM,111.701514,40.804787,160303,471,150105,60.79048037,68.38411872
B0FFF54XPA,中国光大银行ATM,111.697875,40.80625,160310,471,150105,60.57384925,68.47121169
B01D70231N,中国银行,111.700762,40.842065,160104,471,150102,60.74571351,70.60329298
B0FFGRLYV4,银行,111.702297,40.842554,160100,471,150102,60.83709268,70.63240335
B01D701USQ,中国建设银行,111.702896,40.842609,160106,471,150102,60.87275139,70.63567752
B01D70252Q,中国银行ATM,111.700785,40.84207,160301,471,150102,60.74708271,70.60359064
B0FFG34Y6G,中信银行,111.702612,40.842632,160111,471,150102,60.85584475,70.63704672
B0FFI9RKO9,中信银行ATM,111.702546,40.842488,160308,471,150102,60.85191575,70.62847434
B01D70253I,中国建设银行ATM,111.702804,40.84255,160303,471,150102,60.86727459,70.63216523
B0FFK34MUE,兴业银行,111.700989,40.842116,160118,471,150102,60.75922691,70.60632903
B01D701QS4,银行,111.704107,40.842778,160100,471,150102,60.9448427,70.64573816
B0FFIM4AEF,金融保险机构,111.698474,40.841654,160000,471,150102,60.60950796,70.57882599
B0FFI9RJS4,自动提款机,111.702205,40.84253,160300,471,150102,60.83161588,70.63097462
B0FFM9TSPY,财务公司,111.697587,40.837323,160600,471,150102,60.55670449,70.32099982
B01D703E46,招商银行,111.706672,40.813963,160109,471,150105,61.09753818,68.93036967
B01D701KMP,中国邮政储蓄银行,111.701042,40.812663,160139,471,150105,60.76238203,68.85298015
B01D703EB3,招商银行ATM,111.706863,40.814078,160306,471,150105,61.10890849,68.93721567
B0G07H3BUX,银行,111.704921,40.815758,160100,471,150105,60.99330045,69.03722674
B0FFKF6G7A,银行,111.704662,40.81642,160100,471,150105,60.97788208,69.07663587
B01D702WFI,中国银行,111.701201,40.816437,160104,471,150105,60.77184736,69.07764788
B0FFI9C8VT,兴业银行,111.700167,40.816173,160118,471,150105,60.71029293,69.06193186
B0FFI9C65I,中国光大银行ATM,111.704691,40.816316,160310,471,150105,60.97960846,69.0704447
B0FFI9C8EW,兴业银行ATM,111.700172,40.816176,160315,471,150105,60.71059058,69.06211045
B01D702IIQ,中国邮政储蓄银行,111.69759,40.806804,160139,471,150105,60.55688308,68.50419154
B0FFKTYLOD,金融保险机构,111.697232,40.808371,160000,471,150105,60.5355712,68.59747567
B01D70PEH9,中国光大银行,111.704739,40.816267,160113,471,150105,60.98246592,69.06752771
B0FFI9C80S,中国工商银行ATM,111.701288,40.816786,160302,471,150105,60.7770265,69.09842399
B0FFFFSLA0,中国建设银行ATM,111.699332,40.815989,160303,471,150105,60.66058504,69.05097826
B0HA6N6G7B,中国民生银行ATM,111.704797,40.815767,160309,471,150105,60.98591868,69.03776251
B0FFI9C5SH,自动提款机,111.704655,40.816467,160300,471,150105,60.97746536,69.07943379
B0FFIKBMOD,中国邮政储蓄银行ATM,111.697531,40.80681,160336,471,150105,60.55337079,68.50454872
B01D70OZR3,农村商业银行,111.653512,40.776717,160121,471,150104,57.9329021,66.71310038
B01D703E11,农村商业银行ATM,111.653587,40.776726,160318,471,150104,57.93736688,66.71363615
B01D703DQM,中国平安保险公司,111.831582,40.382111,160403,471,150123,68.53348049,43.2220472
B01D7039T9,中国人寿保险公司,111.82822,40.377793,160402,471,150123,68.33333929,42.96499493
B0H1HDTE0I,农村商业银行,111.830026,40.381014,160121,471,150123,68.44085119,43.15674235
B0FFKPCFOF,金融保险机构,111.831407,40.38153,160000,471,150123,68.52306267,43.18746004
B0FFMGZL3I,银行,111.835131,40.378488,160100,471,150123,68.74475388,43.00636856
B0FFM483QD,保险公司,111.829808,40.381069,160400,471,150123,68.42787356,43.16001653
B0FFKPCPPM,农村商业银行,111.831746,40.38412,160121,471,150123,68.54324348,43.34164378
B01D701A1N,中国人民银行,111.835231,40.378381,160101,471,150123,68.75070692,42.99999881
B0G0B15DOJ,自动提款机,111.831397,40.381848,160300,471,150123,68.52246737,43.20639071
B0HUVL6038,农村商业银行,111.829798,40.381579,160121,471,150123,68.42727826,43.19037703
B0G2YPP11T,金融保险机构,111.830399,40.381477,160000,471,150123,68.46305603,43.18430493
B01D7020TC,金融保险机构,111.830172,40.381029,160000,471,150123,68.44954263,43.15763531
B01D70RBTS,农村商业银行,111.834187,40.380201,160121,471,150123,68.68855719,43.10834414
B0GU5ATWPD,银行,111.832458,40.377082,160100,471,150123,68.58562912,42.92266882
B0FFKPCSDX,农村商业银行,111.82829,40.381306,160121,471,150123,68.33750641,43.17412523
B0FFKPH6J3,农村商业银行,111.832244,40.377712,160121,471,150123,68.57288962,42.96017297
B0HBXPPJWP,中国银行,111.830425,40.381025,160104,471,150123,68.46460382,43.15739719
B0FFJ03LB2,农村商业银行,111.831851,40.384175,160121,471,150123,68.54949417,43.34491795
B01D70PB29,中国邮政储蓄银行,111.831255,40.378059,160139,471,150123,68.51401405,42.98083002
B0FFLMPU8W,中国邮政储蓄银行,111.831146,40.378061,160139,471,150123,68.50752524,42.98094908
B0FFMEQTSP,金融保险机构,111.831125,40.378169,160000,471,150123,68.5062751,42.98737836
B0G0DHAI4L,金融保险机构,111.828586,40.377778,160000,471,150123,68.35512741,42.96410198
B01D70RBTT,农村商业银行ATM,111.832947,40.379883,160318,471,150123,68.61473949,43.08941347
B0G10CFCCC,保险公司,111.828606,40.377779,160400,471,150123,68.35631802,42.96416151
B01D70P94W,中国邮政储蓄银行ATM,111.831358,40.378064,160336,471,150123,68.52014568,42.98112767
B0GU5AVK8M,自动提款机,111.832353,40.377137,160300,471,150123,68.57937843,42.92594299
B0FFGSTY8V,农村商业银行ATM,111.832062,40.377813,160318,471,150123,68.56205508,42.96618554
B01D701ZRE,农村商业银行,111.44425,41.116085,160121,471,150125,45.47545145,86.9158133
B01D70P5XL,中国银行,111.719796,40.804049,160104,471,150105,61.87881515,68.34018528
B01D70P6C4,中国工商银行,111.718421,40.803806,160105,471,150105,61.79696085,68.3257194
B01D70P4FA,中国银行ATM,111.71986,40.804051,160301,471,150105,61.8826251,68.34030434
B0FFG99TQ1,农村商业银行ATM,111.723155,40.797695,160318,471,150105,62.07877777,67.96192912
B01D70P5Q6,中国工商银行ATM,111.718554,40.803834,160302,471,150105,61.8048784,68.32738625
B0FFKYLL8V,金融保险机构,111.721253,40.796965,160000,471,150105,61.96555095,67.91847193
B01D70201J,农村商业银行,111.832298,40.863644,160121,471,150105,68.57610426,71.88789949
B0FFJ2ZRUW,保险公司,111.150316,40.729,160400,471,150121,27.97744274,63.87248826
B0G219BLLQ,保险公司,111.150533,40.726979,160400,471,150121,27.99036084,63.75217732
B0FFKRHLSL,金融保险机构,111.150511,40.726933,160000,471,150121,27.98905117,63.74943893
B0FFK921L3,中国民生银行ATM,111.79155,40.87397,160309,471,150102,66.1503595,72.50261041
B0FFGPK07P,金融保险机构,111.792594,40.875117,160000,471,150102,66.21250924,72.57089178
B0FFIZIL79,金融保险机构,111.635442,40.831883,160000,471,150103,56.85718776,69.99715445
B0FFIZHXY8,金融保险机构,111.636401,40.832252,160000,471,150103,56.91427741,70.01912116
B0FFM92CUD,财务公司,111.627546,40.828567,160600,471,150103,56.38713572,69.79975164
B0HB2BURVJ,金融保险机构,111.210585,40.266108,160000,471,150122,31.56528044,36.31634217
B0HBGMF1ID,保险公司,111.21045,40.26613,160400,471,150122,31.55724384,36.31765184
B0FFKCK3EY,农村商业银行,111.247422,40.270304,160121,471,150122,33.7582018,36.56613173
B0FFM52M98,自动提款机,111.247178,40.270375,160300,471,150122,33.74367638,36.57035838
B0FFKG0M43,金融保险机构,111.15914,40.631246,160000,471,150121,28.50273899,58.0531535
B0FFF5MRCD,金融保险机构,111.605642,40.820781,160000,471,150103,55.08318183,69.33624794
B0FFKPCE0Q,金融保险机构,111.798517,40.871227,160000,471,150102,66.5651078,72.33931852
B01D7038W3,金融保险机构,111.823382,40.373877,160000,471,150123,68.04533121,42.73187389
B01D70OYCL,保险公司,111.823778,40.375649,160400,471,150123,68.06890525,42.83736176
B0FFM88P81,金融保险机构,111.822865,40.373965,160000,471,150123,68.01455399,42.73711256
B0G336SH87,金融保险机构,111.823491,40.374272,160000,471,150123,68.05182002,42.75538839
B0FFHNHRWV,金融保险机构,111.823138,40.375011,160000,471,150123,68.03080579,42.79938136
B0FFKPHCE4,金融保险机构,111.823138,40.374503,160000,471,150123,68.03080579,42.76913992
B01D70OXDW,中国平安保险公司,111.823574,40.37678,160403,471,150123,68.05676105,42.90469064
B0FFL33XS3,金融保险机构,111.976795,40.873185,160000,471,150105,77.17806852,72.45587904
B01D70R9YS,农村商业银行,111.419577,39.820125,160121,471,150124,44.00665788,9.76679561
B0G3DN0HOH,金融保险机构,111.419859,39.819651,160000,471,150124,44.02344545,9.7385782
B0FFL0CF0Y,中国人民保险公司,111.419905,39.819981,160401,471,150124,44.02618385,9.758223232
B01D703BX9,农村商业银行,111.401034,40.742126,160121,471,150121,42.90278567,64.6538843
B0FFL1KC9H,农村商业银行ATM,111.40077,40.742193,160318,471,150121,42.88706964,64.65787284
B01D70OWUQ,农村商业银行ATM,110.921263,40.660077,160318,471,150121,14.34182594,59.76947448
B0FFKOTRC7,金融保险机构,110.918071,40.658895,160000,471,150121,14.1518049,59.69910954
B01D703C1R,农村商业银行,111.438781,39.817192,160121,471,150124,45.14987969,9.592192945
