id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B01D701ZPI,小学,111.974881,39.801848,141203,471,150124,76.60253315,9.238378661
B0HDDCCV8P,博物馆,111.444234,39.643029,140100,471,150124,45.73520669,0
B0FFKHO4WD,驾校,111.468382,40.755624,141500,471,150121,47.13987722,64.7187925
B0FFHIR2AL,幼儿园,111.476731,40.756718,141204,471,150121,47.6255321,64.78242964
B0H1MUZEM5,中学,111.560231,40.783723,141202,471,150121,52.48266266,66.35328964
B0FFG0RWNS,科教文化场所,111.563658,40.78212,140000,471,150121,52.68200861,66.26004437
B0FFJ1SULE,幼儿园,111.561546,40.782801,141204,471,150121,52.5591552,66.29965762
B0FFI1RY3F,科教文化场所,111.563191,40.782315,140000,471,150121,52.65484358,66.27138737
B0GR39MCMZ,幼儿园,111.560568,40.783319,141204,471,150121,52.50226569,66.32978928
B0FFHETA2E,幼儿园,111.564467,40.785223,141204,471,150121,52.72906751,66.44054349
B0G1J199LA,科教文化场所,111.561661,40.782485,140000,471,150121,52.56584466,66.28127614
B0FFL02HDS,培训机构,111.565675,40.786423,141400,471,150121,52.79933594,66.51034656
B0HRXCRQCN,幼儿园,111.681985,40.751265,141204,471,150104,59.56499888,64.46523283
B0FFKGNO3U,高等院校,111.685699,40.75633,141201,471,150104,59.78103939,64.75985998
B0FFF4FQCW,驾校,111.685048,40.752793,141500,471,150104,59.74317122,64.55411541
B01D70QKBD,职业技术学校,111.685714,40.756294,141206,471,150104,59.78191193,64.75776588
B0G24BDMNG,培训机构,111.684871,40.750891,141400,471,150104,59.73287527,64.44347754
B0FFM821HF,文化宫,111.677325,40.747195,140800,471,150104,59.29393027,64.22848408
B0FFM62GRD,科教文化场所,111.677475,40.75126,140000,471,150104,59.30265566,64.46494199
B0GRDOLLHE,科教文化场所,111.686475,40.74846,140000,471,150104,59.82617871,64.30206815
B0GKOM7B9T,培训机构,111.683128,40.748011,141400,471,150104,59.63148631,64.27595017
B01D70Q684,高等院校,111.685551,40.756639,141201,471,150104,59.77243035,64.77783427
B0GRDOLCOY,培训机构,111.68153,40.747108,141400,471,150104,59.53853188,64.22342335
B0FFKGNDIZ,学校,111.685518,40.756739,141200,471,150104,59.77051076,64.78365119
B0G25RVX5U,培训机构,111.680823,40.747112,141400,471,150104,59.49740623,64.22365603
B0FFM6Y3UQ,培训机构,111.676931,40.747169,141400,471,150104,59.2710116,64.22697168
B0FFI99V0C,科教文化场所,111.179035,40.73245,140000,471,150121,30.30878553,63.3707788
B01D70RINU,科教文化场所,111.904254,40.730619,140000,471,150105,72.49421507,63.26427095
B0FFKVY224,幼儿园,111.704776,40.720331,141204,471,150104,60.89073376,62.66582593
B0FFM0VOW1,培训机构,111.704763,40.720335,141400,471,150104,60.88997756,62.6660586
B01D701IUD,博物馆|风景名胜,111.683529,40.708696,140100|110000,471,150104,59.65481217,61.98902696
B01D70P8YR,小学,111.0896,40.732755,141203,471,150121,25.1064206,63.38852042
B01D701ZTX,中学,111.453162,41.099103,141202,471,150125,46.25454156,84.69870085
B01D701ZU6,小学,111.448799,41.103988,141203,471,150125,46.00074922,84.98285753
B0G2KX25IO,科教文化场所,111.453205,41.100346,140000,471,150125,46.25704284,84.7710052
B01D701ZTU,幼儿园,111.451578,41.099881,141204,471,150125,46.1624015,84.74395651
B0FFME4VRO,培训机构,111.450933,41.100251,141400,471,150125,46.12488235,84.76547912
B0FFKRMP9E,培训机构,111.449854,41.10019,141400,471,150125,46.06211776,84.7619308
B0FFKQ6S9D,培训机构,111.449452,41.099443,141400,471,150125,46.03873373,84.71847839
B0FFMAEJL5,培训机构,111.455901,41.099388,141400,471,150125,46.41386708,84.71527908
B01D7039PQ,职业技术学校,111.454034,41.099572,141206,471,150125,46.30526513,84.72598222
B01D702H01,博物馆,111.687728,40.812261,140100,471,150105,59.89906476,68.01332308
B01D7007EE,出版社,111.694419,40.813634,141105,471,150105,60.28827506,68.09318943
B01D70QTV6,高等院校,111.690173,40.81254,141201,471,150105,60.04128852,68.02955229
B01D70QJV4,高等院校,111.690803,40.811207,141201,471,150105,60.07793513,67.95201271
B01D701POU,高等院校,111.696827,40.810985,141201,471,150105,60.42834656,67.93909914
B01D702H9E,高等院校,111.690693,40.813032,141201,471,150105,60.07153652,68.05817156
B01D702JP7,高等院校,111.691772,40.811804,141201,471,150105,60.13430111,67.98673974
B01D70QKDE,高等院校,111.689495,40.811247,141201,471,150105,60.00184978,67.95433948
B01D70P944,高等院校,111.692014,40.811111,141201,471,150105,60.14837807,67.94642847
B01D701MUD,培训机构|购物服务,111.695664,40.810724,141400|061200,471,150105,60.36069575,67.92391698
B01D702UPZ,科研机构,111.696527,40.812212,141300,471,150105,60.41089579,68.01047279
B01D702H9G,高等院校,111.690693,40.813032,141201,471,150105,60.07153652,68.05817156
B01D702I7N,科研机构|公司企业,111.693471,40.809791,141300|170000,471,150105,60.23313063,67.86964509
B01D702JG4,高等院校,111.689245,40.814458,141201,471,150105,59.98730747,68.14112087
B01D702IH4,高等院校,111.690187,40.81253,141201,471,150105,60.04210289,68.0289706
B01D702JPR,图书馆,111.690164,40.814248,140500,471,150105,60.040765,68.12890534
B01D702IHJ,幼儿园,111.692843,40.81377,141204,471,150105,60.19660036,68.10110045
B0G1P4K71M,科教文化场所,111.6951,40.80956,140000,471,150105,60.32788831,67.85620799
B0FFJO2DOO,培训机构,111.695037,40.810819,141400,471,150105,60.32422364,67.92944305
B0FFF9FM5M,学校,111.693352,40.807845,141200,471,150105,60.22620849,67.75644777
B0FFF8TR56,学校,111.693915,40.807388,141200,471,150105,60.25895777,67.72986443
B01D70P5T5,培训机构,111.695031,40.81391,141400,471,150105,60.32387463,68.10924414
B0FFKER0B5,科教文化场所,111.695007,40.809713,140000,471,150105,60.32247857,67.86510789
B0FFL1V38U,科教文化场所,111.69509,40.80978,140000,471,150105,60.32730661,67.86900522
B0FFLNMMHP,培训机构,111.695089,40.809777,141400,471,150105,60.32724844,67.86883072
B0FFKV779S,科教文化场所,111.693189,40.814935,140000,471,150105,60.21672691,68.1688676
B01D702TW4,职业技术学校,111.695901,40.816277,141206,471,150105,60.37448186,68.2469307
B0FFJISTYK,培训机构,111.695064,40.80978,141400,471,150105,60.32579421,67.86900522
B0GUM658Y8,科教文化场所,111.69585,40.810134,140000,471,150105,60.37151523,67.88959713
B01D7022N2,幼儿园,111.691754,40.807358,141204,471,150105,60.13325407,67.72811935
B0FFFTMECT,培训机构,111.693281,40.814624,141400,471,150105,60.22207848,68.15077697
B0G3JL8VLG,科教文化场所,111.695055,40.809268,140000,471,150105,60.32527069,67.83922258
B0FFGYG67W,培训机构,111.694616,40.814503,141400,471,150105,60.2997344,68.14373849
B0G2MKTWXC,培训机构,111.693125,40.810558,141400,471,150105,60.21300408,67.91426088
B0FFIMYLVC,科教文化场所,111.693416,40.813124,140000,471,150105,60.22993133,68.06352312
B0FFFE9H2J,科研机构,111.691719,40.811087,141300,471,150105,60.13121815,67.94503241
B0FFL00CNH,成人教育,111.692105,40.813706,141205,471,150105,60.15367147,68.09737761
B01D702IHD,科研机构,111.691719,40.811087,141300,471,150105,60.13121815,67.94503241
B01D70PD86,传媒机构,111.688538,40.809292,141100,471,150105,59.94618183,67.84061864
B0FFGSD97Y,培训机构,111.693272,40.810648,141400,471,150105,60.22155496,67.91949611
B01D70P98W,科研机构,111.692013,40.81111,141300,471,150105,60.1483199,67.9463703
B0GR6NXY67,科教文化场所,111.694928,40.810683,140000,471,150105,60.3178832,67.92153204
B0GRC1ETZB,科教文化场所,111.694738,40.810358,140000,471,150105,60.30683105,67.90262704
B0GU1SYMPP,幼儿园,111.695306,40.814669,141204,471,150105,60.33987117,68.15339458
B01D702IGQ,高等院校,111.692137,40.812485,141201,471,150105,60.15553288,68.02635299
B01D702IH9,高等院校,111.691753,40.811006,141201,471,150105,60.1331959,67.9403207
B01D700EB9,中学,111.691727,40.808948,141202,471,150105,60.1316835,67.82060843
B01D702GZU,高等院校,111.688829,40.812519,141201,471,150105,59.96310908,68.02833074
B01D701AAC,科研机构,111.696657,40.811182,141300,471,150105,60.41845779,67.95055848
B01D70QUBQ,高等院校,111.687208,40.811116,141201,471,150105,59.86881676,67.94671931
B0FFGAP6MX,学校,111.691754,40.811018,141200,471,150105,60.13325407,67.94101873
B01D702H02,高等院校,111.687798,40.813313,141201,471,150105,59.9031366,68.07451711
B01D70P6Y7,报社,111.695353,40.814689,141103,471,150105,60.34260512,68.15455797
B01D70QK3T,报社,111.69218,40.812943,141103,471,150105,60.15803416,68.05299449
B0FFHCNKT4,培训机构,111.691597,40.811867,141400,471,150105,60.1241215,67.9904044
B0FFG2T8QX,档案馆,111.688829,40.812513,140900,471,150105,59.96310908,68.02798173
B01D702I1V,高等院校,111.690038,40.810568,141201,471,150105,60.03343567,67.91484258
B0FFF0EW9D,图书馆,111.68697,40.810411,140500,471,150105,59.85497248,67.90571001
