id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0HDD7C1OD,休闲场所|餐饮服务,111.443066,39.644027,080500|050000,471,150124,41.66260358,0.431633013
B0FFG9D3BW,休闲场所,111.446939,39.64653,80500,471,150124,41.8868744,0.576572299
B0HDHMDQ2H,体育休闲服务场所,111.449327,39.648671,80000,471,150124,42.02515446,0.70054953
B0HDD7AZBY,休闲场所,111.449017,39.645333,80500,471,150124,42.00720353,0.507258546
B0FFJZT2WT,休闲场所,111.449524,39.647504,80500,471,150124,42.03656199,0.632972964
B0FFHE11XL,休闲场所,111.445049,39.643395,80500,471,150124,41.77743163,0.395036278
B0H1SHIW8E,采摘园,111.813835,40.892286,80503,471,150102,63.13243733,72.71360159
B0FFFHW87F,采摘园,111.812921,40.896533,80503,471,150102,63.07951104,72.95952934
B0FFK4GCJ1,采摘园,111.813073,40.895565,80503,471,150102,63.08831279,72.90347611
B0FFIN1GIF,采摘园,111.813017,40.895237,80503,471,150102,63.08507004,72.88448287
B0FFM89MTV,采摘园,111.815953,40.892824,80503,471,150102,63.25508272,72.74475514
B0G06GO8EV,体育休闲服务场所,111.81296,40.895768,80000,471,150102,63.08176938,72.91523107
B0FFKZLWVK,采摘园,111.815621,40.894628,80503,471,150102,63.23585785,72.84921798
B0FFIR3LUS,体育休闲服务场所,111.816325,40.889452,80000,471,150102,63.27662384,72.54949535
B0FFGZU89O,采摘园,111.816216,40.890414,80503,471,150102,63.27031206,72.60520114
B0FFLIZ2RL,体育休闲服务场所,111.813288,40.895105,80000,471,150102,63.10076263,72.87683925
B0HBYAG1GS,娱乐场所,111.816027,40.892127,80300,471,150102,63.25936778,72.7043945
B0FFIUVGUP,休闲场所,111.796607,40.526466,80500,471,150121,62.13482886,51.53034576
B0FFM1DWB2,疗养院,112.008702,40.697969,80402,471,150105,74.41645,61.46143735
B01D701SUW,网吧,111.698882,40.832013,80308,471,150102,56.47594286,69.22341959
B0FFLAEBKH,酒吧,111.697648,40.832034,80304,471,150102,56.40448657,69.22463563
B0G2UZ1W5J,网吧,111.702901,40.833379,80308,471,150102,56.70866798,69.3025195
B0FFIA4VFZ,电影院,111.696884,40.827564,80601,471,150102,56.36024622,68.96579479
B0FFKJYN4F,跆拳道场馆,111.70675,40.836741,80119,471,150102,56.93154905,69.49720023
B0H1XZ511A,体育休闲服务场所,111.706833,40.827619,80000,471,150105,56.93635527,68.96897963
B0FFMFDA9V,游泳馆,111.700215,40.835181,80110,471,150102,56.55313186,69.40686652
B0G2VMJZH4,酒吧,111.697115,40.83061,80304,471,150102,56.37362256,69.14217716
B0FFIBN0A5,棋牌室,111.699913,40.833621,80306,471,150102,56.53564418,69.31653281
B0FFFEG70Y,酒吧,111.70645,40.82986,80304,471,150105,56.91417718,69.09874749
B0FFL8O0L5,体育休闲服务场所,111.699388,40.82835,80000,471,150102,56.50524341,69.01130909
B0FFI0AMZ4,体育休闲服务场所,111.70593,40.829699,80000,471,150105,56.88406594,69.08942459
B0HB3RADHM,网吧,111.697522,40.834464,80308,471,150102,56.39719039,69.36534776
B0HBX7RJB3,体育休闲服务场所,111.700098,40.835052,80000,471,150102,56.54635683,69.39939662
B0FFGNOMZT,酒吧,111.697652,40.832058,80304,471,150102,56.4047182,69.22602537
B01D701TK6,网吧,111.698344,40.832612,80308,471,150102,56.44478931,69.25810542
B0G0PMCRE0,健身中心,111.699434,40.827831,80111,471,150102,56.5079071,68.98125575
B0HUTCZLJ8,娱乐场所,111.705848,40.829593,80300,471,150105,56.87931763,69.08328653
B0FFIY9WB5,健身中心,111.706076,40.829484,80111,471,150105,56.89252025,69.07697475
B0HU7CY0LJ,娱乐场所,111.706305,40.82976,80300,471,150105,56.90578078,69.09295687
B0HB3M6ZTN,乒乓球馆,111.700279,40.835132,80112,471,150102,56.55683786,69.40402912
B0FFI2W1XF,健身中心,111.697011,40.827049,80111,471,150102,56.36760031,68.93597309
B0FFJXQAR1,休闲场所,111.513606,40.76201,80500,471,150121,45.74730881,65.16981001
B0G2GKLD88,剧场,112.048277,40.869326,80603,471,150105,76.70808892,71.38407463
B0FFG98JGR,休闲场所,111.552718,40.864136,80500,471,150103,48.01213715,71.08354131
B0HR3RDXWC,体育休闲服务场所,111.55321,40.863864,80000,471,150103,48.04062701,71.06779082
B0FFJB7QN9,体育休闲服务场所,111.551994,40.865349,80000,471,150103,47.97021304,71.15378157
B0FFKSQ26B,体育休闲服务场所,111.031751,40.604644,80000,471,150121,17.84490396,56.05733875
B0FFL08XC5,休闲场所,111.034929,40.602985,80500,471,150121,18.02892995,55.96127232
B0FFMFBGCD,体育休闲服务场所,111.784998,40.742607,80000,471,150105,61.46259547,64.04625549
B0FFM98MGZ,网吧,111.464174,41.077626,80308,471,150125,42.88488821,83.44594164
B0FFKPZQQL,跆拳道场馆,111.461025,41.086139,80119,471,150125,42.7025415,83.93889735
B0H1OASIMQ,健身中心,111.460307,41.084014,80111,471,150125,42.66096483,83.81584662
B0HA3U4DRZ,垂钓园,111.751356,40.549519,80502,471,150121,59.5145142,52.865258
B0FFJ1T0JL,休闲场所,111.896884,40.722888,80500,471,150105,67.94149155,62.90440261
B0HUT5YRDG,健身中心,111.929581,40.89479,80111,471,150102,69.83485144,72.85859879
B0FFI0GTQX,游泳馆,111.766452,40.832747,80110,471,150105,60.38866659,69.26592276
B0FFJAZGN9,体育休闲服务场所,111.766586,40.832891,80000,471,150105,60.39642603,69.27426126
B0FFGSE767,健身中心,111.766571,40.832966,80111,471,150105,60.39555743,69.27860423
B0GR5145VK,运动场所,111.763708,40.827739,80100,471,150105,60.22977191,68.97592838
B0FFJ8M7M1,KTV,111.897438,40.617277,80302,471,150123,67.9735716,56.78886811
B0FFJ7QJ0I,体育休闲服务场所,111.671806,40.735399,80000,471,150104,54.90807387,63.62886741
B0HUDZLRVR,休闲场所,111.537852,40.61989,80500,471,150121,47.15130318,56.94017708
B0G1P4IPLL,健身中心,111.739803,40.810391,80111,471,150105,58.84552356,67.97137116
B0HRMUJW04,健身中心,111.739883,40.810419,80111,471,150105,58.85015606,67.97299254
B0FFJW8W52,电影院,111.739571,40.807991,80601,471,150105,58.83208931,67.83239622
B0FFM6T1CN,体育休闲服务场所,111.743012,40.808587,80000,471,150105,59.03134464,67.86690833
B0FFJZ027F,体育休闲服务场所,111.743477,40.807735,80000,471,150105,59.05827104,67.81757222
B0HUMAUW3Y,游乐场,111.738277,40.808008,80501,471,150105,58.75715866,67.83338062
B0GUBBMQTP,健身中心,111.74266,40.80863,80111,471,150105,59.01096165,67.8693983
B0FFFXKA84,娱乐场所,111.742717,40.813131,80300,471,150105,59.0142623,68.13003422
B0FFL7MCIF,健身中心,111.738429,40.807823,80111,471,150105,58.7659604,67.82266797
B0FFLHAR5W,网吧,111.623178,40.790212,80308,471,150104,52.09220988,66.80288141
B01D70R4I2,KTV,111.624572,40.795637,80302,471,150103,52.17293116,67.11702269
B0G35RYBTR,运动场所,111.623743,40.790188,80100,471,150104,52.12492689,66.80149166
B01D70R3YL,KTV,111.624255,40.795577,80302,471,150103,52.15457488,67.11354832
B0G35SW1EZ,运动场所,111.623937,40.789231,80100,471,150104,52.1361607,66.74607541
B0G35SUBU8,足球场,111.620674,40.792195,80105,471,150104,51.94721268,66.91770946
B0HU5RQ5PF,KTV,111.624709,40.795767,80302,471,150103,52.18086431,67.1245505
B0G24OFTH4,体育休闲服务场所,111.727861,40.509505,80000,471,150121,58.1540074,50.54819825
B0FFKKUV8Z,采摘园,111.240542,40.200918,80503,471,150122,29.93520293,32.67908948
B0HAFHUKYA,体育休闲服务场所,111.241908,40.19913,80000,471,150122,30.01430284,32.57555315
B01D7020JA,度假村,110.95655,40.676816,80401,471,150121,13.49029781,60.23654694
B0G2XUJA2Y,体育休闲服务场所,111.780839,40.795517,80000,471,150105,61.22176348,67.11007395
B0FFKEI9PB,体育休闲服务场所,111.786488,40.795811,80000,471,150105,61.54887575,67.12709838
B01D70RBQ8,酒吧,111.792881,40.498095,80304,471,150123,61.91907026,49.8874882
B01D70RAYV,KTV,111.793462,40.498044,80302,471,150123,61.95271378,49.88453498
B01D70RBQ7,KTV,111.793326,40.497964,80302,471,150123,61.94483853,49.87990249
B0FFJCVHTG,体育休闲服务场所,111.578086,40.768536,80000,471,150121,49.4811023,65.54770604
B0G3MUZ2WD,娱乐场所,111.577672,40.768594,80300,471,150121,49.45712913,65.55106461
B0HD07Z1KZ,休闲场所,111.81663,40.50324,80500,471,150123,63.29428523,50.18541574
B0FFJDNHIK,体育休闲服务场所,111.764871,40.758613,80000,471,150105,60.29711685,64.97310256
B0FFKQ16AV,体育休闲服务场所,111.680609,40.533437,80000,471,150121,55.41782238,51.93401006
B0FFL1R3I2,体育休闲服务场所,111.683836,40.527134,80000,471,150121,55.60468577,51.56902712
B0FFKPCSBX,酒吧,111.823061,40.374713,80304,471,150123,63.66668018,42.74290214
B0FFKQNGA6,跆拳道场馆,111.824157,40.376763,80119,471,150123,63.7301454,42.86160991
B0FFL0WVUN,体育休闲服务场所,111.611653,40.805869,80000,471,150103,51.42484061,67.7095192
B0HRSCQX1R,篮球场馆,111.614423,40.805159,80104,471,150103,51.58524086,67.66840578
B0H1BA5PHT,健身中心,111.614826,40.804754,80111,471,150103,51.60857707,67.64495376
B0FFJRW5JH,篮球场馆,111.609383,40.802115,80104,471,150103,51.29339348,67.49213923
B0FFKKCPOG,健身中心,111.611494,40.806049,80111,471,150103,51.41563352,67.71994233
B0FFMHHK3L,足球场,111.610967,40.805643,80105,471,150103,51.38511694,67.6964324
B0FFLHCITN,休闲场所,111.968502,40.964636,80500,471,150102,72.08861969,76.90311709
B0HRY5GL3M,休闲场所,111.968456,40.964785,80500,471,150102,72.085956,76.91174512
B0FFFT8ZKO,运动场所,111.833538,40.401017,80100,471,150123,64.27336371,44.26606753
B0FFHYF6IE,娱乐场所,111.622733,40.655433,80300,471,150104,52.0664416,58.99833809
B0FFHORHSL,采摘园,111.854695,40.922459,80503,471,150102,65.49848575,74.46080617
B0HG0DWS6T,体育休闲服务场所,111.852804,40.92465,80000,471,150102,65.38898508,74.58767871
B0FFIS8HV0,体育休闲服务场所,111.854334,40.924375,80000,471,150102,65.4775816,74.5717545
B0HGOSVSKN,采摘园,111.852569,40.925345,80503,471,150102,65.37537711,74.62792354
B0HG9LR6O2,采摘园,111.852597,40.925473,80503,471,150102,65.37699849,74.63533554
B0HRS7PW06,采摘园,111.856418,40.923876,80503,471,150102,65.59825818,74.54285929
B0FFFV9AWH,采摘园,111.846919,40.924263,80503,471,150102,65.04820693,74.565269
B0HRNZV20X,采摘园,111.855838,40.925823,80503,471,150102,65.56467257,74.65560272
B0FFH4K4TG,剧场,111.252099,40.262678,80603,471,150122,30.60442519,36.25537804
B0G3JC77J3,KTV,111.253946,40.259638,80302,471,150122,30.71137799,36.07934311
B0FFIT512C,电影院,111.607793,40.831739,80601,471,150103,51.20132258,69.20755329
B0FFF5QYFU,电影院,111.611227,40.835801,80601,471,150103,51.40017256,69.44276838
B0FFIJUE68,KTV,111.607956,40.835037,80302,471,150103,51.21076129,69.39852802
B0FFIARN0E,运动场所,111.608731,40.83152,80100,471,150103,51.25563862,69.19487182
B0FFI6WME8,体育休闲服务场所,111.608419,40.83182,80000,471,150103,51.23757188,69.21224369
B0FFKT7HX4,健身中心,111.608658,40.831707,80111,471,150103,51.25141146,69.20570029
B0FFIOYA0I,游乐场,111.607843,40.831856,80501,471,150103,51.20421789,69.21432832
B0FFK9H2OY,娱乐场所,111.608287,40.831749,80300,471,150103,51.22992825,69.20813235
B0HB3N6NLZ,度假村,111.982429,40.979383,80401,471,150102,72.89507971,77.75706022
B0FFLO2Z9S,健身中心,111.608911,40.835069,80111,471,150103,51.26606174,69.40038102
B0HUAU7O6Y,体育休闲服务场所,111.607408,40.83178,80000,471,150103,51.17902868,69.20992744
B0FFMFSQ73,酒吧,111.71964,40.814662,80304,471,150105,57.67796031,68.21868866
B0GU9OTYM5,酒吧,111.719584,40.81469,80304,471,150105,57.67471756,68.22031003
B0FFHK8RNS,酒吧,111.719212,40.814548,80304,471,150105,57.65317645,68.21208735
B0G31ZWIZE,疗养院,111.718738,40.813647,80402,471,150105,57.62572889,68.15991384
B0G3Z7SY1D,健身中心,111.717065,40.8151,80111,471,150105,57.52885178,68.24405158
B0H6ZUSYU0,休闲场所,111.718381,40.815258,80500,471,150105,57.60505637,68.25320077
B0FFH8BUKA,健身中心,111.717724,40.816428,80111,471,150105,57.56701198,68.32095105
B0FFI9FNEV,网球场,111.719018,40.808056,80103,471,150105,57.64194264,67.83616012
B0GDTAYZ21,体育休闲服务场所,111.435322,40.708114,80000,471,150121,41.21417776,62.04889602
B0HROCMJX6,垂钓园,111.435241,40.70735,80502,471,150121,41.20948736,62.00465566
B0FFGRWIAR,休闲场所,111.921658,39.913415,80500,471,150124,69.37606041,16.0308756
B0FFHI48FS,综合体育馆,111.755398,40.850688,80101,471,150102,59.74857116,70.30481838
B0FFIPVGFT,KTV,111.75134,40.853806,80302,471,150102,59.5135877,70.48536999
B0FFKL5FA6,网吧,111.748004,40.853929,80308,471,150102,59.32041252,70.49249246
B0FFJNPZF1,游戏厅,111.752809,40.854801,80305,471,150102,59.59865194,70.54298669
B0FFHI11R8,足球场,111.755179,40.85027,80105,471,150102,59.7358897,70.28061357
B0FFHI48FT,足球场,111.756242,40.849921,80105,471,150102,59.79744402,70.2604043
B0FFJB1KGE,体育休闲服务场所,111.211241,40.233792,80000,471,150122,28.23849259,34.58269878
B01D70QGEV,KTV,111.654584,40.831565,80302,471,150102,53.91081283,69.1974776
B0GU4OW4JW,KTV,111.654582,40.831571,80302,471,150102,53.91069702,69.19782504
B0FFHTQMCJ,体育休闲服务场所,111.655091,40.832904,80000,471,150102,53.94017129,69.27501404
B0FFILLNZK,运动场所,111.655029,40.832782,80100,471,150102,53.9365811,69.26794948
B0GR0AVG1B,酒吧,111.645978,40.815028,80304,471,150103,53.41247184,68.23988233
B0HUOSG5WE,台球厅,111.639317,40.810569,80113,471,150103,53.02675847,67.98167847
B0H1DUOXRL,台球厅,111.637867,40.814121,80113,471,150103,52.94279444,68.18736139
