MJD(days),Predicted PT-TT(s)
56646.9238449734,-0.05398532044718317
56647.9238449734,-0.05674812480600734
56648.9238449734,-0.05240627269756005
56649.9238449734,-0.04761747819393546
56650.9238449734,-0.055991306437504364
56651.9238449734,-0.055579136436545676
56652.9238449734,-0.0461002996621749
56653.9238449734,-0.0497471021818594
56654.9238449734,-0.05551955984521079
56655.9238449734,-0.0500472997855183
56656.9238449734,-0.05466510055542252
56657.9238449734,-0.054264572947123585
56658.9238449734,-0.050314024909354216
56659.9238449734,-0.060678149578385465
56660.9238449734,-0.059324249605573726
56661.9238449734,-0.05309901017712551
56662.9238449734,-0.05493964022050486
56663.9238449734,-0.04789216004376845
56664.9238449734,-0.053591429172262964
56665.9238449734,-0.05570073938924546
56666.9238449734,-0.04089888912587332
56667.9238449734,-0.04894392656082586
56668.9238449734,-0.047065316122865644
56669.9238449734,-0.054114610165284634
56670.9238449734,-0.049300694944755356
56671.9238449734,-0.0456120804614922
56672.9238449734,-0.05150957338506513
56673.9238449734,-0.043464027494137344
56674.9238449734,-0.047933623123371814
56675.9238449734,-0.04597681051065627
56676.9238449734,-0.047114786910748954
56677.9238449734,-0.03443277501496937
56678.9238449734,-0.04334956414911581
56679.9238449734,-0.04815854475811773
56680.9238449734,-0.038345177640734376
56681.9238449734,-0.048150032539017514
56682.9238449734,-0.04058940840205071
56683.9238449734,-0.05101998908438546
56684.9238449734,-0.04745048079739082
56685.9238449734,-0.03941315646146514
56686.9238449734,-0.0362930418287458
56687.9238449734,-0.038716445410685085
56688.9238449734,-0.039739440316488225
56689.9238449734,-0.040254629470405555
56690.9238449734,-0.04572963303220833
56691.9238449734,-0.041524156210256825
56692.9238449734,-0.03981604111099431
56693.9238449734,-0.03181514821301289
56694.9238449734,-0.03497057998417724
56695.9238449734,-0.04509178429674531
56696.9238449734,-0.034244075760869755
56697.9238449734,-0.0373778190978374
56698.9238449734,-0.038424929785197695
56699.9238449734,-0.03156985042737565
56700.9238449734,-0.029061146347012318
56701.9238449734,-0.02914765545182317
56702.9238449734,-0.03758805575142944
56703.9238449734,-0.034525942102484414
56704.9238449734,-0.03091147515412261
56705.9238449734,-0.027277978763440725
56706.9238449734,-0.03413948767619106
56707.9238449734,-0.03225982345819578
56708.9238449734,-0.03645111553281892
56709.9238449734,-0.03648838587110422
56710.9238449734,-0.026032635726641967
56711.9238449734,-0.02290197678367093
56712.9238449734,-0.029631139622338803
56713.9238449734,-0.023841336612889102
56714.9238449734,-0.026638733065023137
56715.9238449734,-0.03126042405119902
56716.9238449734,-0.025815759338543413
56717.9238449734,-0.019520466621667724
56718.9238449734,-0.026977691737459418
56719.9238449734,-0.018563255350751717
56720.9238449734,-0.03907311123818256
56721.9238449734,-0.0214527852837698
56722.9238449734,-0.024714974552367156
56723.9238449734,-0.026233158733799437
56724.9238449734,-0.02386723018670468
56725.9238449734,-0.03385179073029874
56726.9238449734,-0.024600217684393924
56727.9238449734,-0.02130420747555972
56728.9238449734,-0.01528821219732296
56729.9238449734,-0.024856945600310862
56730.9238449734,-0.025895974611320653
56731.9238449734,-0.023950203902689485
56732.9238449734,-0.01645232018416852
56733.9238449734,-0.01897348731229256
56734.9238449734,-0.022853955967338257
56735.9238449734,-0.017226729870848372
56736.9238449734,-0.01889559137758704
56737.9238449734,-0.014125666259574884
56738.9238449734,-0.022067068769538182
56739.9238449734,-0.019783026121052344
56740.9238449734,-0.01969316824163638
56741.9238449734,-0.024638114304548275
56742.9238449734,-0.01542785026647689
56743.9238449734,-0.015191087378812414
56744.9238449734,-0.01605870854441164
56745.9238449734,-0.016845123582411768
56746.9238449734,-0.022336953713700196
56747.9238449734,-0.016951238705187006
56748.9238449734,-0.01614949676190614
56749.9238449734,-0.01803522261329248
56750.9238449734,-0.014418176913426518
56751.9238449734,-0.01117940615893587
56752.9238449734,-0.003356643024868001
56753.9238449734,-0.011502595554673539
56754.9238449734,-0.010675644753131002
56755.9238449734,-0.011923538373487749
56756.9238449734,-0.02073307695906421
56757.9238449734,-0.010859702347727176
56758.9238449734,-0.010013894008688042
56759.9238449734,0.0024132534161211677
56760.9238449734,-0.010452674058122965
56761.9238449734,-0.00757104461046138
56762.9238449734,-0.008840252258567749
56763.9238449734,-0.014097995686051273
56764.9238449734,-0.0021284035132906
56765.9238449734,-0.003670764510343922
56766.9238449734,-0.0030631820264746474
56767.9238449734,-0.01115319112357566
56768.9238449734,0.0008198056171664419
56769.9238449734,-0.012791333339387548
56770.9238449734,-0.002435704644336881
56771.9238449734,0.005994375927799571
