MJD(days),Predicted PT-TT(s)
56646.9238449734,-0.042090216155674647
56647.9238449734,-0.048568999687394275
56648.9238449734,-0.049536758343465895
56649.9238449734,-0.04967746380627706
56650.9238449734,-0.050790234098215654
56651.9238449734,-0.050076453712199674
56652.9238449734,-0.051392183694778236
56653.9238449734,-0.0504808547681671
56654.9238449734,-0.055863333948082336
56655.9238449734,-0.05636307652496732
56656.9238449734,-0.059523368050083555
56657.9238449734,-0.06463938229703901
56658.9238449734,-0.06554965843413596
56659.9238449734,-0.06585614847647037
56660.9238449734,-0.06604334235169085
56661.9238449734,-0.06966445035235726
56662.9238449734,-0.06870971905303529
56663.9238449734,-0.07018629898186073
56664.9238449734,-0.07119043746374205
56665.9238449734,-0.0716504426428333
56666.9238449734,-0.07154319552305625
56667.9238449734,-0.07270502658867871
56668.9238449734,-0.07210192923147446
56669.9238449734,-0.07194509033752101
56670.9238449734,-0.07258992320454839
56671.9238449734,-0.07238732926746132
56672.9238449734,-0.07176372710713398
56673.9238449734,-0.07146622619883777
56674.9238449734,-0.07059697742480973
56675.9238449734,-0.07040196913424666
56676.9238449734,-0.06889790094699616
56677.9238449734,-0.06823178880297252
56678.9238449734,-0.06823644364228297
56679.9238449734,-0.06860451486209773
56680.9238449734,-0.0678245538366433
56681.9238449734,-0.0680633556131742
56682.9238449734,-0.06852502715332941
56683.9238449734,-0.06824816523818951
56684.9238449734,-0.06706785332225558
56685.9238449734,-0.06497657284337048
56686.9238449734,-0.06543629140641848
56687.9238449734,-0.06539898132520795
56688.9238449734,-0.06298139378040976
56689.9238449734,-0.06368710145192596
56690.9238449734,-0.06290298875813087
56691.9238449734,-0.06272005610669495
56692.9238449734,-0.062424871917883956
56693.9238449734,-0.06258226778179715
56694.9238449734,-0.06284510335326488
56695.9238449734,-0.06205081865605536
56696.9238449734,-0.06277846876255738
56697.9238449734,-0.06278203559938889
56698.9238449734,-0.06232069715432073
56699.9238449734,-0.06325820896507756
56700.9238449734,-0.06353635325087467
56701.9238449734,-0.06402702564702184
56702.9238449734,-0.0637220358739593
56703.9238449734,-0.06392653661146513
56704.9238449734,-0.06430440447640308
56705.9238449734,-0.06516345405065703
56706.9238449734,-0.0654159716350471
56707.9238449734,-0.06618045547566719
56708.9238449734,-0.06565225786147616
56709.9238449734,-0.06564702487079103
56710.9238449734,-0.06798661244508152
56711.9238449734,-0.071369711916161
56712.9238449734,-0.07225127000070838
56713.9238449734,-0.07181276603381678
56714.9238449734,-0.07222676540699059
56715.9238449734,-0.07388570713262863
56716.9238449734,-0.07360394837285361
56717.9238449734,-0.07482234599301354
56718.9238449734,-0.07557442297353371
56719.9238449734,-0.07536707733252206
56720.9238449734,-0.07559417481018216
56721.9238449734,-0.07669635144643269
56722.9238449734,-0.07668907843799673
56723.9238449734,-0.07730770821241491
56724.9238449734,-0.0775376372644045
56725.9238449734,-0.07689104927439848
56726.9238449734,-0.07780172522156205
56727.9238449734,-0.07813758075608211
56728.9238449734,-0.07981317930535373
56729.9238449734,-0.07994182844926087
56730.9238449734,-0.08098892522878912
56731.9238449734,-0.08250387068081227
56732.9238449734,-0.08244701434453872
56733.9238449734,-0.08178527818632018
56734.9238449734,-0.08323148637819587
56735.9238449734,-0.083454420815965
56736.9238449734,-0.08329840869524921
56737.9238449734,-0.08624123779843614
56738.9238449734,-0.08588992393307208
56739.9238449734,-0.06033644715231073
56740.9238449734,-0.057476251459412805
56741.9238449734,-0.05747408718451266
56742.9238449734,-0.056639676068789474
56743.9238449734,-0.056480649418454314
56744.9238449734,-0.05410865935587189
56745.9238449734,-0.05355990858879505
56746.9238449734,-0.05381538616703011
56747.9238449734,-0.049353787475223086
56748.9238449734,-0.04905866674752188
56749.9238449734,-0.04886336540958648
56750.9238449734,-0.04566468427723079
56751.9238449734,-0.04521178520787165
56752.9238449734,-0.044818373593825164
56753.9238449734,-0.041450693337945925
56754.9238449734,-0.04129805047323058
56755.9238449734,-0.04134824651281555
56756.9238449734,-0.04173399314383128
56757.9238449734,-0.03584401810841287
56758.9238449734,-0.03644861921668448
56759.9238449734,-0.03529840919899583
56760.9238449734,-0.03323127789268232
56761.9238449734,-0.03274682598900472
56762.9238449734,-0.032923402853729515
56763.9238449734,-0.03183020823456954
56764.9238449734,-0.032399407904142696
56765.9238449734,-0.03066295798628601
56766.9238449734,-0.029574120351346118
56767.9238449734,-0.029765806160204324
56768.9238449734,-0.02905491926931615
56769.9238449734,-0.02801488178834267
56770.9238449734,-0.028538090418790622
56771.9238449734,-0.02721919724565214
56772.9238449734,-0.02663790954529723
56773.9238449734,-0.027169902863867276
56774.9238449734,-0.0270391323479591
56775.9238449734,-0.027457365138351758
56776.9238449734,-0.02715008193433607
56777.9238449734,-0.027010195617519186
56778.9238449734,-0.026653924549255265
56779.9238449734,-0.02530943338582884
56780.9238449734,-0.02384084447833664
56781.9238449734,-0.024579750069195137
56782.9238449734,-0.023943829992657692
56783.9238449734,-0.02337908070364678
56784.9238449734,-0.022753996249291905
56785.9238449734,-0.023736472986304172
56786.9238449734,-0.024268250390265943
56787.9238449734,-0.02377948780070463
56788.9238449734,-0.02401487367471185
56789.9238449734,-0.023357696303347626
56790.9238449734,-0.022472906723436464
56791.9238449734,-0.02165194020904012
56792.9238449734,-0.022246294616266392
56793.9238449734,-0.021969401589198384
56794.9238449734,-0.021951760456141667
56795.9238449734,-0.022538385386406963
56796.9238449734,-0.021832107027865498
56797.9238449734,-0.017640379060889135
56798.9238449734,-0.017540219261504383
56799.9238449734,-0.01603276479022054
56800.9238449734,-0.014073948315737795
56801.9238449734,-0.012912384277555361
56802.9238449734,-0.012501033543211264
56803.9238449734,-0.011487649549379317
56804.9238449734,-0.01078693874961429
56805.9238449734,-0.010358007435621368
56806.9238449734,-0.010199963417190466
56807.9238449734,-0.00833725345812487
56808.9238449734,-0.0080690576028553
56809.9238449734,-0.0077183254982803335
56810.9238449734,-0.008246189910849777
56811.9238449734,-0.007837914617976711
56812.9238449734,-0.008287653198274876
56813.9238449734,-0.008836174222151787
56814.9238449734,-0.008155128798295134
56815.9238449734,-0.010777791935437289
56816.9238449734,-0.011890007204463015
56817.9238449734,-0.011700738047111187
56818.9238449734,-0.010713173405001011
56819.9238449734,-0.011805905563557742
56820.9238449734,-0.010323897144253873
56821.9238449734,-0.010143256255725302
56822.9238449734,-0.010253477828220522
56823.9238449734,-0.0083642643361498
56824.9238449734,-0.00621431605274328
56825.9238449734,-0.003954576548563647
56826.9238449734,-0.0040549495736640585
56827.9238449734,-0.0013112402083027095
56828.9238449734,-0.001804432965766127
56829.9238449734,-0.0010274737947549536
56830.9238449734,-0.0015401843798734682
56831.9238449734,0.00016814365549559847
56832.9238449734,0.0016997988975536089
56833.9238449734,0.0012004691267554946
56834.9238449734,0.0010176459856726422
56835.9238449734,0.0039680548783207524
56836.9238449734,0.0039352439480079705
56837.9238449734,0.011484058285639044
56838.9238449734,0.01215408223009875
56839.9238449734,0.013750519617441455
56840.9238449734,0.01325131647539172
56841.9238449734,0.014238758271944863
56842.9238449734,0.01629746690679738
56843.9238449734,0.016332689236598356
56844.9238449734,0.017551463516059247
56845.9238449734,0.01820991360664337
56846.9238449734,0.021453876506414234
56847.9238449734,0.02170761091078594
56848.9238449734,0.022507262513132998
56849.9238449734,0.02291917684282603
56850.9238449734,0.025805244828684706
56851.9238449734,0.025534187187949024
56852.9238449734,0.025235272176581957
56853.9238449734,0.02885863886412737
56854.9238449734,0.02995515292873983
56855.9238449734,0.031044411062466328
56856.9238449734,0.032486474639546147
56857.9238449734,0.03518704531127675
56858.9238449734,0.03492184012980551
56859.9238449734,0.035831590270763033
56860.9238449734,0.039973612544984514
56861.9238449734,0.04066038110784618
56862.9238449734,0.04478923472916311
56863.9238449734,0.04459405103043478
56864.9238449734,0.04561341426509259
56865.9238449734,0.0525257003361936
56866.9238449734,0.05617484458764002
56867.9238449734,0.059431143508184965
56868.9238449734,0.057657185661559626
56869.9238449734,0.06279027543708368
56870.9238449734,0.06366775186826015
56871.9238449734,0.07114924011672218
56872.9238449734,0.07200494898899314
56873.9238449734,0.07327295901499267
56874.9238449734,0.07310664735868118
