id,type,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF00F33,宾馆酒店,125.27956,43.84528,100100,431,220104,56.87035351,32.85391575
B01AF00FC9,旅馆招待所,125.298799,43.874027,100200,431,220104,57.84786947,34.31452449
B01AF024AD,四星级宾馆,125.391902,43.835003,100103,431,220102,62.57834761,32.3317508
B01AF024CE,宾馆酒店,125.572965,44.293762,100100,431,220183,71.77799276,55.6408753
B01AF02B08,宾馆酒店,125.376336,43.863327,100100,431,220102,61.78745341,33.77086729
B01AF02D0B,五星级宾馆,125.361996,43.863863,100102,431,220102,61.05885115,33.79810096
B01AF0458A,宾馆酒店,125.28697,43.873814,100100,431,220104,57.24684882,34.30370215
B01AF04697,四星级宾馆,125.315263,43.888203,100103,431,220104,58.68439023,35.03479406
B01AF0491E,宾馆酒店,125.389304,43.701745,100100,431,220102,62.44634561,25.5610339
B01AF04C4C,旅馆招待所,125.333822,43.886739,100200,431,220102,59.62735602,34.96040956
B01AF05F03,旅馆招待所,125.374153,43.863833,100200,431,220102,61.67653718,33.79657669
B01AF06151,四星级宾馆,125.327632,43.886899,100103,431,220102,59.31284779,34.96853902
B01AF0669F,宾馆酒店|生活服务,125.325338,43.873807,100100|071400,431,220102,59.19629175,34.30334649
B01AF06CV6,五星级宾馆,125.326226,43.85789,100102,431,220102,59.24141022,33.4946183
B01AF06D79,旅馆招待所,125.321913,43.906813,100200,431,220103,59.02227064,35.98035111
B01AF06DSA,宾馆酒店|餐饮服务,125.324231,43.868642,100100|050000,431,220104,59.14004609,34.04091757
B01AF06GIQ,三星级宾馆,125.324316,43.872824,100104,431,220104,59.14436487,34.25340116
B01AF06HYZ,三星级宾馆,125.369771,43.861056,100104,431,220102,61.45389177,33.65547986
B01AF06KAD,三星级宾馆|餐饮服务,125.321891,43.901896,100104|050100,431,220103,59.02115284,35.73052285
B01AF06M3C,四星级宾馆,125.325061,43.899241,100103,431,220103,59.18221763,35.59562473
B01AF06NDA,五星级宾馆,125.316601,43.896789,100102,431,220103,58.75237278,35.47104085
B01AF06NRV,四星级宾馆,125.33419,43.898691,100103,431,220102,59.64605376,35.56767973
B01AF06NSU,四星级宾馆,125.323746,43.890855,100103,431,220104,59.11540369,35.16953975
B01AF06SXU,三星级宾馆,125.32588,43.863621,100104,431,220102,59.22383027,33.78580516
B01AF06SYD,四星级宾馆,125.315998,43.890424,100103,431,220104,58.72173491,35.14764104
