id,type,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF027C3,证券营业厅,125.30428,43.881365,160501,431,220104,62.19329255,30.99476654
B01AF029D7,中国邮政储蓄银行,125.327989,43.931172,160139,431,220103,63.46760891,33.67180374
B01AF02A1A,中国银行,125.373648,43.862408,160104,431,220102,65.92169853,29.97586168
B01AF02D44,中国农业银行,125.319566,43.908901,160107,431,220103,63.01488772,32.47477731
B01AF02F12,中国农业银行,125.334184,43.894649,160107,431,220102,63.80057908,31.70875779
B01AF03068,中国工商银行,125.369442,43.893028,160105,431,220105,65.69563355,31.62163194
B01AF03093,中国银行,125.262599,43.894994,160104,431,220106,59.95301331,31.72730092
B01AF030A5,中国工商银行ATM,125.317237,43.90655,160302,431,220103,62.88970813,32.34841526
B01AF032D6,中国人寿保险公司,125.293692,43.897292,160402,431,220106,61.62420647,31.85081431
B01AF039B7,中国工商银行,125.340451,43.854409,160105,431,220102,64.13741913,29.54592973
B01AF03B84,中国建设银行,125.225648,43.856353,160106,431,220106,57.96696312,29.65041625
B01AF03BF1,中国农业银行,125.371495,43.881993,160107,431,220105,65.80597863,31.02852041
B01AF03C19,中国农业银行ATM,125.318956,43.877767,160304,431,220104,62.98210131,30.80138047
B01AF03DD6,交通银行,125.327751,43.863892,160108,431,220102,63.45481683,30.05562402
B01AF03F6C,中国工商银行,125.374971,43.881981,160105,431,220105,65.99280741,31.02787544
B01AF03FE2,中国农业银行,125.331685,43.893492,160107,431,220102,63.6662623,31.64657111
B01AF043C3,中国工商银行ATM,125.317755,43.866774,160302,431,220104,62.91754971,30.21052637
B01AF0457A,中国工商银行,125.373213,43.863417,160105,431,220102,65.89831806,30.03009362
B01AF0459A,中国工商银行,125.268006,43.902772,160105,431,220106,60.2436299,32.14535452
B01AF0460D,中国工商银行,125.234775,43.850599,160105,431,220106,58.45752306,29.34114904
B01AF0495F,中国工商银行,125.325821,43.865876,160105,431,220102,63.35108278,30.16226048
B01AF04990,中国农业银行,125.291075,43.905456,160107,431,220106,61.4835474,32.28961472
B01AF049EC,中国农业银行,125.3757,43.90473,160107,431,220105,66.03198986,32.25059351
B01AF049FD,中国农业银行,125.184305,43.851245,160107,431,220106,55.74485079,29.37587039
B01AF04BF4,中国银行,125.327103,43.863827,160104,431,220102,63.41998799,30.05213039
B01AF04C4B,中国工商银行,125.364819,43.86787,160105,431,220105,65.44715556,30.26943441
B01AF04C9C,中国农业银行,125.320975,43.86968,160107,431,220104,63.09061895,30.36671868
B01AF04CD2,中国银行,125.318321,43.865482,160104,431,220104,62.94797119,30.14108368
B01AF04FA6,中国农业银行,125.365248,43.847187,160107,431,220102,65.47021355,29.15776014
B01AF04FFA,中国农业银行,125.295489,43.891767,160107,431,220106,61.72079201,31.55385544
B01AF05252,中国农业银行,125.368001,43.862392,160107,431,220102,65.61818238,29.97500171
B01AF05261,中国银行,125.245572,43.867878,160104,431,220106,59.0378425,30.2698644
B01AF05308,交通银行,125.377104,43.878389,160108,431,220105,66.10745235,30.83481186
B01AF05899,交通银行ATM,125.232533,43.850798,160305,431,220106,58.33701956,29.35184493
B01AF05BA6,中国工商银行,125.350207,43.862487,160105,431,220102,64.66178669,29.98010779
B01AF05D5F,中国农业银行,125.322475,43.888201,160107,431,220104,63.17124127,31.36218932
B01AF05DE0,中国工商银行,125.345023,43.897044,160105,431,220102,64.38315596,31.83748476
B01AF05E61,中国建设银行,125.318352,43.905362,160106,431,220103,62.94963739,32.28456238
B01AF05FDE,中国农业银行,125.31847,43.877784,160107,431,220104,62.95597968,30.80229419
B01AF06117,中国工商银行,125.325102,43.842114,160105,431,220104,63.31243782,28.88509546
B01AF0616E,中国工商银行,125.317474,43.866776,160105,431,220104,62.90244646,30.21063387
B01AF06285,中国建设银行,125.317458,43.859301,160106,431,220104,62.90158649,29.80886598
B01AF062EF,交通银行,125.299391,43.883357,160108,431,220104,61.93051754,31.10183298
B01AF068F2,中国工商银行,125.317218,43.906425,160105,431,220103,62.88868692,32.34169673
B01AF0699D,中国工商银行,125.298111,43.896644,160105,431,220106,61.86171982,31.81598547
B01AF06B11,交通银行ATM,125.257798,43.862835,160305,431,220106,59.69496815,29.99881216
B01AF06B1A,中国农业银行,125.318856,43.831024,160107,431,220104,62.97672649,28.28902779
B01AF06E60,中国光大银行,125.315256,43.907044,160113,431,220103,62.78323292,32.37496688
B01AF06EGL,中国农业银行,125.488213,43.565411,160107,431,220112,72.07936246,14.0128039
B01AF06FA2,交通银行,125.29656,43.871829,160108,431,220104,61.77835635,30.48222359
B01AF06FN2,交通银行,125.291004,43.905937,160108,431,220106,61.47973128,32.31546761
B01AF06H4C,中国银行,125.317949,43.888221,160104,431,220104,62.92797686,31.36326428
B01AF06HI3,交通银行,125.289372,43.829327,160108,431,220104,61.3920142,28.19781707
B01AF06I34,中国银行,125.329958,43.897361,160104,431,220103,63.57343914,31.85452294
B01AF06JRZ,中国农业银行,125.25951,43.901981,160107,431,220106,59.78698509,32.10283968
B01AF06M1R,中国农业银行,125.383886,43.881754,160107,431,220105,66.47197273,31.01567459
B01AF06M4I,金融保险机构,125.32506,43.830048,160000,431,220102,63.3101804,28.23656953
B01AF06OVY,中国农业银行,125.24456,43.902154,160107,431,220106,58.98344931,32.11213812
B01AF06P8Q,中国工商银行,125.290726,43.827861,160105,431,220104,61.46478928,28.11902219
B01AF06RQZ,金融保险机构,125.288251,43.821391,160000,431,220104,61.33176245,27.77127126
B01AF06S60,中国建设银行,125.330625,43.895158,160106,431,220102,63.6092892,31.73611563
B01AF06SM9,中国银行,125.255856,43.819408,160104,431,220104,59.59058912,27.66468855
B01AF06UIZ,交通银行ATM,125.31783,43.866116,160305,431,220104,62.92158082,30.17516005
B01AF06VLQ,中国农业银行,125.295402,43.884337,160107,431,220104,61.71611592,31.15450622
B01AF06VM0,中国农业银行,125.276577,43.853639,160107,431,220104,60.70430582,29.50454361
B01AF06VMZ,中国人民银行,125.323409,43.888407,160101,431,220104,63.2214421,31.37326145
B01AF06W2F,中国银行,125.317286,43.889786,160104,431,220104,62.89234179,31.44738023
B01AF06XK4,中国建设银行,125.383859,43.88287,160106,431,220105,66.47052152,31.0756576
B01AF06XX6,中国农业银行,125.305133,43.892221,160107,431,220104,62.23913977,31.57825713
B01AF070HU,中国农业银行,125.325062,43.900369,160107,431,220103,63.31028789,32.01619756
B01AF071CE,中国农业银行,125.289113,43.84598,160107,431,220104,61.37809341,29.09288605
B01AF071MY,中国光大银行,125.317015,43.878553,160113,431,220104,62.87777603,30.84362656
B01AF078LM,上海浦东发展银行,125.310626,43.892149,160115,431,220104,62.5343787,31.57438726
B01AF07LZS,中国工商银行,125.262422,43.863628,160105,431,220106,59.94349988,30.0414345
B01AF07M2G,中国农业银行,125.312268,43.938669,160107,431,220103,62.62263326,34.07475409
B01AF07RZW,中国邮政储蓄银行,125.297145,43.888067,160139,431,220104,61.80979905,31.35498705
B01AF07S4Y,中国邮政储蓄银行,125.370093,43.892228,160139,431,220105,65.73062364,31.57863337
B01AF07UIQ,中国邮政储蓄银行,125.262623,43.896411,160139,431,220106,59.95430327,31.80346214
B01AF07WL2,中国邮政储蓄银行,125.34892,43.856667,160139,431,220102,64.59261274,29.66729319
B01AF07WO5,中国邮政储蓄银行,125.338393,43.90476,160139,431,220103,64.02680531,32.25220596
B01AF07Z02,国家开发银行,125.354378,43.852224,160102,431,220102,64.88597048,29.42848988
B01AF084I0,交通银行ATM,125.296404,43.87189,160305,431,220104,61.76997163,30.48550223
B01AF084I1,交通银行ATM,125.299315,43.883233,160305,431,220104,61.92643267,31.0951682
B01AF084I3,交通银行,125.25799,43.862911,160108,431,220106,59.7052878,30.00289703
B01AF084I9,交通银行,125.293189,43.86175,160108,431,220104,61.59717112,29.94049535
B01AF084IB,交通银行ATM,125.290962,43.90587,160305,431,220106,61.47747386,32.31186648
B01AF084IE,交通银行ATM,125.337058,43.902276,160305,431,220103,63.95505145,32.1186954
B01AF084IF,交通银行ATM,125.377171,43.878455,160305,431,220105,66.11105348,30.83835924
B01AF086C1,中国邮政储蓄银行,125.291882,43.936975,160139,431,220103,61.52692221,33.98370462
B01AF086VP,农村商业银行,125.245091,44.000844,160121,431,220103,59.01198961,37.41654918
B01AF086XQ,中国邮政储蓄银行ATM,125.324566,43.904444,160336,431,220103,63.28362878,32.23522153
B01AF088PS,中国邮政储蓄银行,125.66417,43.529737,160139,431,220112,81.53673663,12.09539018
B01AF088W2,中国邮政储蓄银行,125.281044,43.88241,160139,431,220106,60.94439909,31.05093342
B01AF08A7A,中国邮政储蓄银行,125.301422,43.850146,160139,431,220104,62.03968016,29.3168011
B01AF08A7E,中国邮政储蓄银行,125.248995,43.843911,160139,431,220104,59.22182263,28.981681
B01AF08AP6,中国邮政储蓄银行,125.340381,43.854282,160139,431,220102,64.13365675,29.53910371
B01AF08B4D,中国邮政储蓄银行,125.259881,43.862663,160139,431,220106,59.80692567,29.98956747
B01AF08BAG,中国邮政储蓄银行,125.291037,43.843087,160139,431,220104,61.48150497,28.93739247
B01AF08BDM,中国邮政储蓄银行,125.291401,43.909416,160139,431,220106,61.50106932,32.50245764
B01AF08BED,中国邮政储蓄银行,125.292296,43.919738,160139,431,220106,61.54917397,33.05724668
B01AF08BNL,中国邮政储蓄银行,125.346279,43.880642,160139,431,220102,64.45066371,30.95590658
B01AF08DHL,中国邮政储蓄银行,125.331518,43.876172,160139,431,220102,63.65728635,30.71565207
B01AF08EI8,中国邮政储蓄银行,125.315729,43.907563,160139,431,220103,62.80865583,32.4028622
B01AF08FSE,中国邮政储蓄银行,125.317641,43.875409,160139,431,220104,62.91142241,30.67464218
B01AF08GJV,中国邮政储蓄银行,125.320412,43.831889,160139,431,220102,63.0603587,28.33551999
B01AF08GY3,中国邮政储蓄银行,125.803708,44.033818,160139,431,220113,89.03665467,39.18884273
B01AF08HF8,中国邮政储蓄银行,125.36973,43.836596,160139,431,220102,65.71111303,28.58851282
B01AF08IV8,中国邮政储蓄银行,125.173908,44.434307,160139,431,220122,55.18603062,60.71441049
B01AF08J73,中国邮政储蓄银行,125.297128,43.826992,160139,431,220104,61.80888533,28.07231499
B01AF08M4R,中国邮政储蓄银行,125.163885,44.43587,160139,431,220122,54.64731229,60.79841894
B01AF08MS7,中国工商银行ATM,125.304965,43.89127,160302,431,220104,62.23011007,31.52714258
B01AF08MSI,中国工商银行ATM,125.317342,43.885036,160302,431,220104,62.89535169,31.19207622
B01AF08MSK,中国工商银行ATM,125.249959,43.859026,160302,431,220106,59.27363591,29.79408522
B01AF08MST,中国工商银行,125.333965,43.892033,160105,431,220102,63.78880822,31.56815246
