id,type,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF02947,中餐厅,125.345962,43.887234,50100,431,220102,62.0956337,35.04524011
B01AF02A5C,综合酒楼,125.391094,43.706676,50101,431,220102,64.38577627,25.88314752
B01AF02BEA,海鲜酒楼,125.334005,43.879045,50119,431,220102,61.48889713,34.62970396
B01AF02F8E,中餐厅,125.253498,43.889103,50100,431,220106,57.40371349,35.14007917
B01AF03006,中餐厅,125.263573,43.872264,50100,431,220106,57.91495133,34.28561425
B01AF03111,综合酒楼,125.273892,43.973608,50101,431,220106,58.43857052,39.42813417
B01AF0368A,海鲜酒楼,125.37004,43.860887,50119,431,220102,63.31742872,33.70830874
B01AF03812,特色/地方风味餐厅,125.333883,43.877251,50118,431,220102,61.48270646,34.53867064
B01AF0386D,餐饮相关,125.318581,43.905715,50000,431,220103,60.70623385,35.98302538
B01AF03A8E,特色/地方风味餐厅,125.364478,43.846924,50118,431,220102,63.03519498,32.9997813
B01AF0436B,特色/地方风味餐厅,125.347255,43.885045,50118,431,220102,62.16124467,34.93416322
B01AF04459,特色/地方风味餐厅,125.292529,43.827272,50118,431,220104,59.38427174,32.00257573
B01AF045C9,中餐厅,125.314164,43.901204,50100,431,220103,60.48210109,35.75412276
B01AF04600,综合酒楼,125.262633,43.895222,50101,431,220106,57.86725272,35.45057687
B01AF046CA,海鲜酒楼,125.391555,43.706627,50119,431,220102,64.40916889,25.8806611
B01AF04786,特色/地方风味餐厅|餐饮服务,125.341502,43.878929,050118|050113,431,220102,61.86931898,34.62381775
B01AF04883,特色/地方风味餐厅,125.31734,43.891343,50118,431,220104,60.64326153,35.25374396
B01AF04C79,咖啡厅,125.312261,43.890996,50500,431,220104,60.38553676,35.23613607
B01AF058DD,特色/地方风味餐厅,125.271917,43.880954,50118,431,220106,58.33835268,34.72657275
B01AF05C4E,中餐厅,125.220733,43.890662,50100,431,220106,55.7411122,35.21918783
B01AF05D71,糕饼店|购物服务,125.340205,43.896664,050800|060000,431,220102,61.80350504,35.52374858
B01AF05E2D,清真菜馆,125.387585,43.871699,50121,431,220105,64.20771835,34.25694434
B01AF05ED9,日本料理,125.322476,43.872025,50202,431,220104,60.90387866,34.27348662
B01AF05F6A,东北菜,125.337246,43.89483,50113,431,220102,61.65335588,35.43068554
B01AF06DTF,中餐厅,125.286044,43.845858,50100,431,220104,59.05520202,32.94568903
B01AF06E3J,肯德基,125.298046,43.870764,50301,431,220104,59.66422203,34.20949943
B01AF06FVG,中餐厅,125.319568,43.865567,50100,431,220104,60.7563174,33.94578697
B01AF06HAY,特色/地方风味餐厅,125.267756,43.896037,50118,431,220106,58.12721018,35.49193259
B01AF06I86,综合酒楼,125.328812,43.869022,50101,431,220102,61.22538764,34.12110476
B01AF06J7R,特色/地方风味餐厅,125.299276,43.872112,50118,431,220104,59.72663618,34.27790128
