id,小类,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF00451,行业协会,125.325115,43.852768,130407,431,220104,62.09322677,32.93538983
B01AF0091A,公安警察,125.297282,43.939622,130501,431,220103,60.69256562,37.3062095
B01AF0096B,公安警察,125.236166,43.903691,130501,431,220106,57.61697883,35.49802655
B01AF00B62,省直辖市级政府及事业单位,125.296119,43.886727,130102,431,220104,60.63403909,34.64433432
B01AF00B63,省直辖市级政府及事业单位,125.28213,43.884938,130102,431,220106,59.93006004,34.55430512
B01AF00CD4,公安警察,125.299952,43.877544,130501,431,220104,60.82693005,34.18221126
B01AF00DAC,公证鉴定机构,125.271264,43.849983,130505,431,220104,59.38324209,32.79523816
B01AF00EFD,公安警察,125.2949,43.866003,130501,431,220104,60.57269443,33.60142477
B01AF0105F,省直辖市级政府及事业单位,125.333324,43.840782,130102,431,220102,62.5063345,32.33220927
B01AF015AC,区县级政府及事业单位,125.288254,43.833762,130104,431,220104,60.23824273,31.97893649
B01AF015F7,公安警察,125.460769,43.794991,130501,431,220102,68.91984583,30.02783407
B01AF019B6,公安警察,125.320737,43.859935,130501,431,220104,61.87290936,33.2960602
B01AF01C6C,公安警察,125.315026,43.825634,130501,431,220102,61.58551038,31.56990498
B01AF0240E,教会,125.309691,43.935301,130409,431,220103,61.31703313,37.08876054
B01AF02831,省直辖市级政府及事业单位,125.312,43.864312,130102,431,220104,61.43323069,33.51632729
B01AF02969,区县级政府及事业单位,125.393605,43.870152,130104,431,220105,65.53990095,33.81021804
B01AF02BB3,公证鉴定机构,125.250278,43.901433,130505,431,220106,58.3271477,35.38439551
B01AF02CBE,省直辖市级政府及事业单位,125.311881,43.86427,130102,431,220104,61.42724216,33.51421369
B01AF02D8F,行业协会,125.276757,43.831164,130407,431,220104,59.65967049,31.84819536
B01AF02D9D,区县级政府及事业单位,125.37419,43.865912,130104,431,220105,64.56286519,33.5968453
B01AF02E3F,地市级政府及事业单位,125.334098,43.882355,130103,431,220102,62.54528509,34.42431886
B01AF02EE2,民主党派,125.296438,43.871864,130300,431,220104,60.65009237,33.89637231
B01AF02FB3,检察院,125.374988,43.857769,130502,431,220102,64.60302355,33.18705894
B01AF030AC,省直辖市级政府及事业单位,125.319399,43.877706,130102,431,220104,61.80557617,34.1903637
B01AF030B6,行业协会,125.296119,43.886727,130407,431,220104,60.63403909,34.64433432
B01AF030B7,行业协会,125.276757,43.831164,130407,431,220104,59.65967049,31.84819536
B01AF03127,检察院,125.330815,43.933136,130502,431,220103,62.38007219,36.97980961
B01AF03191,乡镇级政府及事业单位,125.330173,43.905712,130105,431,220103,62.34776434,35.59973087
B01AF03272,乡镇级政府及事业单位,125.389304,43.702458,130105,431,220102,65.32345847,25.37122578
B01AF032EC,省直辖市级政府及事业单位,125.325802,43.896942,130102,431,220103,62.1277992,35.15839151
B01AF0331E,公证鉴定机构,125.250278,43.901433,130505,431,220106,58.3271477,35.38439551
B01AF0332E,省直辖市级政府及事业单位,125.252804,43.901857,130102,431,220106,58.45426552,35.40573278
B01AF03338,地市级政府及事业单位,125.402047,43.918722,130103,431,220105,65.96473412,36.25444296
B01AF03452,公安警察,125.349201,43.863975,130501,431,220102,63.30532481,33.49936819
B01AF03477,区县级政府及事业单位,125.226592,43.890959,130104,431,220106,57.13517918,34.85730447
