id,小类,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B0FFFPRIAW,室内设施,125.325973,43.91324,970000,431,220103,27.48455185,23.73826927
B0FFGDQX6C,室内设施,125.324181,43.891566,970000,431,220104,27.26631707,21.0987488
B0FFHFC1SH,室内设施,125.324804,43.909822,970000,431,220103,27.34218775,23.32201565
B0FFHFC1SJ,室内设施,125.323614,43.909898,970000,431,220103,27.19726622,23.33127114
B0FFHFC1T0,室内设施,125.323261,43.911518,970000,431,220103,27.15427689,23.52855929
B0FFHFC1TC,室内设施,125.323428,43.911937,970000,431,220103,27.17461462,23.57958628
B0FFHFC1TE,室内设施,125.323189,43.912245,970000,431,220103,27.14550853,23.61709538
B0FFHFC1TM,室内设施,125.323254,43.911952,970000,431,220103,27.15342441,23.58141302
B0FFHFC1TN,室内设施,125.322978,43.91195,970000,431,220103,27.11981236,23.58116946
B0FFHFC1TO,室内设施,125.323269,43.911092,970000,431,220103,27.15525115,23.47667981
B0FFHFC1TP,室内设施,125.32299,43.911303,970000,431,220103,27.12127375,23.50237598
B0FFHFC1TQ,室内设施,125.323001,43.910598,970000,431,220103,27.12261336,23.41651911
B0FFHFC1TR,室内设施,125.322982,43.911733,970000,431,220103,27.12029949,23.55474259
B0FFHFC1TS,室内设施,125.322997,43.910873,970000,431,220103,27.12212623,23.45000938
B0FFHFC1TT,室内设施,125.323278,43.910599,970000,431,220103,27.1563472,23.41664089
B0FFHFC1TU,室内设施,125.323258,43.911734,970000,431,220103,27.15391154,23.55486437
B0FFHFC1TV,室内设施,125.323264,43.911305,970000,431,220103,27.15464224,23.50261955
B0FFHFC1TW,室内设施,125.322993,43.911089,970000,431,220103,27.1216391,23.47631446
B0FFHFC1TX,室内设施,125.323273,43.910875,970000,431,220103,27.15573828,23.45025294
B0FFHFC1TY,室内设施,125.322986,43.911516,970000,431,220103,27.12078662,23.52831572
B0FFHFC1TZ,室内设施,125.325285,43.911517,970000,431,220103,27.40076528,23.5284375
B0FFHFC1U0,室内设施,125.323236,43.912182,970000,431,220103,27.15123232,23.60942307
B0FFHFC1U6,室内设施,125.325288,43.911303,970000,431,220103,27.40113063,23.50237598
B0FFHFC1U7,室内设施,125.325295,43.91109,970000,431,220103,27.40198311,23.47643625
B0FFHFC1U8,室内设施,125.325297,43.910874,970000,431,220103,27.40222668,23.45013116
B0FFHFC1UA,室内设施,125.325279,43.911951,970000,431,220103,27.40003459,23.58129124
B0FFHFC1UB,室内设施,125.325281,43.911733,970000,431,220103,27.40027815,23.55474259
B0FFHFC1UC,室内设施,125.325454,43.911751,970000,431,220103,27.42134658,23.55693468
B0FFHFC1UD,室内设施,125.325469,43.910893,970000,431,220103,27.42317332,23.45244503
B0FFHFC1UE,室内设施,125.325741,43.911109,970000,431,220103,27.45629824,23.47875012
B0FFHFC1UF,室内设施,125.325465,43.911108,970000,431,220103,27.42268619,23.47862834
B0FFHFC1UG,室内设施,125.325474,43.910617,970000,431,220103,27.42378223,23.41883298
B0FFHFC1UH,室内设施,125.32573,43.911753,970000,431,220103,27.45495863,23.55717824
B0FFHFC1UI,室内设施,125.325461,43.911322,970000,431,220103,27.42219906,23.50468986
B0FFHFC1UJ,室内设施,125.325745,43.910894,970000,431,220103,27.45678537,23.45256682
B0FFHFC1UK,室内设施,125.32575,43.910618,970000,431,220103,27.45739429,23.41895476
B0FFHFC1UL,室内设施,125.32545,43.911968,970000,431,220103,27.42085945,23.58336155
B0FFHFC1UM,室内设施,125.325726,43.91197,970000,431,220103,27.4544715,23.58360511
B0FFHFC1UN,室内设施,125.325457,43.911535,970000,431,220103,27.42171193,23.53062959
B0FFHFC1UO,室内设施,125.325733,43.911536,970000,431,220103,27.45532398,23.53075138
B0FFHFC1UQ,室内设施,125.325736,43.911323,970000,431,220103,27.45568933,23.50481164
B0FFHFC1UV,室内设施,125.325037,43.910872,970000,431,220103,27.37056315,23.44988759
B0FFHFC1UW,室内设施,125.325302,43.910599,970000,431,220103,27.40283559,23.41664089
B0FFHFC1UY,室内设施,125.323414,43.911937,970000,431,220103,27.17290966,23.57958628
B0FFHFC1UZ,室内设施,125.325047,43.910317,970000,431,220103,27.37178098,23.38229814
B0FFHFC1V0,室内设施,125.324601,43.912588,970000,431,220103,27.31746585,23.65886688
B0FFHFC1V3,室内设施,125.323439,43.910601,970000,431,220103,27.17595423,23.41688445
B0FFHFC1V4,室内设施,125.322809,43.911948,970000,431,220103,27.09923106,23.58092589
B0FFHFC1V5,室内设施,125.322811,43.911515,970000,431,220103,27.09947463,23.52819394
B0FFHFC1V6,室内设施,125.32281,43.911731,970000,431,220103,27.09935285,23.55449902
B0FFHFC1V7,室内设施,125.323423,43.911519,970000,431,220103,27.1740057,23.52868107
B0FFHFC1V8,室内设施,125.323432,43.910876,970000,431,220103,27.17510175,23.45037473
B0FFHFC1V9,室内设施,125.32283,43.910597,970000,431,220103,27.1017885,23.41639732
B0FFHFC1VA,室内设施,125.323417,43.911736,970000,431,220103,27.17327501,23.55510794
B0FFHFC1VB,室内设施,125.322814,43.911301,970000,431,220103,27.09983998,23.50213242
B0FFHFC1VC,室内设施,125.322815,43.911499,970000,431,220103,27.09996176,23.52624541
B0FFHFC1VD,室内设施,125.32341,43.911953,970000,431,220103,27.17242253,23.5815348
B0FFHFC1VE,室内设施,125.323431,43.911092,970000,431,220103,27.17497997,23.47667981
B0FFHFC1VF,室内设施,125.323424,43.911306,970000,431,220103,27.17412749,23.50274133
B0FFHFC1VG,室内设施,125.322822,43.911088,970000,431,220103,27.10081424,23.47619268
B0FFHFC1VH,室内设施,125.322819,43.911285,970000,431,220103,27.10044889,23.50018389
B0FFHFC1VI,室内设施,125.322825,43.910855,970000,431,220103,27.10117959,23.44781729
B0FFHFC1VJ,室内设施,125.323417,43.91172,970000,431,220103,27.17327501,23.55315941
B0FFHFC1VK,室内设施,125.322825,43.910871,970000,431,220103,27.10117959,23.44976581
B0FFHFC1VL,室内设施,125.323686,43.911939,970000,431,220103,27.20603458,23.57982985
B0FFHFC1VN,室内设施,125.323235,43.912308,970000,431,220103,27.15111054,23.6247677
B0FFHFC1VO,室内设施,125.32281,43.911715,970000,431,220103,27.09935285,23.5525505
B0FFHFC1VP,室内设施,125.323432,43.91086,970000,431,220103,27.17510175,23.4484262
B0FFHFC1VQ,室内设施,125.323188,43.91225,970000,431,220103,27.14538675,23.6177043
B0FFHFC1VR,室内设施,125.323437,43.910585,970000,431,220103,27.17571066,23.41493593
B0FFHFC1VS,室内设施,125.325317,43.910615,970000,431,220103,27.40466233,23.41858941
B0FFHFC1VT,室内设施,125.325909,43.911324,970000,431,220103,27.47675775,23.50493342
B0FFHFC1VU,室内设施,125.325295,43.91175,970000,431,220103,27.40198311,23.5568129
B0FFHFC1VV,室内设施,125.325919,43.91062,970000,431,220103,27.47797558,23.41919833
B0FFHFC1VW,室内设施,125.3253,43.911533,970000,431,220103,27.40259203,23.53038603
B0FFHFC1VX,室内设施,125.325904,43.911754,970000,431,220103,27.47614884,23.55730003
B0FFHFC1VY,室内设施,125.325905,43.911538,970000,431,220103,27.47627062,23.53099494
B0FFHFC1VZ,室内设施,125.32591,43.911111,970000,431,220103,27.47687953,23.47899368
B0FFHFC1W0,室内设施,125.325918,43.910894,970000,431,220103,27.4778538,23.45256682
B0FFHFC1W1,室内设施,125.325307,43.91089,970000,431,220103,27.4034445,23.45207968
B0FFHFC1W2,室内设施,125.325302,43.91132,970000,431,220103,27.40283559,23.50444629
B0FFHFC1W3,室内设施,125.32591,43.911308,970000,431,220103,27.47687953,23.5029849
B0FFHFC1W5,室内设施,125.3259,43.911971,970000,431,220103,27.47566171,23.58372689
B0FFHFC1W6,室内设施,125.325288,43.911967,970000,431,220103,27.40113063,23.58323976
B0FFHFC1W7,室内设施,125.325923,43.910604,970000,431,220103,27.47846271,23.4172498
B0FFHFC1W8,室内设施,125.325309,43.911106,970000,431,220103,27.40368807,23.47838477
B0FFHFC1WA,室内设施,125.325307,43.91109,970000,431,220103,27.4034445,23.47643625
B0FFHFC1WB,室内设施,125.325914,43.911095,970000,431,220103,27.47736667,23.47704516
B0FFHFC1WC,室内设施,125.325897,43.911955,970000,431,220103,27.47529636,23.58177837
B0FFHFC1WD,室内设施,125.3259,43.911738,970000,431,220103,27.47566171,23.5553515
B0FFHFC1WE,室内设施,125.325314,43.910599,970000,431,220103,27.40429698,23.41664089
