id,小类,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF00183,殡仪馆,125.19133,43.875167,71903,431,220106,57.34323117,30.41364197
B01AF0024D,美容美发店,125.300132,43.88922,71100,431,220104,63.12185448,31.16001606
B01AF00448,美容美发店,125.381407,43.881372,71100,431,220105,67.4384811,30.74319803
B01AF0055B,陵园,125.687329,43.544645,71901,431,220112,83.68641772,12.85916564
B01AF009EA,中国联通营业厅,125.326469,43.924339,70604,431,220103,64.52064864,33.02523427
B01AF01610,中国联通营业厅|购物服务,125.289384,43.829792,070604|060305,431,220104,62.55101347,28.00371355
B01AF01640,洗浴推拿场所|住宿服务,125.22551,43.805499,071400|100200,431,220104,59.1585778,26.71347903
B01AF024AC,公墓,125.195314,43.876552,71902,431,220106,57.55482687,30.48720122
B01AF0274D,生活服务场所,125.334413,43.900386,70000,431,220103,64.94256536,31.75305762
B01AF027B4,邮局,125.297156,43.888055,70400,431,220104,62.96379504,31.09814131
B01AF02833,丧葬设施,125.335283,43.884382,71900,431,220102,64.98877226,30.90306325
B01AF02860,洗浴推拿场所,125.321546,43.904061,71400,431,220103,64.25918136,31.94824191
B01AF02A8D,摄影冲印,125.29532,43.900434,71300,431,220106,62.86628257,31.75560697
B01AF02C4E,美容美发店,125.387843,43.87545,71100,431,220105,67.78030588,30.42867249
B01AF02C66,生活服务场所,125.265089,43.893862,70000,431,220106,61.26067273,31.40655904
B01AF02D58,生活服务场所,125.281926,43.874385,70000,431,220106,62.15490887,30.37210888
B01AF02F30,美容美发店,125.323519,43.905757,71100,431,220103,64.3639701,32.03831879
B01AF02F33,美容美发店,125.249756,43.889073,71100,431,220106,60.44631609,31.15220869
B01AF02FC8,洗浴推拿场所,125.339303,43.877282,71400,431,220102,65.20227996,30.52597252
B01AF03218,美容美发店,125.352898,43.870398,71100,431,220102,65.92432904,30.16035385
B01AF03241,生活服务场所,125.328382,43.878555,70000,431,220102,64.62225069,30.5935833
B01AF03384,洗浴推拿场所,125.364506,43.850164,71400,431,220102,66.54084583,29.08569838
B01AF0346A,邮局,125.320597,43.831878,70400,431,220102,64.20877867,28.11450387
B01AF035EA,邮局,125.317635,43.875055,70400,431,220104,64.05146279,30.4076935
B01AF0365A,生活服务场所,125.328495,43.893041,70000,431,220102,64.62825227,31.36295461
B01AF037AF,洗浴推拿场所,125.389231,43.87677,71400,431,220105,67.85402446,30.4987795
B01AF03825,美容美发店,125.264708,43.896289,71100,431,220106,61.2404373,31.53546034
B01AF0389B,人才市场,125.386956,43.876067,70800,431,220105,67.73319609,30.46144221
B01AF038CC,洗浴推拿场所,125.335216,43.897015,71400,431,220102,64.98521379,31.57401919
B01AF03A18,丧葬设施,125.334244,43.884056,71900,431,220102,64.93358954,30.88574894
B01AF03AB5,丧葬设施,125.335121,43.884253,71900,431,220102,64.98016821,30.89621188
B01AF03C38,美容美发店,125.364825,43.826742,71100,431,220102,66.55778836,27.84172387
B01AF03CDC,丧葬设施,125.33547,43.88503,71900,431,220102,64.99870408,30.93747942
B01AF03D6A,美容美发店,125.292286,43.881538,71100,431,220104,62.70514267,30.75201451
B01AF03EE3,会计师事务所,125.280735,43.901795,70702,431,220106,62.09165323,31.82789154
B01AF04022,摄影冲印,125.315169,43.889337,71300,431,220104,63.92049015,31.16623009
B01AF04150,洗浴推拿场所,125.365844,43.871251,71400,431,220105,66.61190884,30.20565785
B01AF04158,洗浴推拿场所,125.347049,43.885249,71400,431,220102,65.61368064,30.94911081
B01AF04183,邮局,125.372446,43.881942,70400,431,220105,66.96255011,30.77347151
B01AF0426B,丧葬设施,125.334912,43.884605,71900,431,220102,64.96906794,30.91490709
B01AF04410,洗衣店,125.291524,43.910413,71500,431,220106,62.6646718,32.28560533
B01AF044E4,生活服务场所,125.311134,43.880923,70000,431,220104,63.70618578,30.71935102
B01AF044F1,洗浴推拿场所,125.296067,43.883354,71400,431,220104,62.90595676,30.84846476
B01AF04620,美容美发店,125.319389,43.869912,71100,431,220104,64.14462014,30.13454172
B01AF04668,物流仓储场地,125.402607,43.858454,70501,431,220105,68.56444215,29.52599164
B01AF04769,生活服务场所,125.36828,43.892607,70000,431,220105,66.74128814,31.33990427
B01AF04867,丧葬设施,125.334948,43.884611,71900,431,220102,64.97097995,30.91522576
B01AF04927,洗浴推拿场所,125.339907,43.876883,71400,431,220102,65.23435923,30.50478109
B01AF0497E,美容美发店,125.263094,43.893814,71100,431,220106,61.15471555,31.4040097
B01AF04A01,美容美发店,125.383537,43.871697,71100,431,220105,67.55160832,30.22934552
B01AF04A65,美容美发店,125.257624,43.893747,71100,431,220106,60.86419635,31.40045123
B01AF04DC0,丧葬设施,125.336417,43.885653,71900,431,220102,65.04900055,30.9705678
B01AF04DE2,洗衣店,125.249601,43.889073,71500,431,220106,60.43808383,31.15220869
B01AF04E7F,物流速递,125.399173,43.854732,70500,431,220105,68.3820577,29.32831112
B01AF04FC1,摄影冲印,125.328315,43.891511,71300,431,220102,64.61869223,31.28169421
B01AF05219,洗浴推拿场所,125.330415,43.83556,71400,431,220102,64.73022611,28.31005993
B01AF0521B,美容美发店,125.266932,43.89383,71100,431,220106,61.35855699,31.40485948
B01AF052E3,律师事务所,125.270926,43.88889,70701,431,220106,61.5706838,31.14248931
B01AF057D6,飞机票代售点,125.323266,43.895457,70301,431,220104,64.35053292,31.49127168
B01AF057FA,生活服务场所,125.298144,43.88335,70000,431,220104,63.01626907,30.84825232
B01AF059E1,生活服务场所,125.334763,43.900603,70000,431,220103,64.96115434,31.76458279
B01AF05B24,洗浴推拿场所,125.348924,43.856931,71400,431,220102,65.71326446,29.44510303
B01AF05B73,电力营业厅|公司企业,125.34886,43.877927,071000|170200,431,220102,65.70986533,30.56022936
B01AF05C15,丧葬设施,125.338421,43.886758,71900,431,220102,65.15543574,31.02925587
B01AF05E28,美容美发店,125.319151,43.929099,71100,431,220103,64.13197963,33.2780444
B01AF05E44,美容美发店,125.281966,43.857922,71100,431,220104,62.15703333,29.49773639
B01AF05E6C,摄影冲印,125.381158,43.88191,71300,431,220105,67.42525637,30.77177194
B01AF05EED,丧葬设施,125.336482,43.885681,71900,431,220102,65.05245279,30.97205492
B01AF0605E,摄影冲印,125.317906,43.884962,71300,431,220104,64.06585597,30.93386785
B01AF0622A,洗浴推拿场所,125.470958,43.77993,71400,431,220102,72.19465742,25.3554744
B01AF0634A,邮局,125.365485,43.839116,70400,431,220102,66.59284186,28.49892396
B01AF0652F,丧葬设施,125.334213,43.884092,71900,431,220102,64.93194309,30.88766095
B01AF066AB,生活服务场所,125.346269,43.931621,70000,431,220103,65.57225377,33.41199127
B01AF06A2E,洗浴推拿场所,125.329612,43.908209,71400,431,220103,64.68757768,32.16854787
B01AF06BA3,洗浴推拿场所,125.336897,43.901467,71400,431,220102,65.07449401,31.81047101
B01AF06BFE,洗浴推拿场所,125.331112,43.894759,71400,431,220102,64.76724473,31.45419994
B01AF06C24,邮局,125.295502,43.900736,70400,431,220106,62.87594883,31.7716466
B01AF06CYP,美容美发店,125.378205,43.874865,71100,431,220105,67.26841849,30.39760234
B01AF06LFZ,洗浴推拿场所,125.301753,43.886757,71400,431,220104,63.20794801,31.02920276
B01AF06P9S,律师事务所,125.288725,43.862623,70701,431,220104,62.51601308,29.74741295
B01AF06PPZ,会计师事务所,125.346322,43.880385,70702,431,220102,65.57506867,30.6907771
B01AF06QTT,物流速递,125.252658,43.898198,70500,431,220106,60.60044529,31.63684994
B01AF06QWV,律师事务所,125.318719,43.883353,70701,431,220104,64.10903552,30.84841165
B01AF06QZH,洗浴推拿场所,125.340154,43.876661,71400,431,220102,65.24747774,30.49299036
B01AF06RHE,丧葬设施,125.334839,43.884526,71900,431,220102,64.96519081,30.91071129
B01AF06RLB,物流速递,125.204057,43.817602,70500,431,220106,58.01917958,27.35628594
B01AF06RZ9,洗衣店,125.33995,43.84099,71500,431,220102,65.23664302,28.59845467
B01AF06TRZ,生活服务场所,125.349501,43.859074,70000,431,220102,65.74390972,29.55892069
B01AF06YTW,物流速递,125.331781,43.877866,70500,431,220102,64.80277624,30.55698956
