id,小类,lon_gcj02,"lat_gcj02",typecode,citycode,adcode,X,Y
B01AF07S8E,摩托车维修,125.712022,44.54942,40200,431,220183,83.16418844,66.97299093
B01AF07SJT,摩托车维修,125.715026,44.506493,40200,431,220183,83.32566448,64.66550702
B01AF07VB1,摩托车销售,125.5418,43.861312,40100,431,220105,74.01413077,29.9846587
B01AF07VI5,摩托车维修,125.780424,43.828541,40200,431,220105,86.84104716,28.22309709
B01AF080QU,摩托车服务相关,125.665774,43.523036,40000,431,220112,80.67818859,11.80108131
B01AF083YW,摩托车销售,125.303333,43.73449,40100,431,220104,61.19565369,23.16751042
B01AF0873D,摩托车服务相关,126.5515,44.818098,40000,431,220182,128.2892141,81.41542021
B01AF088BJ,摩托车维修,125.242349,44.002997,40200,431,220103,57.91753972,37.60074782
B01AF08GRE,摩托车服务相关,125.709498,44.534467,40000,431,220183,83.02851417,66.16921226
B01AF08HME,摩托车维修,125.74914,44.075804,40200,431,220113,85.15941727,41.51439147
B01AF08NRD,摩托车维修,125.305597,43.755086,40200,431,220104,61.31735201,24.27462106
B01AF08NRE,摩托车销售,125.303303,43.734476,40100,431,220104,61.19404108,23.16675787
B01AF08NSA,摩托车维修,125.709425,44.534567,40200,431,220183,83.02459016,66.17458763
B01AF08O2D,摩托车销售,125.709336,44.534248,40100,431,220183,83.01980608,66.15744021
B01AF08X1Z,摩托车维修,125.393908,43.764896,40200,431,220102,66.0643926,24.80194459
B01AF08XR7,摩托车服务相关,125.837635,44.154084,40000,431,220113,89.91634853,45.72222897
B01AF090AP,摩托车维修,125.303711,43.73412,40200,431,220104,61.21597258,23.14762156
B01AF090K3,摩托车服务相关,125.215547,43.856041,40000,431,220106,56.47683378,29.70132309
B01AF09PLC,摩托车维修,125.744826,44.519691,40200,431,220183,84.92752392,65.37494799
B01AF09Q1Q,摩托车销售,125.709404,44.53435,40100,431,220183,83.02346133,66.16292308
B01AF09VIV,摩托车销售,125.670118,43.52578,40100,431,220112,80.91169454,11.94858139
B01AF09WB3,摩托车维修,125.576316,43.850225,40200,431,220105,75.86949253,29.38869173
B01AF09ZRR,摩托车维修,126.566469,44.835765,40200,431,220182,129.0938528,82.36508634
B01AF0A09Q,摩托车维修,125.183245,44.062356,40200,431,220103,54.74048264,40.79151208
B01AF0A4UW,摩托车服务相关,125.717436,44.540247,40000,431,220183,83.45521083,66.47990849
B01AF0ADQL,摩托车服务相关,125.836807,44.15363,40000,431,220113,89.87184049,45.6978248
B01AF0B1NP,摩托车维修,125.357452,44.003144,40200,431,220103,64.10474871,37.60864961
B01AF0BCEQ,摩托车服务相关,125.277012,43.860845,40000,431,220104,59.78080327,29.95955574
B01AF0BDBB,摩托车服务相关,125.178331,43.782658,40000,431,220104,54.4763371,25.75671733
B01AF0BTMT,摩托车销售,125.340511,43.893502,40100,431,220102,63.19410774,31.71498943
B01AF0BTV3,摩托车维修,125.342905,43.861393,40200,431,220102,63.32279403,29.98901275
B01AF0CAPY,摩托车服务相关,125.834402,44.145861,40000,431,220113,89.74256291,45.28021252
B01AF0CBYT,摩托车维修,126.568125,44.837718,40200,431,220182,129.1828689,82.47006727
B01AF0CZGX,摩托车销售,125.340319,43.894417,40100,431,220102,63.18378703,31.76417404
B01AF0CZGY,摩托车销售,125.340378,43.894561,40100,431,220102,63.1869585,31.77191457
B01AF0D8U6,摩托车销售,125.382762,43.613744,40100,431,220102,65.46525416,16.67696945
B01AF0Z5GK,摩托车销售,124.902422,44.670507,40100,431,220122,39.64521501,73.4818619
B01AF0Z5ZR,摩托车销售,125.535032,44.71521,40100,431,220122,73.65032591,75.88481233
B01AF0Z60F,摩托车销售,125.535203,44.715384,40100,431,220122,73.65951779,75.89416547
B01AF0Z612,摩托车销售,125.840642,44.42598,40100,431,220183,90.07798583,60.33763757
B01AF0Z7G4,摩托车销售,125.760099,44.387158,40100,431,220183,85.74850377,58.25081249
B01AF0Z7JY,摩托车销售,126.564307,44.832392,40100,431,220182,128.9776374,82.18377521
B01AF0Z8KW,摩托车维修,125.871167,44.212768,40200,431,220113,91.71881669,48.8767095
B01AF0ZA4G,摩托车销售,126.686839,44.550841,40100,431,220182,135.5641824,67.0493749
B01AF0ZAJO,摩托车销售,126.361848,44.472977,40100,431,220113,118.0947226,62.86389893
B01AF0ZAJQ,摩托车销售,126.364068,44.470608,40100,431,220113,118.2140557,62.73655648
B01AF0ZALZ,摩托车维修,126.345209,44.368253,40200,431,220113,117.2003152,57.2345993
B01AF0ZDAA,摩托车销售,125.653239,44.777984,40100,431,220122,80.0043863,79.25914538
B01AF0ZE79,摩托车维修,125.951821,44.548978,40200,431,220183,96.05426541,66.94923181
B01AF0ZE7Z,摩托车服务相关,126.766345,45.025824,40000,431,220182,139.8379219,92.58145563
B01AF0ZI52,摩托车服务相关,125.470685,43.961191,40000,431,220103,70.19143833,35.35352178
B01AF0ZJDU,摩托车销售,125.64327,43.955053,40100,431,220113,79.46851594,35.02358174
B01AF0ZQUF,摩托车销售,125.669905,43.525235,40100,431,220112,80.90024501,11.91928564
B01AF0ZVVR,摩托车销售,125.184451,44.059605,40100,431,220103,54.80530957,40.64363573
B01AF10047,摩托车维修,125.166129,44.437855,40200,431,220122,53.82043478,60.97596243
B01AF1007T,摩托车销售,125.703855,44.52388,40100,431,220183,82.7251822,65.60012213
B01AF100C0,摩托车维修,126.549921,44.818645,40200,431,220182,128.2043371,81.44482347
B01AF100KL,摩托车维修,125.191212,44.437229,40200,431,220122,55.16873815,60.94231263
B01AF100U2,摩托车服务相关,126.552189,44.817803,40000,431,220182,128.3262504,81.39956288
B01AF101HM,摩托车维修,126.558285,44.819544,40200,431,220182,128.6539328,81.49314802
B01AF1021Q,摩托车销售,125.340509,43.893472,40100,431,220102,63.19400023,31.71337682
B01AF103QU,摩托车销售,125.709695,44.534766,40100,431,220183,83.03910365,66.18528461
B01AF10499,摩托车维修,125.709596,44.534615,40200,431,220183,83.03378203,66.1771678
B01AF108ZI,摩托车维修,125.695131,44.53927,40200,431,220183,82.25623516,66.42739115
B01AF11HZ1,摩托车销售,125.340508,43.893395,40100,431,220102,63.19394648,31.70923778
B01AF131DW,摩托车销售,126.88979,44.97549,40100,431,220182,146.4735441,89.87581827
B01AF1326P,摩托车销售,126.2628,45.092366,40100,431,220182,112.7705288,96.15833252
B01AF1343Y,摩托车维修,126.231942,44.989253,40200,431,220182,111.111798,90.61563006
B01AF13U6E,摩托车销售,126.320986,44.983991,40100,431,220182,115.89824,90.33277824
B01AF1471G,摩托车服务相关,126.728364,45.13687,40000,431,220182,137.7963037,98.55058597
B01AF14QY1,摩托车销售,125.329821,43.905611,40100,431,220103,62.61948098,32.36589265
