id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0FFKQO0XR,住宿服务相关,111.4499,39.64813,100000,471,150124,43.84543708,0.031915682
B0FFG9C83K,旅馆招待所,111.44956,39.648007,100200,471,150124,43.82559918,0.024739029
B0FFKWWIRA,旅馆招待所,111.448395,39.647583,100200,471,150124,43.75762519,0
B0HAVM9PM1,住宿服务相关,111.453192,39.651035,100000,471,150124,44.03751464,0.201413042
B01D70002A,宾馆酒店,111.450999,41.099063,100100,471,150125,43.90956018,84.68916635
B0FFFXM3MH,宾馆酒店,111.448672,41.099711,100100,471,150125,43.77378725,84.72697505
B0G0HHIPYC,宾馆酒店,111.454068,41.100863,100100,471,150125,44.08862641,84.79419053
B0FFH6TMOB,宾馆酒店,111.450501,41.09704,100100,471,150125,43.88050349,84.57113084
B0G0P9HKRJ,宾馆酒店,111.448611,41.101672,100100,471,150125,43.7702281,84.84139306
B0G2U6ZKE0,宾馆酒店,111.450491,41.096941,100100,471,150125,43.87992002,84.56535451
B0G2CM768O,旅馆招待所,111.454003,41.100668,100200,471,150125,44.08483387,84.78281291
B0FFKM4UYS,住宿服务相关,111.639636,40.758961,100000,471,150104,54.91591939,64.84531397
B0GDDUV4BX,旅馆招待所,111.550893,40.868508,100200,471,150103,49.73805219,71.23702733
B0FFKG9U7P,住宿服务相关,111.733602,40.780581,100000,471,150105,60.39853176,66.10677108
B01D70QNFT,宾馆酒店,111.734435,40.779081,100100,471,150105,60.44713462,66.01925093
B0FFF6ZWH2,宾馆酒店,111.734427,40.777455,100100,471,150105,60.44666785,65.92437909
B0HBKKPIOC,宾馆酒店,111.734468,40.779333,100100,471,150105,60.44906006,66.03395432
B0G1X9HABA,住宿服务相关,111.727755,40.778703,100000,471,150105,60.05737821,65.99719585
B0FFFHAWD1,住宿服务相关,111.665316,40.829123,100000,471,150102,56.41426438,68.93903988
B0FFFO7MD4,住宿服务相关,111.665428,40.82815,100000,471,150102,56.42079922,68.88226848
B0FFFPIKRL,旅馆招待所,111.665038,40.82884,100200,471,150102,56.39804398,68.92252775
B0FFFH94D5,宾馆酒店,111.66504,40.828845,100100,471,150102,56.39816068,68.92281948
B0GRZY85WG,住宿服务相关,111.665036,40.829014,100000,471,150102,56.39792729,68.93268008
B0FFFQ24BP,住宿服务相关,111.664981,40.828909,100000,471,150102,56.39471822,68.92655367
B0FFLK6L3K,住宿服务相关,111.662149,40.83146,100000,471,150102,56.22948017,69.07539628
B0FFI8OQ7T,宾馆酒店,111.664439,40.829175,100100,471,150102,56.36309427,68.94207391
B0FFFHUE97,住宿服务相关,111.665318,40.829101,100000,471,150102,56.41438108,68.93775625
