id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0HA5MN93B,快餐厅,112.204811,40.105086,50300,471,150123,86.16805576,27.16930685
B0FFFEQONP,中餐厅,111.448222,39.646653,50100,471,150124,42.32564042,0.604276175
B0HDHHE0JU,中餐厅,111.444884,39.647877,50100,471,150124,42.13221178,0.675203874
B0FFKYPNEF,餐饮相关,111.445041,39.649061,50000,471,150124,42.14130953,0.743813673
B0FFH1JGAI,餐饮相关,111.445181,39.643394,50000,471,150124,42.14942218,0.415425384
B0HDHMDBNJ,中餐厅,111.446205,39.644994,50100,471,150124,42.20876038,0.508141329
B0FFKKQXNC,餐饮相关,111.445471,39.644185,50000,471,150124,42.16622694,0.461261829
B0FFH1CQR5,餐饮相关,111.445741,39.64406,50000,471,150124,42.18187276,0.454018396
B0FFJE2OF8,餐饮相关,111.445158,39.64456,50000,471,150124,42.14808939,0.482992129
B0FFG9909S,中餐厅,111.445298,39.643678,50100,471,150124,42.15620203,0.431882464
B0FFG51KKZ,餐饮相关,111.446817,39.64579,50000,471,150124,42.24422423,0.554267512
B0HDD7COQF,中餐厅|体育休闲服务,111.446526,39.645313,050100|080500,471,150124,42.22736152,0.526626571
B0G25DUOU4,中餐厅,111.447873,39.646004,50100,471,150124,42.30541676,0.56666827
B0HDHMCMX6,餐饮相关,111.449329,39.647127,50000,471,150124,42.38978827,0.631743274
B0G25DUOTS,中餐厅,111.447945,39.646022,50100,471,150124,42.30958897,0.567711324
B0G3OH8R7G,中餐厅,111.448981,39.646965,50100,471,150124,42.36962255,0.622355785
B0HDHAD8Z2,餐饮相关,111.449543,39.647542,50000,471,150124,42.40218902,0.655791473
B0FFJXJWD8,餐饮相关,111.449595,39.647433,50000,471,150124,42.40520229,0.649475199
B0HDD7COJR,中餐厅,111.444879,39.644348,50100,471,150124,42.13192204,0.470707266
B0FFG9BYUO,快餐厅,111.445611,39.644316,50300,471,150124,42.17433959,0.468852947
B0HDD7COJT,中餐厅,111.445359,39.643981,50100,471,150124,42.15973683,0.449440546
B0FFH1O7UY,中餐厅,111.444001,39.64314,50100,471,150124,42.08104417,0.400706727
B0G3Y5U49S,中餐厅,111.44477,39.643027,50100,471,150124,42.12560577,0.394158664
B0HROXOSZU,清真菜馆,111.68834,40.741479,50121,471,150104,56.23987006,64.04666857
B0HUUUSQOD,餐饮相关,111.656911,40.848032,50000,471,150102,54.41863915,70.22114491
B0HUUCRWNC,中餐厅,111.657065,40.847791,50100,471,150102,54.42756306,70.20717958
B0G25LVZOA,中餐厅,111.657134,40.847661,50100,471,150102,54.43156144,70.1996464
B0FFG1DTY8,茶艺馆|购物服务,111.659034,40.85057,050600|060000,471,150102,54.54166162,70.36821558
B0FFHD9PW4,餐饮相关,111.658689,40.850504,50000,471,150102,54.52166974,70.36439105
B0FFG3N9ON,火锅店,111.658531,40.852274,50117,471,150102,54.51251405,70.46695807
B01D701IRL,中餐厅,111.664602,40.850119,50100,471,150102,54.86431311,70.34208128
B0HA9H6ESR,中餐厅,111.658157,40.851405,50100,471,150102,54.49084169,70.41660172
B0FFIINSJY,快餐厅,111.657255,40.84749,50300,471,150102,54.43857308,70.18973739
B0FFG6DAMT,中餐厅,111.657186,40.847564,50100,471,150102,54.4345747,70.1940255
