id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B01D701X4D,山,111.293591,40.924151,190203,471,150125,42.37493083,74.76692334
B01D702YQ1,村庄级地名,111.595288,40.170742,190108,471,150123,59.37445414,32.31507975
B0H141WVLV,村组级地名,111.969465,40.176594,190109,471,150123,80.45796056,32.64481856
B01D701YN4,村庄级地名,111.971146,40.175876,190108,471,150123,80.55267876,32.60436188
B01D701XP3,村庄级地名,111.286753,40.721563,190108,471,150121,41.98963453,63.35182996
B01D701W6S,村庄级地名,111.975052,39.801783,190108,471,150124,80.77276759,11.52558857
B01D701IS1,村庄级地名,111.92466,39.647623,190108,471,150124,77.93336256,2.839235989
B01D701YYN,村庄级地名,112.060262,39.908624,190108,471,150124,85.57403966,17.54568843
B01D701YZB,村庄级地名,112.304009,40.247212,190108,471,150123,99.30829227,36.62388476
B01D70P2N9,村庄级地名,112.128411,39.99541,190108,471,150123,89.41398674,22.43576235
B01D70P2P1,村庄级地名,111.463751,39.650085,190108,471,150124,51.96282494,2.977960691
B01D70P3C3,村庄级地名,112.280827,40.199779,190108,471,150123,98.00207129,33.95120857
B01D702Z9H,山,112.29029,40.223516,190203,471,150123,98.53527676,35.28870177
B0FFHICZA1,村庄级地名,111.948912,39.684489,190108,471,150124,79.29987412,4.916500351
B01D701YHW,村庄级地名,112.145331,40.298146,190108,471,150123,90.3673669,39.49382951
B01D70P2NB,村庄级地名,112.096766,39.961109,190108,471,150124,87.63090665,20.50302636
B01D701YYW,村庄级地名,112.032587,39.867726,190108,471,150124,84.01465456,15.24123561
B01D701ITA,村庄级地名,112.030055,39.871089,190108,471,150124,83.87198561,15.43072837
B01D70P3C2,村庄级地名,112.265098,40.191041,190108,471,150123,97.11579963,33.45885421
B01D701YYP,山,112.044966,39.902481,190203,471,150124,84.71216596,17.19955284
B01D701YYU,村庄级地名,112.045627,39.893237,190108,471,150124,84.7494109,16.67868722
B01D70P2OT,村庄级地名,112.185122,40.085788,190108,471,150123,92.60944432,27.52823234
B01D701YYA,村庄级地名,112.131407,40.020764,190108,471,150123,89.58280039,23.86436759
B01D701VX0,村庄级地名,112.081763,39.946179,190108,471,150124,86.78554243,19.66177543
B01D701VSE,村庄级地名,111.477252,39.659428,190108,471,150124,52.72355694,3.504404594
B01D702YYI,山,111.96961,39.767441,190203,471,150124,80.46613078,9.590542379
B01D70QLZB,村庄级地名,112.045233,40.000826,190108,471,150123,84.72721044,22.74093415
B01D702YYD,山,112.111161,39.972684,190203,471,150124,88.44201229,21.15523531
B01D701YZC,村庄级地名,112.284414,40.227141,190108,471,150123,98.20418563,35.49295727
B01D701VSB,村庄级地名,111.487502,39.661497,190108,471,150124,53.30110698,3.620985182
B01D701YOB,村庄级地名,112.254894,40.191209,190108,471,150123,96.54084152,33.46832039
B01D702YYE,山,112.103783,39.969241,190203,471,150124,88.02628895,20.96123484
B01D70P2OE,村庄级地名,112.306681,40.26168,190108,471,150123,99.4588497,37.43910369
B01D70P3C1,村庄级地名,112.133195,40.001185,190108,471,150123,89.68354766,22.76116249
B01D70QOOH,村庄级地名,112.237782,40.182305,190108,471,150123,95.57664286,32.96661254
B01D70P2OU,村庄级地名,112.209856,40.112431,190108,471,150123,94.00311483,29.02946801
B0FFGGIWLE,路口名,111.723964,39.611367,190302,471,150124,66.62487646,0.796342897
B01D702YSN,村庄级地名,111.447168,39.647225,190108,471,150124,51.02843349,2.816810143
B01D70P2NO,村庄级地名,112.005822,39.822424,190108,471,150124,82.50654463,12.68863348
B01D701YYT,山,112.040725,39.882239,190203,471,150124,84.47320111,16.05899012
B01D702YYG,山,112.021089,39.848046,190203,471,150124,83.36678428,14.13233953
B01D702YUM,村庄级地名,111.866794,41.126508,190108,471,150125,74.67282495,86.16900072
B01D700586,村庄级地名,111.539669,41.079162,190108,471,150125,56.24052677,83.50122666
B0H14X3X27,村组级地名,111.53963,41.079348,190109,471,150125,56.23832926,83.51170708
B0FFF9PMZO,铁路,111.649046,40.087868,190311,471,150124,62.40352097,27.64543273
B01D701XNG,村庄级地名,111.124696,40.704237,190108,471,150121,32.85831486,62.37557318
B01D7005FD,村庄级地名,111.149409,40.321373,190108,471,150122,34.25080209,40.80258607
B01D701YDB,村庄级地名,111.156207,40.321505,190108,471,150122,34.63384454,40.81002379
B0H1PN9T9V,村组级地名,111.155574,40.321132,190109,471,150122,34.59817731,40.7890066
B01D70P2QD,村庄级地名,111.881436,41.065979,190108,471,150102,75.49784813,82.75841279
B0H14X1KNG,村组级地名,111.59509,40.169382,190109,471,150123,59.36329757,32.23844872
B01D70QP64,村庄级地名,110.986222,40.844578,190108,471,150125,25.05581105,70.28327562
B01D701XBG,山,111.347558,40.874251,190203,471,150121,45.41577405,71.95524072
B01D70QM10,村庄级地名,111.513401,40.762057,190108,471,150121,54.76042097,65.63351886
B0H1PGJCZM,村组级地名,111.295938,41.289672,190109,471,150125,42.50717571,95.36269579
B01D701X6O,山,111.659583,40.982565,190203,471,150125,62.99724241,78.05833875
B0FFF8XZH7,楼栋号,111.657913,40.816614,190403,471,150103,62.90314401,68.70760642
B0FFJ2XEZ4,楼栋号,111.657731,40.807955,190403,471,150103,62.89288898,68.21970342
B0FFF7BMYR,楼栋号,111.657429,40.810601,190403,471,150103,62.87587238,68.36879584
B0FFIL73L7,楼栋号,111.666727,40.812024,190403,471,150103,63.3997807,68.44897669
B0FFF82SYF,楼栋号,111.657028,40.811679,190403,471,150103,62.8532775,68.4295372
B0FFF82SZT,楼栋号,111.657013,40.81202,190403,471,150103,62.8524323,68.44875131
B0FFF7BM9A,楼栋号,111.65848,40.814458,190403,471,150103,62.93509239,68.5861237
B0FFGGQTO7,路口名,111.665731,40.814921,190302,471,150103,63.34365974,68.61221206
B0FFJ10S05,楼栋号,111.664681,40.814975,190403,471,150103,63.28449608,68.61525476
B0FFF7RQMB,楼栋号,111.66068,40.815449,190403,471,150103,63.05905435,68.64196293
B0FFF7RQMD,楼栋号,111.66201,40.815563,190403,471,150103,63.13399499,68.64838641
B0FFIP7P2M,楼栋号,111.661009,40.807998,190403,471,150103,63.0775923,68.22212631
B0FFF7BMAN,楼栋号,111.657439,40.813529,190403,471,150103,62.87643585,68.53377794
B0FFGGGLV9,路口名,111.658144,40.80691,190302,471,150103,62.91616002,68.16082148
B0FFGGJIVL,路口名,111.665457,40.81636,190302,471,150103,63.32822084,68.69329445
B0FFIL4QZE,楼栋号,111.661423,40.807895,190403,471,150103,63.10091969,68.21632263
B0FFF83FO6,楼栋号,111.657244,40.809987,190403,471,150103,62.86544831,68.33419919
B0FFF7BM8D,楼栋号,111.658489,40.814793,190403,471,150103,62.93559951,68.60499972
B0FFGGO2SS,路口名,111.658107,40.807071,190302,471,150103,62.9140752,68.16989325
B0FFF7LAHF,楼栋号,111.660093,40.808005,190403,471,150103,63.02597905,68.22252073
B0FFF7W5AL,楼栋号,111.659189,40.815265,190403,471,150103,62.97504195,68.6315952
B0FFF7LAHB,楼栋号,111.660093,40.807998,190403,471,150103,63.02597905,68.22212631
B0FFJRTJKN,楼栋号,111.663017,40.814483,190403,471,150103,63.19073576,68.58753236
B0FFJ11R3J,楼栋号,111.660475,40.813068,190403,471,150103,63.04750335,68.50780228
B0FFILKH4Q,楼栋号,111.659613,40.812597,190403,471,150103,62.9989328,68.48126315
B0FFIWRJAB,楼栋号,111.659577,40.812911,190403,471,150103,62.99690433,68.4989559
B0FFHVGPZ9,路口名,111.658697,40.809064,190302,471,150103,62.94731955,68.28219151
B0FFF7W5AA,楼栋号,111.659728,40.813258,190403,471,150103,63.00541263,68.51850808
B0FFIZOEO1,楼栋号,111.660708,40.813784,190403,471,150103,63.06063205,68.54814626
B0FFGGKY4C,路口名,111.660018,40.81442,190302,471,150103,63.02175307,68.58398254
B0FFIN817D,楼栋号,111.660286,40.813661,190403,471,150103,63.03685389,68.54121566
B0FFHPJSSS,路口名,111.661932,40.807948,190302,471,150103,63.12959997,68.21930899
B0FFGGDE4Z,路口名,111.663611,40.814732,190302,471,150103,63.22420549,68.6015626
B0FFGGCBNF,路口名,111.663611,40.814732,190302,471,150103,63.22420549,68.6015626
B0FFIWJPIS,楼栋号,111.660672,40.814023,190403,471,150103,63.05860358,68.56161304
B0FFGGOTP4,路口名,111.660757,40.807448,190302,471,150103,63.06339302,68.19113582
B0FFGGK05H,路口名,111.660757,40.807448,190302,471,150103,63.06339302,68.19113582
B0FFGGA7Y6,路口名,111.660757,40.807448,190302,471,150103,63.06339302,68.19113582
B0FFHVKBZH,路口名,111.657971,40.809015,190302,471,150103,62.9064121,68.27943054
B0FFGTZ4VH,楼栋号,111.658572,40.812037,190403,471,150103,62.94027625,68.4497092
B0FFGGJ8Y2,路口名,111.663431,40.816195,190302,471,150103,63.21406315,68.6839973
