id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0G3OSAV02,红十字会,111.448998,39.647188,130405,471,150124,48.54938017,2.2107855
B0G3OCBDX8,交通执法站,111.449043,39.647235,130604,471,150124,48.55194204,2.213461237
B0FFL2QXGT,乡镇以下级政府及事业单位,111.44898,39.64717,130106,471,150124,48.54835542,2.209760749
B0G31HXN93,公安警察,111.975459,39.801673,130501,471,150124,78.52111413,11.00570729
B0G101G8TP,交通管理机构,111.975452,39.801674,130601,471,150124,78.52071562,11.00576422
B01D703C5Z,乡镇以下级政府及事业单位,111.974922,39.801763,130106,471,150124,78.49054241,11.01083104
B0G31R989Q,乡镇以下级政府及事业单位,111.974901,39.801764,130106,471,150124,78.48934686,11.01088797
B01D703C1S,交通管理机构,111.975561,39.801681,130601,471,150124,78.52692105,11.00616274
B01D70RI5E,交通管理机构,111.691798,40.735984,130601,471,150104,62.37212678,64.19658132
B0GUNLIDX9,乡镇以下级政府及事业单位,111.687935,40.73166,130106,471,150104,62.15220393,63.95041346
B0H1PMLQ7D,乡镇以下级政府及事业单位,110.961267,40.641924,130106,471,150121,20.78256785,58.84169027
B0FFKHMUZV,区县级政府及事业单位,111.660887,40.496099,130104,471,150123,60.6123454,50.53978736
B0G04Z7MSN,社会团体相关,111.661103,40.496012,130400,471,150123,60.6246424,50.5348344
B0G0BS11FK,乡镇以下级政府及事业单位,111.66064,40.496171,130106,471,150123,60.59828354,50.54388637
B0G0B94IIM,乡镇以下级政府及事业单位,111.661122,40.495906,130106,471,150123,60.62572409,50.52879976
B0FFKHMKS3,乡镇以下级政府及事业单位,111.661121,40.495925,130106,471,150123,60.62566716,50.52988144
B0G0K9UAK9,乡镇以下级政府及事业单位,111.660941,40.495737,130106,471,150123,60.61541965,50.51917849
B0FFKSN4FA,乡镇以下级政府及事业单位,111.661081,40.496065,130106,471,150123,60.62338993,50.53785172
B01D70Q5XH,乡镇以下级政府及事业单位,111.661124,40.495884,130106,471,150123,60.62583795,50.52754729
B01D70RCTW,省直辖市级政府及事业单位,111.815107,40.855563,130102,471,150105,69.39218058,71.00428403
B01D70QLRH,地市级政府及事业单位|政府机构及社会团体,111.813499,40.855856,130103|130102,471,150105,69.3006362,71.02096469
B0GRM5Z8O9,政府及社会团体相关,111.623238,40.863943,130000,471,150103,58.46896571,71.48136235
B0H1PBCWW6,乡镇以下级政府及事业单位,111.714308,40.095511,130106,471,150123,63.65363431,27.73407723
B01D70PCDV,省直辖市级政府及事业单位|科教文化服务,111.725512,40.824324,130102|141300,471,150105,64.29148461,69.22582941
B01D702VUZ,省直辖市级政府及事业单位,111.718602,40.822323,130102,471,150105,63.89809425,69.1119113
B01D702UTN,省直辖市级政府及事业单位,111.721201,40.818077,130102,471,150105,64.04605685,68.87018403
B0HD3AN4KR,省直辖市级政府及事业单位,111.718016,40.82461,130102,471,150105,63.86473292,69.24211156
B0FFFTF0WB,地市级政府及事业单位,111.721777,40.817973,130103,471,150105,64.07884886,68.86426325
B0GKMLU2C4,区县级政府及事业单位,111.722385,40.823445,130104,471,150105,64.11346266,69.17578742
B0FFL78P38,政府机关相关,111.721709,40.822552,130100,471,150105,64.07497758,69.12494841
B01D70PCV3,区县级政府及事业单位,111.720018,40.823101,130104,471,150105,63.97870796,69.1562033
B0FFKJ838V,公安警察,111.725328,40.818174,130501,471,150105,64.28100938,68.8757063
B0FFKKAF89,乡镇以下级政府及事业单位,111.72076,40.823427,130106,471,150105,64.02095046,69.17476267
B01D70RA8E,行业协会,111.720276,40.823043,130407,471,150105,63.99339605,69.15290133
B0H1KR4L1O,地市级政府及事业单位,111.721889,40.817979,130103,471,150105,64.08522509,68.86460483
B0H1NA7VD3,地市级政府及事业单位,111.72187,40.817975,130103,471,150105,64.08414341,68.86437711
B01D70RA8C,行业协会,111.720128,40.823131,130407,471,150105,63.98497032,69.15791122
B0FFL7WUXX,政府机关相关,111.720753,40.823419,130100,471,150105,64.02055194,69.17430723
B0FFKJ5QE2,公证鉴定机构,111.724125,40.822879,130505,471,150105,64.21252188,69.14356471
B0FFKJTXMO,乡镇以下级政府及事业单位,111.720723,40.82346,130106,471,150105,64.01884402,69.17664138
B0G14KANR8,工商部门,111.718029,40.8217,130701,471,150105,63.86547302,69.07644355
B01D70PJ47,行业协会,111.721317,40.817852,130407,471,150105,64.05266079,68.85737465
B0FFF07VS7,政府机关相关,111.7178,40.822409,130100,471,150105,63.85243592,69.11680733
B01D70RA8G,区县级政府及事业单位,111.719433,40.823242,130104,471,150105,63.94540357,69.16423051
B0GKJAW4R9,乡镇以下级政府及事业单位,111.720751,40.823446,130106,471,150105,64.02043808,69.17584435
B0FFFY4JKW,行业协会,111.723899,40.825443,130407,471,150105,64.19965557,69.28953473
B0FFM98KJB,政府及社会团体相关,111.717586,40.824676,130000,471,150105,63.84025277,69.24586897
B0FFFY4JLY,行业协会,111.723973,40.825901,130407,471,150105,64.20386843,69.31560894
B0FFM0IWYX,政府机关相关,111.718308,40.824602,130100,471,150105,63.88135666,69.24165611
B01D702U2Y,乡镇以下级政府及事业单位,111.724016,40.822932,130106,471,150105,64.20631645,69.14658203
B0FFKKAFYC,社会治安机构,111.718351,40.824447,130506,471,150105,63.88380467,69.23283187
B0FFFY8PW1,行业协会,111.721271,40.818089,130407,471,150105,64.05004199,68.8708672
B0FFKJ833Q,政府及社会团体相关,111.724387,40.820002,130000,471,150105,64.2274377,68.97977541
B0FFM9W75T,政府机关相关,111.718405,40.825316,130100,471,150105,63.88687892,69.28230455
B01D70QHDS,区县级政府及事业单位,111.719814,40.822941,130104,471,150105,63.96709412,69.14709441
B0H1NA7HP1,外地政府办,111.717467,40.824622,130107,471,150105,63.83347803,69.24279472
B0G101I5DE,行业协会,111.700387,40.827728,130407,471,150105,62.8611036,69.41962113
B0GKJAW4QB,乡镇以下级政府及事业单位,111.726184,40.824649,130106,471,150105,64.32974196,69.24433185
B01D70133C,外地政府办,111.717461,40.824614,130107,471,150105,63.83313645,69.24233928
B01D7022MK,省直辖市级政府及事业单位,111.702397,40.812647,130102,471,150105,62.97553408,68.56105094
B01D70P5D2,地市级政府及事业单位,111.699804,40.812868,130103,471,150105,62.82791307,68.5736326
B01D701PRU,省直辖市级政府及事业单位,111.700516,40.812374,130102,471,150105,62.86844765,68.54550889
B0HD3HOQAC,地市级政府及事业单位,111.699663,40.812836,130103,471,150105,62.81988585,68.57181082
B01D70PC9E,乡镇级政府及事业单位,111.703142,40.808318,130105,471,150105,63.01794737,68.31459843
B01D701PW7,行业协会,111.702321,40.81297,130407,471,150105,62.97120736,68.57943952
B01D701PVD,省直辖市级政府及事业单位,111.706175,40.814488,130102,471,150105,63.19061784,68.66586015
B0FFGSIN47,乡镇级政府及事业单位,111.702687,40.807973,130105,471,150105,62.99204395,68.29495737
B0FFJR118P,政府及社会团体相关,111.698647,40.812611,130000,471,150105,62.76204438,68.55900144
B0FFF3Y78R,政府机关相关,111.701956,40.811268,130100,471,150105,62.95042769,68.48254366
B01D701FO7,省直辖市级政府及事业单位,111.706394,40.814721,130102,471,150105,63.20308564,68.67912498
B0FFF2C8NJ,残联,111.701956,40.811268,130404,471,150105,62.95042769,68.48254366
B0FFFF2WC1,乡镇以下级政府及事业单位,111.701956,40.811268,130106,471,150105,62.95042769,68.48254366
B01D701PVW,省直辖市级政府及事业单位,111.70232,40.812973,130102,471,150105,62.97115042,68.57961031
B01D701398,省直辖市级政府及事业单位,111.706524,40.814586,130102,471,150105,63.21048661,68.67143935
B0GUBKLCXI,政府机关相关,111.70209,40.812891,130100,471,150105,62.95805639,68.574942
B01D7013A3,省直辖市级政府及事业单位,111.70222,40.812831,130102,471,150105,62.96545737,68.57152617
B0FFI997DE,区县级政府及事业单位,111.702688,40.807973,130104,471,150105,62.99210088,68.29495737
B0GK9HPF1O,乡镇以下级政府及事业单位,111.701887,40.811359,130106,471,150105,62.94649948,68.48772434
B0FFINB5FC,政府机关相关,111.706254,40.814715,130100,471,150105,63.19511536,68.67878339
B01D702W9H,省直辖市级政府及事业单位,111.705935,40.816273,130102,471,150105,63.1769545,68.76748125
B01D702FUQ,社会治安机构,111.703011,40.806788,130506,471,150105,63.01048946,68.22749463
B0GK7U17Q9,乡镇级政府及事业单位,111.702687,40.807973,130105,471,150105,62.99204395,68.29495737
B0FFLAZRFV,社会团体相关,111.698383,40.809242,130400,471,150105,62.7470147,68.36720229
B0FFG2T4YY,乡镇级政府及事业单位,111.70245,40.80791,130105,471,150105,62.9785514,68.29137075
B0GRPZL29J,乡镇级政府及事业单位,111.702531,40.808043,130105,471,150105,62.98316278,68.29894251
B0G1JH7TSW,工商税务机构,111.69825,40.812551,130700,471,150105,62.73944293,68.5555856
B0FFL10FI9,社会团体相关,111.698376,40.816146,130400,471,150105,62.74661619,68.76025106
B0FFJRISFN,工商税务机构,111.697707,40.812246,130700,471,150105,62.70852963,68.53822177
B0FFJPEEAR,工商税务机构,111.69795,40.813191,130700,471,150105,62.72236376,68.59202118
B0FFKEV4U0,政府及社会团体相关,111.698729,40.816504,130000,471,150105,62.76671269,68.78063221
B0HRUUGO4L,政府机关相关,111.70595,40.815394,130100,471,150105,63.17780846,68.71743926
B0GK9HPU46,乡镇以下级政府及事业单位,111.706159,40.8103,130106,471,150105,63.18970695,68.42743485
B0FFGSEW9E,政府及社会团体相关,111.698388,40.816079,130000,471,150105,62.74729936,68.75643671
B01D70PJ62,乡镇以下级政府及事业单位,111.702658,40.811587,130106,471,150105,62.99039296,68.50070452
B01D702S5B,省直辖市级政府及事业单位,111.69849,40.816107,130102,471,150105,62.75310628,68.75803077
B0GK9UPNH0,乡镇以下级政府及事业单位,111.706864,40.807254,130106,471,150105,63.22984301,68.25402428
B0FFGO1E1G,公检法机关,111.70088,40.823623,130500,471,150102,62.88917038,69.18592107
B01D701UP0,社会治安机构,111.70241,40.82189,130506,471,150102,62.97627418,69.08726036
B01D70242L,省直辖市级政府及事业单位,111.698424,40.820719,130102,471,150102,62.74934886,69.02059464
B01D7019EN,工商税务机构,111.701272,40.824432,130700,471,150102,62.91148717,69.23197791
B01D70PEIP,省直辖市级政府及事业单位|政府机构及社会团体,111.702222,40.821797,130102|130505,471,150102,62.96557123,69.08196581
B01D701UPJ,省直辖市级政府及事业单位,111.702959,40.820219,130102,471,150105,63.00752907,68.99212935
B0HBBK0IOM,政府机关相关,111.702609,40.822666,130100,471,150105,62.98760336,69.13143849
B0HUYCSH7R,公证鉴定机构,111.702299,40.821749,130505,471,150102,62.96995488,69.07923314
B01D70PFJI,公证鉴定机构,111.702369,40.821728,130505,471,150102,62.97394002,69.0780376
B0FFF4FWNF,公证鉴定机构,111.699807,40.820394,130505,471,150105,62.82808386,69.0020922
B01D702WSA,乡镇级政府及事业单位,111.702461,40.817023,130105,471,150105,62.97917764,68.81017919
B0FFLAAET9,政府机关相关,111.704557,40.82221,130100,471,150105,63.09850415,69.10547815
B0FFMAX87S,省直辖市级政府及事业单位,111.704018,40.822704,130102,471,150105,63.06781856,69.13360186
B0FFGKZ1JI,省直辖市级政府及事业单位,111.7056,40.8241,130102,471,150105,63.15788275,69.21307696
B01D701PVI,公证鉴定机构,111.700704,40.825578,130505,471,150102,62.8791506,69.29722036
B0FFLNFZ6R,政府机关相关,111.701632,40.823722,130100,471,150102,62.93198218,69.19155719
B01D70PFYK,乡镇以下级政府及事业单位,111.706702,40.823958,130106,471,150105,63.22062026,69.20499281
B0FFFE7ZVY,省直辖市级政府及事业单位|生活服务,111.698441,40.825415,130102|070000,471,150102,62.75031668,69.28794068
B0HDMSUCPJ,社会团体相关,111.981004,40.753519,130400,471,150105,78.83679424,65.19485917
B0HDOX8149,政府机关相关,111.7012,40.824453,130100,471,150102,62.90738817,69.23317345
B0G2XCKZ7Q,地市级政府及事业单位,111.705059,40.817518,130103,471,150105,63.1270833,68.83835983
B0HGVUP9CK,政府机关相关,111.697526,40.817599,130100,471,150105,62.69822519,68.84297121
B0FFKJCZRT,少先队,111.706242,40.819887,130402,471,150105,63.19443219,68.97322839
B0FFF2JINQ,社会团体相关,111.699465,40.817111,130400,471,150105,62.8086136,68.81518908
B0FFFY4K56,乡镇以下级政府及事业单位,111.706717,40.823998,130106,471,150105,63.22147422,69.20727004
B0GRPZJDRF,乡镇级政府及事业单位,111.702903,40.817154,130105,471,150105,63.00434096,68.8176371
B01D702UAK,公证鉴定机构,111.69739,40.820787,130505,471,150102,62.69048263,69.02446592
B01D702UFN,省直辖市级政府及事业单位,111.69991,40.82032,130102,471,150105,62.83394771,68.99787934
B01D70P5VP,省直辖市级政府及事业单位,111.70386,40.822654,130102,471,150105,63.05882353,69.13075533
B01D702VWO,省直辖市级政府及事业单位,111.706082,40.819875,130102,471,150105,63.18532329,68.97254522
B0FFFEA4DT,社会团体相关,111.705557,40.821539,130400,471,150105,63.15543474,69.06727772
