id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0HDHMDQ1W,洗浴推拿场所,111.448336,39.646564,71400,471,150124,44.52330435,0.134532562
B0FFKWYI3N,生活服务场所,111.449113,39.647307,70000,471,150124,44.56845848,0.177710831
B0FFKKQ2HD,生活服务场所,111.445493,39.644249,70000,471,150124,44.35808791,0
B0G3XUDU0S,生活服务场所,111.445497,39.644409,70000,471,150124,44.35832036,0.009298147
B01D70QGPR,邮局,111.463846,40.4885,70400,471,150122,45.42464346,49.06231095
B0HG0U0A9K,美容美发店,111.465278,40.488611,71100,471,150122,45.50786187,49.06876154
B0FFH0H7CW,美容美发店|餐饮服务,111.456902,41.089798,071100|050000,471,150125,45.02110389,84.00579275
B0FFFXMG37,摄影冲印|餐饮服务,111.457424,41.093536,071300|050000,471,150125,45.05143909,84.2230207
B01D7027B8,中国移动营业厅,111.733127,40.836812,70603,471,150102,61.07348267,69.30391167
B01D700D64,洗浴推拿场所,111.729762,40.837795,71400,471,150102,60.87793102,69.36103716
B01D703BW6,评估事务所,111.734478,40.841944,70703,471,150102,61.1519939,69.60214973
B0GD7H8WYY,中国电信营业厅,111.729144,40.839682,70601,471,150102,60.84201693,69.47069718
B0FFL3WADH,洗浴推拿场所,111.729606,40.839438,71400,471,150102,60.86886533,69.45651751
B01D70PEWC,生活服务场所,111.73466,40.840353,70000,471,150102,61.16257054,69.50969128
B0FFG4Y955,生活服务场所,111.728692,40.840589,70000,471,150102,60.81574967,69.52340605
B0HD990L34,生活服务场所,111.728412,40.840639,70000,471,150102,60.79947791,69.52631172
B0FFHO9TBE,维修站点,111.728661,40.840724,71200,471,150102,60.81394815,69.53125136
B0FFHLJ7DO,生活服务场所|汽车服务,111.728685,40.839685,070000|010000,471,150102,60.81534287,69.47087152
B0FFHO9TB9,生活服务场所,111.730801,40.84261,70000,471,150102,60.93831086,69.64085327
B0FFIUY7AD,生活服务场所,111.734359,40.839303,70000,471,150102,61.1450784,69.4486722
B0FFI9IDBA,电讯营业厅,111.728675,40.839718,70600,471,150102,60.81476174,69.47278926
B0FFHICFFU,生活服务场所,111.73388,40.840497,70000,471,150102,61.11724208,69.51805962
B0FFI9NEB4,生活服务场所,111.734032,40.840599,70000,471,150102,61.12607532,69.52398718
B0FFI9NE6Z,生活服务场所,111.734556,40.841674,70000,471,150102,61.15652675,69.58645911
B0FFIV8CQC,物流速递,111.731062,40.845256,70500,471,150102,60.95347847,69.79462137
B0FFG6D7O3,摄影冲印,111.728531,40.840338,71300,471,150102,60.80639341,69.50881958
B0FFL44YQ7,生活服务场所,111.734747,40.84121,70000,471,150102,61.16762641,69.55949448
B01D70QEH6,摄影冲印,111.734625,40.840461,71300,471,150102,61.16053657,69.51596753
B01D702AG5,彩票彩券销售点,111.729791,40.83804,71800,471,150102,60.87961631,69.37527495
B0FFF34EFY,生活服务场所,111.728317,40.841828,70000,471,150102,60.79395713,69.59540858
B0GKVO73X3,生活服务场所,111.729582,40.840003,70000,471,150102,60.86747061,69.48935159
B0G2JHIQM2,生活服务场所,111.734786,40.840591,70000,471,150102,61.16989283,69.52352228
B0FFFWJWBP,美容美发店,111.734441,40.839048,71100,471,150102,61.1498437,69.43385327
B0FFI9NFCR,生活服务场所,111.734303,40.839758,70000,471,150102,61.14182405,69.4751138
B0FFI9NFN6,律师事务所,111.730576,40.838205,70701,471,150102,60.92523534,69.38486366
B0HU4BJLJP,中介机构,111.729054,40.840129,71600,471,150102,60.83678672,69.49667388
B0FFG4Y949,美容美发店,111.728347,40.840814,71100,471,150102,60.79570054,69.53648157
B01D702A5X,美容美发店,111.72892,40.839301,71100,471,150102,60.82899953,69.44855597
B01D702A17,美容美发店,111.728874,40.839428,71100,471,150102,60.82632631,69.45593637
B0FFLC11NX,中介机构,111.728388,40.840704,71600,471,150102,60.79808319,69.53008909
B0FFJ01941,中介机构,111.728481,40.840464,71600,471,150102,60.80348773,69.51614187
B01D70Q7XI,生活服务场所,111.728636,40.839699,70000,471,150102,60.81249531,69.47168511
B0HDA5YIPI,生活服务场所,111.734478,40.841944,70000,471,150102,61.1519939,69.60214973
B0FFJ0267X,美容美发店,111.73465,40.840315,71100,471,150102,61.16198941,69.50748297
B0H19OLBH9,物流速递,111.73126,40.8453,70500,471,150102,60.96498492,69.79717836
B0FFMG71LQ,物流速递,111.730147,40.838107,70500,471,150102,60.90030469,69.37916855
B0HD96Z0CF,生活服务场所,111.729601,40.838248,70000,471,150102,60.86857476,69.38736254
B0HG3LEJ64,美容美发店,111.728159,40.841254,71100,471,150102,60.78477521,69.56205147
B01D702A6E,美容美发店,111.730091,40.836933,71100,471,150102,60.89705034,69.3109434
B0FFKNI1S2,美容美发店,111.727892,40.841583,71100,471,150102,60.76925893,69.58117079
B01D70RBL1,美容美发店,111.72989,40.838048,71100,471,150102,60.88536954,69.37573986
B0FFKTAIKE,生活服务场所,111.730024,40.83698,70000,471,150102,60.89315674,69.31367473
B0FFJ01JCV,中介机构,111.729084,40.838738,71600,471,150102,60.83853013,69.41583811
B0FFHOO94E,美容美发店,111.728286,40.84361,71100,471,150102,60.79215562,69.69896669
B0FFHUEU7L,生活服务场所,111.733457,40.837053,70000,471,150102,61.0926601,69.31791701
B01D70QUMI,美容美发店,111.728298,40.841697,71100,471,150102,60.79285298,69.58779572
