id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B01D701G0I,传染病医院,111.672291,40.782331,90211,471,150104,59.0817209,65.16847616
B01D70QFTF,传染病医院,111.672455,40.781927,90211,471,150104,59.09152889,65.14431501
B0G2KRUX3W,综合医院,111.673684,40.784862,90100,471,150104,59.16502901,65.31984216
B0HGUMEKR4,药房,111.669816,40.782159,90601,471,150104,58.93370396,65.15818973
B0HGVXSO8V,药房,111.670572,40.782363,90601,471,150104,58.97891641,65.17038992
B01D70QFV3,传染病医院,111.672383,40.781835,90211,471,150104,59.08722294,65.13881297
B0FFME5VMG,药房,111.676055,40.780827,90601,471,150104,59.30682624,65.07852971
B0FFG2T84F,诊所,111.672345,40.783536,90300,471,150104,59.08495036,65.24054097
B0HA1ZFJW2,医疗保健服务场所,111.673621,40.784777,90000,471,150104,59.16126131,65.31475875
B0FFF3XVKV,药房,111.668854,40.779045,90601,471,150104,58.87617173,64.97195752
B0GUU6XL1H,药房,111.668557,40.778159,90601,471,150104,58.85840969,64.91897045
B0FFI9BT3V,诊所,111.675351,40.780939,90300,471,150104,59.26472365,65.08522785
B0H14ASE6D,医疗保健服务场所,111.668014,40.779325,90000,471,150104,58.82593568,64.98870287
B01D70OZQ2,药房,111.66882,40.77865,90601,471,150104,58.87413836,64.94833462
B0GU49URVP,药房,111.668782,40.777607,90601,471,150104,58.87186578,64.88595819
B0FFHYH6CI,药房,111.673579,40.785963,90601,471,150104,59.15874951,65.38568727
B0FFJ04LLQ,药房,111.676795,40.779517,90601,471,150104,59.35108181,65.00018539
B0FFKYMJHD,医疗保健用品,111.676488,40.780084,90602,471,150104,59.33272173,65.03409473
B0FFIP8JKE,医疗保健服务场所,111.668197,40.779216,90000,471,150104,58.83687996,64.98218414
B0FFF4D2OR,口腔医院,111.668851,40.779519,90202,471,150104,58.87599231,65.000305
B0FFKT7BVQ,药房,111.669917,40.777051,90601,471,150104,58.93974425,64.85270671
B0FFHEMCQ4,药房,111.673902,40.785795,90601,471,150104,59.17806646,65.37564006
B0FFJYAI6S,药房,111.676374,40.780297,90601,471,150104,59.32590398,65.04683316
B0FFIZWAB1,医疗保健服务场所,111.674908,40.785932,90000,471,150104,59.23823011,65.38383332
B0FFKHY8Z5,诊所,111.675553,40.786262,90300,471,150104,59.27680422,65.40356891
B0HG9RP9K5,医疗保健用品,111.676776,40.786592,90602,471,150104,59.34994552,65.4233045
B0FFI0YMHN,综合医院,111.680934,40.864173,90100,471,150102,59.59861396,70.06302232
B01D7026IO,药房,111.685027,40.862649,90601,471,150102,59.8433951,69.97187977
B0FFGUF8GU,医疗保健服务场所,111.681211,40.863214,90000,471,150102,59.6151799,70.0056695
B0G3XUF3R0,综合医院,111.680816,40.86454,90100,471,150102,59.59155699,70.08497069
B0FFKVYYJM,药房,111.682849,40.862271,90601,471,150102,59.7131402,69.94927355
B0FFMCXYS1,药房,111.681879,40.860717,90601,471,150102,59.65512952,69.85633686
B0H14CU2IH,妇科医院,111.680895,40.864245,90209,471,150102,59.59628158,70.06732827
B0FFG2SZ2R,药房,111.684047,40.862586,90601,471,150102,59.78478637,69.96811207
B0HG0BUBG7,药房,111.683631,40.862404,90601,471,150102,59.75990757,69.95722759
B0GK6CSQ5O,诊所,111.68493,40.859778,90300,471,150102,59.83759403,69.80018013
B0FFM4JOQ5,宠物诊所,111.685084,40.859082,90701,471,150102,59.84680397,69.75855598
B01D7025TG,卫生院,111.681052,40.863807,90102,471,150102,59.60567093,70.04113376
B0FFG0OIX3,诊所,111.686742,40.862863,90300,471,150102,59.94596036,69.984678
B0HB65L40A,宠物诊所,111.6843,40.85832,90701,471,150102,59.79991699,69.7129847
B0FFJCYY4H,宠物诊所,111.68513,40.858914,90701,471,150102,59.84955499,69.74850877
B0FFGDBNH4,综合医院,111.685929,40.858239,90100,471,150102,59.89733904,69.70814051
B0FFG2TFCD,专科医院|医疗保健服务,111.68596,40.85823,090200|090300,471,150102,59.89919299,69.70760227
B01D703CO9,三级甲等医院,111.984134,40.62276,90101,471,150123,77.73143569,55.62536107
B0FFKQ1EEI,三级甲等医院,111.983997,40.622288,90101,471,150123,77.72324243,55.5971332
B0FFKQ1EEH,医疗保健服务场所,111.98186,40.623513,90000,471,150123,77.59543952,55.6703941
B0G3JR7X5X,诊所,111.982539,40.622212,90300,471,150123,77.636047,55.59258803
B0FFKQ1EEG,医疗保健服务场所,111.981861,40.623513,90000,471,150123,77.59549933,55.6703941
B01D70QLHH,药房,111.61703,40.824341,90601,471,150103,55.77684668,67.68087669
B0G2XHJOIK,药房,111.617363,40.824486,90601,471,150103,55.79676169,67.68954839
B01D702AHT,药房,111.617241,40.824424,90601,471,150103,55.7894655,67.68584049
B0FFF43O8F,诊所,111.616934,40.824269,90300,471,150103,55.77110542,67.67657074
B0FFIPQ48O,诊所,111.617176,40.824401,90300,471,150103,55.78557819,67.68446498
B01D70OZM4,卫生院,110.912122,40.595897,90102,471,150121,13.61994993,54.01882417
B0HBK6N4T5,药房,110.911547,40.595485,90601,471,150121,13.58556216,53.99418458
B0G3XCE9C4,医疗保健服务场所,110.912039,40.595785,90000,471,150121,13.61498613,54.01212603
B0HB3Y88K9,药房,111.705486,40.719254,90601,471,150104,61.06694193,61.39616747
B0FFKW5CFX,诊所,111.705571,40.719349,90300,471,150104,61.07202534,61.40184893
B0FFKVX8GE,诊所,111.705545,40.71905,90300,471,150104,61.07047041,61.38396728
B01D70PAJK,诊所,111.705469,40.718617,90300,471,150104,61.06592525,61.3580718
B01D70RAY7,药房,111.817791,40.503448,90601,471,150123,67.78332235,48.48992827
B0FFM89186,诊所,111.151924,40.730614,90300,471,150121,27.96126561,62.07555023
B0GRH6MLZZ,诊所,111.15323,40.730798,90300,471,150121,28.03937071,62.08655432
B0H1HUU93B,诊所,111.152048,40.73063,90300,471,150121,27.96868141,62.07650711
B0FFL38CQA,诊所,111.999536,40.130328,90300,471,150123,78.65254954,26.17555346
B0G22OWK9Z,药房,111.583025,40.517962,90601,471,150123,53.74318375,49.35793544
B0FFLB0P4N,药房,111.57747,40.51797,90601,471,150123,53.41096796,49.35841388
B01D70OWL6,诊所,111.216619,40.298343,90300,471,150122,31.83033851,36.22366046
B0FFKOZEIS,诊所,111.915573,40.788025,90300,471,150105,73.63115735,65.50900481
B0G1LB54KH,诊所,111.83255,40.653088,90300,471,150105,68.6659817,57.43912168
B0FFFHCE46,诊所,111.3627,40.114384,90300,471,150122,40.56668656,25.2220254
B0GUZXKLQ7,诊所,111.363622,40.115091,90300,471,150122,40.62182661,25.26430741
B0FFKZFX9V,诊所,111.389355,40.078222,90300,471,150124,42.16078407,23.05936346
B01D701U7L,综合医院,111.655685,40.802601,90100,471,150104,58.08860204,66.38071988
B01D702R3F,药房,111.652469,40.801451,90601,471,150104,57.89626973,66.31194434
B01D702RUQ,药房,111.65516,40.79841,90601,471,150104,58.05720451,66.13007788
B0FFKZVDXC,综合医院,111.652583,40.798442,90100,471,150104,57.90308748,66.13199163
B0HDFMFYTF,医疗保健服务场所,111.652433,40.801815,90000,471,150104,57.89411676,66.33371329
B0FFHMWG7J,综合医院,111.652588,40.798447,90100,471,150104,57.90338651,66.13229066
B0G0ANPGZG,药房,111.655531,40.801186,90601,471,150104,58.0793921,66.29609606
B0HDFMHDQT,药房,111.65183,40.804043,90601,471,150104,57.85805445,66.46695843
B0FFHMEYKS,药房,111.653156,40.804153,90601,471,150104,57.93735565,66.47353696
