id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0G1P6G8PM,摩托车服务相关,111.691014,40.878672,40000,471,150102,53.3828516,69.80626911
B01D7038B3,摩托车销售,111.199362,40.274963,40100,471,150122,20.87272136,29.8864514
B01D70384A,摩托车销售,111.1997,40.275574,40100,471,150122,20.89507136,29.92685333
B0GK2SHBPO,摩托车销售,111.199286,40.274707,40100,471,150122,20.86769591,29.86952359
B0FFG9BVSQ,摩托车服务相关,111.200116,40.273813,40000,471,150122,20.92257906,29.81040849
B0FFG2SZAK,摩托车维修,111.627874,40.817173,40200,471,150103,49.20776511,65.73969255
B01D70PFMH,摩托车服务相关,111.651971,40.793847,40000,471,150104,50.80116167,64.1972778
B01D702T8P,摩托车服务相关,111.651947,40.793944,40000,471,150104,50.79957469,64.20369185
B0FFI9NEH1,摩托车服务相关,111.651926,40.793813,40000,471,150104,50.79818608,64.19502957
B01D702PZR,摩托车服务相关,111.652049,40.794735,40000,471,150104,50.80631936,64.25599615
B01D701T1Y,摩托车服务相关,111.651987,40.793704,40000,471,150104,50.80221966,64.18782203
B0FFG7I0MK,摩托车维修,111.827127,40.8634,40200,471,150105,62.38322454,68.79641924
B0FFIA027G,摩托车维修,111.708932,40.819499,40200,471,150105,54.56766629,65.8934976
B0GR110RBN,摩托车服务相关,111.609776,40.773048,40000,471,150104,48.01104804,62.82195908
B01D7025XR,摩托车销售,111.665696,40.863774,40100,471,150102,51.70871729,68.82114972
B0FFKDQR6F,摩托车销售,111.665707,40.863813,40100,471,150102,51.70944466,68.82372856
B0FFL2PSYV,摩托车维修,111.650484,40.779595,40200,471,150104,50.70283488,63.25487468
B0G24GCM0W,摩托车服务相关,111.55223,40.605371,40000,471,150121,44.20586073,51.73443964
B0FFFFSAI3,摩托车维修,111.690887,40.848988,40200,471,150102,53.37445381,67.84343624
B01D701RI7,摩托车维修,111.690843,40.849225,40200,471,150102,53.37154435,67.85910769
B0G39NLGUJ,摩托车服务相关,111.790638,40.829101,40000,471,150105,59.970416,66.52842286
B0FFHMVL91,摩托车维修,111.699765,40.876337,40200,471,150102,53.96150509,69.65186894
B0FFI93MF0,摩托车服务相关,111.127358,40.721776,40000,471,150121,16.11150933,59.43163544
B01D703AT5,摩托车服务相关,111.128679,40.717568,40000,471,150121,16.19885949,59.1533845
B0GRXX9LVX,摩托车服务相关,111.618183,40.776944,40000,471,150104,48.56695479,63.07957924
B0FFKYLSEJ,摩托车服务相关,111.632886,40.420932,40000,471,150123,49.53917995,39.53854516
B0FFL3DK3E,摩托车销售,111.631588,40.42115,40100,471,150123,49.45335065,39.55296025
B0HA6G5CKA,摩托车维修,111.633278,40.421028,40200,471,150123,49.56510067,39.54489309
B0H1MMWS2O,摩托车服务相关,111.209981,40.266227,40000,471,150122,21.57489499,29.30878977
B0FFJ8M7J0,摩托车维修,111.897278,40.613709,40200,471,150123,67.02190829,52.28578381
B0GKBBDMEJ,摩托车服务相关,111.419678,39.822989,40000,471,150124,35.44095632,0
B01D702EL4,摩托车维修,111.666234,40.790606,40200,471,150104,51.74429215,63.98296903
B01D702OQK,摩托车服务相关,111.703977,40.795572,40000,471,150105,54.24002052,64.31134216
B0FFMBVQWO,摩托车服务相关,111.610881,40.867299,40000,471,150103,48.08411536,69.05423777
B0FFFYASVV,摩托车服务相关,111.130471,40.713925,40000,471,150121,16.31735418,58.91249378
B01D703B0T,摩托车服务相关,111.129068,40.716396,40000,471,150121,16.22458183,59.07588686
B0FFHTK0EY,摩托车服务相关,111.129099,40.716308,40000,471,150121,16.22663168,59.07006792
B01D703B0W,摩托车维修,111.129176,40.716236,40200,471,150121,16.23172325,59.06530698
B0FFK2PXSX,摩托车销售,111.382009,40.256534,40100,471,150122,32.95012114,28.66784721
B0FFG8QMQ3,摩托车销售,111.380993,40.256782,40100,471,150122,32.88293888,28.68424602
B0FFKVJ1AJ,摩托车销售,111.549715,40.672041,40100,471,150121,44.03955818,56.1429448
B0H1OARGVV,摩托车销售,111.549223,40.668255,40100,471,150121,44.00702504,55.89259831
B0HDZ505VW,摩托车销售,111.686238,40.77809,40100,471,150104,53.06704208,63.15535765
B01D70PANK,摩托车维修,111.572624,40.78919,40200,471,150121,45.55439912,63.88933706
B01D70PIWP,摩托车维修,111.675127,40.797137,40200,471,150104,52.3323353,64.41482665
B0FFI3ZBNQ,摩托车服务相关,111.618683,40.786849,40000,471,150104,48.60001693,63.73454015
B0HD05XN6C,摩托车服务相关,111.757883,40.887384,40000,471,150102,57.80451549,70.38234376
B0H1HRU9TN,摩托车销售,111.451763,41.094174,40100,471,150125,37.56255356,84.05618183
B0FFGPK2VE,摩托车服务相关,111.141055,40.718267,40000,471,150121,17.01721347,59.19960537
B0FFFRUTCS,摩托车维修,111.141922,40.724515,40200,471,150121,17.07454321,59.61274982
B0FFGLG6IV,摩托车服务相关,111.725912,40.778894,40000,471,150105,55.69045642,63.20852157
B0G3LDGOYP,摩托车销售,111.701521,40.802336,40100,471,150105,54.07761931,64.75860674
B0FFKPCINL,摩托车维修,111.895344,40.811615,40200,471,150105,66.89402395,65.37217385
B0GDCM65Q5,摩托车销售,111.589095,40.771681,40100,471,150104,46.64353199,62.7315672
