id,type,lon_gcj02,lat_gcj02,typecode,citycode,adcode,X,Y
B0FFG0174Q,专营店|汽车服务,111.68422,39.905394,061200|010000,471,150124,58.30934704,15.22785718
B0FFLAZLEN,超市,111.448407,39.64658,60400,471,150124,44.60822649,0.190340952
B0HDDA8X5P,超市,111.448445,39.646467,60400,471,150124,44.61043436,0.183775467
B0G31797WP,便民商店/便利店,111.44463,39.643551,60200,471,150124,44.38877662,0.014351104
B0G1P6FKOJ,购物相关场所,111.912099,40.82467,60000,471,150105,71.54948923,68.6392946
B0GKJHYZ2T,购物相关场所,111.912947,40.824641,60000,471,150105,71.59875941,68.63760965
B0G3OAAMLV,专营店,111.445283,39.643304,61200,471,150124,44.42671699,0
B0G3TAPIDV,超市,111.624435,40.568969,60400,471,150121,54.83574087,53.78264876
B0GRHYPUOZ,便民商店/便利店,111.61976,40.568053,60200,471,150121,54.56411573,53.72942766
B0G1PPI3RP,便民商店/便利店,111.327854,40.499576,60200,471,150122,37.60390025,49.75080209
B0GUJCS3LM,自行车专卖店,111.659232,40.740116,61208,471,150104,56.85750342,63.72656906
B0GR6BXKNT,超市,111.66478,40.742894,60400,471,150104,57.17985128,63.8879754
B0FFM88P9B,购物相关场所,111.658915,40.739726,60000,471,150104,56.8390852,63.70390943
B0FFL0OHPM,便民商店/便利店,111.659681,40.742112,60200,471,150104,56.88359105,63.84253992
B0FFKUV06O,果品市场,111.658106,40.738625,60704,471,150104,56.79208098,63.63993953
B0G2O6DE1U,果品市场,111.658764,40.73824,60704,471,150104,56.83031185,63.6175704
B0FFMFE8IX,建材五金市场,111.659221,40.739898,60603,471,150104,56.8568643,63.71390291
B0FFMDVVFL,果品市场,111.65887,40.739582,60704,471,150104,56.83647063,63.69554279
B0FFMAK2BU,专营店,111.658294,40.738413,61200,471,150104,56.80300409,63.62762198
B0FFKNM412,超市,111.658992,40.738872,60400,471,150104,56.84355903,63.65429063
B0G1ZX65UM,专营店,111.658582,40.738681,61200,471,150104,56.81973736,63.64319322
B0FFKNM3X9,建材五金市场,111.659105,40.739186,60603,471,150104,56.85012451,63.67253454
B0FFKNGG92,建材五金市场,111.659083,40.739122,60603,471,150104,56.84884628,63.66881604
B0FFI5LAX8,烟酒专卖店,111.658938,40.738724,61210,471,150104,56.84042154,63.64569159
B0FFMH8QAC,建材五金市场,111.664754,40.745185,60603,471,150104,57.17834064,64.02108624
B0FFMAESQ4,其它个人用品店,111.659077,40.740246,61400,471,150104,56.84849767,63.73412228
B0FFM702O3,自行车专卖店,111.664761,40.744008,61208,471,150104,57.17874735,63.95270062
B0G3X7F4CQ,购物相关场所,111.659229,40.741138,60000,471,150104,56.85732911,63.78594893
B0GUXOBJDO,购物相关场所,111.659228,40.741139,60000,471,150104,56.85727101,63.78600703
B0GUS6K0IP,专营店,111.664697,40.742464,61200,471,150104,57.17502885,63.8629917
B0HAVA7UPN,烟酒专卖店,111.659364,40.740519,61210,471,150104,56.86517283,63.74998402
B0GU71NUX8,烟酒专卖店,111.659282,40.740298,61210,471,150104,56.8604085,63.73714356
B0G25YS68W,烟酒专卖店,111.392822,40.541162,61210,471,150122,41.37864718,52.16701663
B0G04S6FFH,购物相关场所,111.873116,40.636841,60000,471,150123,69.28451324,57.72612284
B0FFLC60Y5,便民商店/便利店,111.874447,40.637273,60200,471,150123,69.36184652,57.75122275
B0FFH998TQ,购物相关场所,111.873154,40.646226,60000,471,150123,69.2867211,58.27140668
B0FFFY2320,家居建材市场|餐饮服务,111.462727,41.092055,060600|050700,471,150125,45.44024189,84.17479993
B0FFL9QX6I,专营店,111.798906,40.865176,61200,471,150102,64.972791,70.99275937
B0GDL7IY79,蔬菜市场,111.805872,40.866364,60705,471,150105,65.37752699,71.06178412
B0G0P7FAE3,便民商店/便利店,111.799036,40.865013,60200,471,150102,64.98034422,70.98328881
B0G33SVRFJ,蔬菜市场,111.806152,40.866161,60705,471,150105,65.39379544,71.04998948
B0G33UY3FQ,农副产品市场,111.80579,40.866495,60703,471,150105,65.37276265,71.06939543
B0GDL7K7AR,蔬菜市场,111.805682,40.866114,60705,471,150105,65.36648767,71.04725871
B0FFL7IM2P,烟酒专卖店,111.805679,40.866378,61210,471,150105,65.36631337,71.06259754
