MJD(days),Predicted PT-TT(s)
56646.9238449734,-0.06791098
56647.9238449734,-0.068229884
56648.9238449734,-0.06802682
56649.9238449734,-0.06767523
56650.9238449734,-0.06734829
56651.9238449734,-0.067074046
56652.9238449734,-0.06687625
56653.9238449734,-0.06677952
56654.9238449734,-0.06664114
56655.9238449734,-0.06659349
56656.9238449734,-0.06665136
56657.9238449734,-0.06683766
56658.9238449734,-0.06714438
56659.9238449734,-0.067485616
56660.9238449734,-0.06784413
56661.9238449734,-0.06822753
56662.9238449734,-0.068599
56663.9238449734,-0.06893776
56664.9238449734,-0.06921814
56665.9238449734,-0.06939786
56666.9238449734,-0.0694469
56667.9238449734,-0.069268696
56668.9238449734,-0.068875566
56669.9238449734,-0.06822993
56670.9238449734,-0.06728341
56671.9238449734,-0.066037424
56672.9238449734,-0.064319625
56673.9238449734,-0.062066834
56674.9238449734,-0.059531502
56675.9238449734,-0.056800198
56676.9238449734,-0.05372405
56677.9238449734,-0.04968155
56678.9238449734,-0.045057196
56679.9238449734,-0.040368058
56680.9238449734,-0.03609353
56681.9238449734,-0.03268533
56682.9238449734,-0.029813858
56683.9238449734,-0.027488355
56684.9238449734,-0.025425393
56685.9238449734,-0.023731612
56686.9238449734,-0.022304703
56687.9238449734,-0.021061197
56688.9238449734,-0.020027872
56689.9238449734,-0.019247146
56690.9238449734,-0.018752595
56691.9238449734,-0.018515086
56692.9238449734,-0.018527748
56693.9238449734,-0.018758658
56694.9238449734,-0.019183738
56695.9238449734,-0.019797292
56696.9238449734,-0.020609034
56697.9238449734,-0.021651575
56698.9238449734,-0.022939702
56699.9238449734,-0.02435111
56700.9238449734,-0.025774425
56701.9238449734,-0.027083172
56702.9238449734,-0.028297722
56703.9238449734,-0.029365107
56704.9238449734,-0.030320512
56705.9238449734,-0.031109307
56706.9238449734,-0.031720698
56707.9238449734,-0.032134358
56708.9238449734,-0.032370437
56709.9238449734,-0.032428592
56710.9238449734,-0.032306217
56711.9238449734,-0.031974524
56712.9238449734,-0.031440087
56713.9238449734,-0.03071695
56714.9238449734,-0.029873634
56715.9238449734,-0.028945109
56716.9238449734,-0.027979959
56717.9238449734,-0.026964603
56718.9238449734,-0.02586396
56719.9238449734,-0.024740234
56720.9238449734,-0.023568688
56721.9238449734,-0.022329459
56722.9238449734,-0.021062559
56723.9238449734,-0.019766323
56724.9238449734,-0.018416436
56725.9238449734,-0.017055895
56726.9238449734,-0.015708385
56727.9238449734,-0.014401368
56728.9238449734,-0.013151712
56729.9238449734,-0.011916928
56730.9238449734,-0.010722614
56731.9238449734,-0.009581139
56732.9238449734,-0.008505111
56733.9238449734,-0.00750539
56734.9238449734,-0.0065509668
56735.9238449734,-0.005662973
56736.9238449734,-0.004858789
56737.9238449734,-0.0041134143
56738.9238449734,-0.003424418
56739.9238449734,-0.0027873733
56740.9238449734,-0.0021839403
56741.9238449734,-0.0016093375
56742.9238449734,-0.0010593894
56743.9238449734,-0.00053661247
56744.9238449734,-3.9323462e-05
56745.9238449734,0.000420508
56746.9238449734,0.00081458635
56747.9238449734,0.0012225688
56748.9238449734,0.00161984
56749.9238449734,0.0020143038
56750.9238449734,0.00241336
56751.9238449734,0.0028262183
56752.9238449734,0.003265579
56753.9238449734,0.0037388348
56754.9238449734,0.004246245
56755.9238449734,0.00477588
56756.9238449734,0.005364308
56757.9238449734,0.006022783
56758.9238449734,0.0067727743
56759.9238449734,0.0076280055
56760.9238449734,0.008615395
56761.9238449734,0.009764137
56762.9238449734,0.011085491
56763.9238449734,0.012622632
56764.9238449734,0.014433395
56765.9238449734,0.016573694
56766.9238449734,0.019157248
56767.9238449734,0.022185162
56768.9238449734,0.025502011
56769.9238449734,0.029230788
56770.9238449734,0.03348487
56771.9238449734,0.038277667
56772.9238449734,0.043498926
56773.9238449734,0.04879142
56774.9238449734,0.053952042
56775.9238449734,0.059356287
56776.9238449734,0.06482922
56777.9238449734,0.07002165
56778.9238449734,0.073367156
56779.9238449734,0.07621915
56780.9238449734,0.07859199
56781.9238449734,0.08055653
56782.9238449734,0.082123846
56783.9238449734,0.08336646
56784.9238449734,0.08430157
56785.9238449734,0.0850271
56786.9238449734,0.08559527
56787.9238449734,0.08598746
56788.9238449734,0.086219646
56789.9238449734,0.08634098
56790.9238449734,0.086374104
56791.9238449734,0.086380064
56792.9238449734,0.0863791
56793.9238449734,0.08640705
56794.9238449734,0.08649639
56795.9238449734,0.08666856
56796.9238449734,0.086936206
56797.9238449734,0.08731591
56798.9238449734,0.087811425
56799.9238449734,0.08842496
56800.9238449734,0.089151934
56801.9238449734,0.08997995
56802.9238449734,0.09089914
56803.9238449734,0.09189488
56804.9238449734,0.09295363
56805.9238449734,0.094055116
56806.9238449734,0.09518145
56807.9238449734,0.096311904
56808.9238449734,0.09739628
56809.9238449734,0.09837837
56810.9238449734,0.09918942
56811.9238449734,0.09978507
56812.9238449734,0.100221895
56813.9238449734,0.10056399
56814.9238449734,0.100821406
56815.9238449734,0.101000175
